Orthogroup	MHP_J_genes	MFC_Ms42_genes
OG0000000	MHJ_RS02155	MYF_RS01330
OG0000000	MHJ_RS03645	MYF_RS03215
OG0000000	MHJ_RS01665	MYF_RS03295
OG0000001	MHJ_RS01255, MHJ_RS01250, MHJ_RS02765, MHJ_RS03940, MHJ_RS02710	MYF_RS03415
OG0000002	MHJ_RS03585, MHJ_RS03670	MYF_RS01530
OG0000002	MHJ_RS02080	MYF_RS01475
OG0000002	MHJ_RS01675	MYF_RS03010
OG0000003	MHJ_RS03890	MYF_RS01515
OG0000004	MHJ_RS02995	MYF_RS02535, MYF_RS02545
OG0000007	MHJ_RS02140	MYF_RS01510
OG0000007	MHJ_RS02135	MYF_RS01505
OG0000007	MHJ_RS02130	MYF_RS01500
OG0000008	MHJ_RS03850	MYF_RS01875
OG0000011	MHJ_RS04005, MHJ_RS01900	MYF_RS03310
OG0000011	MHJ_RS01895	MYF_RS01270
OG0000013	MHJ_RS02355	MYF_RS03170, MYF_RS01100
OG0000013	MHJ_RS03825	MYF_RS03400
OG0000014	MHJ_RS01060, MHJ_RS00590	MYF_RS00550
OG0000016	MHJ_RS02810	MYF_RS00730
OG0000017	MHJ_RS00130	MYF_RS03155
OG0000017	MHJ_RS02820	MYF_RS00720
OG0000018	MHJ_RS01295	MYF_RS01675
OG0000019	MHJ_RS03950	MYF_RS03450
OG0000020	MHJ_RS03515	MYF_RS03080
OG0000020	MHJ_RS03995	MYF_RS03085
OG0000022	MHJ_RS01660	MYF_RS03025
OG0000024	MHJ_RS02705, MHJ_RS01245	MYF_RS00790
OG0000025	MHJ_RS01655	MYF_RS03030
OG0000026	MHJ_RS01335, MHJ_RS01635	MYF_RS01715
OG0000027	MHJ_RS03330	MYF_RS02825
OG0000028	MHJ_RS02365, MHJ_RS02370	MYF_RS01125, MYF_RS01120
OG0000029	MHJ_RS01055, MHJ_RS00595	MYF_RS00555
OG0000030	MHJ_RS03310, MHJ_RS03325	MYF_RS02820
OG0000031	MHJ_RS01560	MYF_RS01215
OG0000032	MHJ_RS03320	MYF_RS02815
OG0000037	MHJ_RS03820	MYF_RS03495
OG0000039	MHJ_RS01575	MYF_RS03160, MYF_RS00615
OG0000040	MHJ_RS03260	MYF_RS02770, MYF_RS00840
OG0000042	MHJ_RS02920	MYF_RS00610, MYF_RS00765
OG0000043	MHJ_RS01865	MYF_RS01240
OG0000045	MHJ_RS01580	MYF_RS00630
OG0000048	MHJ_RS02050	MYF_RS01350
OG0000049	MHJ_RS03010	MYF_RS03265, MYF_RS03455
OG0000050	MHJ_RS02400	MYF_RS01180
OG0000051	MHJ_RS02615	MYF_RS02420
OG0000052	MHJ_RS00075	MYF_RS00075
OG0000053	MHJ_RS01420	MYF_RS01800
OG0000054	MHJ_RS02425	MYF_RS01155
OG0000055	MHJ_RS00110	MYF_RS03395, MYF_RS03525
OG0000056	MHJ_RS03500	MYF_RS03060
OG0000057	MHJ_RS02900	MYF_RS00645
OG0000062	MHJ_RS03545	MYF_RS03115
OG0000063	MHJ_RS03540	MYF_RS03110
OG0000064	MHJ_RS03530	MYF_RS03100
OG0000065	MHJ_RS02200	MYF_RS01575
OG0000066	MHJ_RS01325	MYF_RS01705
OG0000068	MHJ_RS00630	MYF_RS00590
OG0000069	MHJ_RS02785	MYF_RS00755
OG0000070	MHJ_RS02430	MYF_RS01135
OG0000071	MHJ_RS03250	MYF_RS02760
OG0000072	MHJ_RS03255	MYF_RS02765
OG0000073	MHJ_RS00685	MYF_RS02005
OG0000074	MHJ_RS00875	MYF_RS02195
OG0000075	MHJ_RS00320	MYF_RS00305
OG0000076	MHJ_RS00335	MYF_RS00320
OG0000077	MHJ_RS00425	MYF_RS00410
OG0000078	MHJ_RS01625	MYF_RS00880
OG0000079	MHJ_RS02515	MYF_RS01050
OG0000080	MHJ_RS03800	MYF_RS01000, MYF_RS03365
OG0000081	MHJ_RS00315	MYF_RS00300
OG0000082	MHJ_RS02340, MHJ_RS03775	MYF_RS01110
OG0000083	MHJ_RS01975	MYF_RS01430
OG0000084	MHJ_RS02000	MYF_RS01400
OG0000085	MHJ_RS02005	MYF_RS01395
OG0000086	MHJ_RS02015	MYF_RS01385
OG0000087	MHJ_RS02030	MYF_RS01370
OG0000088	MHJ_RS02035	MYF_RS01365
OG0000089	MHJ_RS02045	MYF_RS01355
OG0000090	MHJ_RS00070	MYF_RS00070
OG0000091	MHJ_RS00055	MYF_RS00055
OG0000092	MHJ_RS00040	MYF_RS00040
OG0000093	MHJ_RS00035	MYF_RS00035
OG0000094	MHJ_RS00030	MYF_RS00030
OG0000095	MHJ_RS00005	MYF_RS00005
OG0000096	MHJ_RS03580	MYF_RS03150
OG0000097	MHJ_RS03560	MYF_RS03130
OG0000098	MHJ_RS03550	MYF_RS03120
OG0000099	MHJ_RS03505	MYF_RS03065
OG0000100	MHJ_RS03490	MYF_RS03050
OG0000101	MHJ_RS03485	MYF_RS03045
OG0000102	MHJ_RS01650	MYF_RS03035
OG0000103	MHJ_RS02165	MYF_RS01540
OG0000104	MHJ_RS02170	MYF_RS01545
OG0000105	MHJ_RS02185	MYF_RS01560
OG0000106	MHJ_RS02195	MYF_RS01570
OG0000107	MHJ_RS02205	MYF_RS01580
OG0000108	MHJ_RS02210	MYF_RS01585
OG0000109	MHJ_RS02215	MYF_RS01590
OG0000110	MHJ_RS02330	MYF_RS01595
OG0000111	MHJ_RS02325	MYF_RS01600
OG0000112	MHJ_RS02315	MYF_RS01610
OG0000113	MHJ_RS02295	MYF_RS01625
OG0000114	MHJ_RS02285	MYF_RS01635
OG0000115	MHJ_RS02275	MYF_RS01645
OG0000116	MHJ_RS01270	MYF_RS01655
OG0000117	MHJ_RS01275	MYF_RS01660
OG0000118	MHJ_RS01310	MYF_RS01690
OG0000119	MHJ_RS01315	MYF_RS01695
OG0000120	MHJ_RS01330	MYF_RS01710
OG0000121	MHJ_RS01355	MYF_RS01735
OG0000122	MHJ_RS01360	MYF_RS01740
OG0000123	MHJ_RS01380	MYF_RS01760
OG0000124	MHJ_RS01385	MYF_RS01765
OG0000125	MHJ_RS01390	MYF_RS01770
OG0000126	MHJ_RS01400	MYF_RS01780
OG0000127	MHJ_RS01410	MYF_RS01790
OG0000128	MHJ_RS01425	MYF_RS01805
OG0000129	MHJ_RS01430	MYF_RS01810
OG0000130	MHJ_RS01440	MYF_RS01820
OG0000131	MHJ_RS01470	MYF_RS01850
OG0000132	MHJ_RS01485	MYF_RS01865
OG0000133	MHJ_RS00515	MYF_RS00485
OG0000134	MHJ_RS00520	MYF_RS00490
OG0000135	MHJ_RS00535	MYF_RS00505
OG0000136	MHJ_RS00540	MYF_RS00510
OG0000137	MHJ_RS00575	MYF_RS00540
OG0000138	MHJ_RS00605	MYF_RS00565
OG0000139	MHJ_RS00635	MYF_RS00595
OG0000140	MHJ_RS00640	MYF_RS00600
OG0000141	MHJ_RS02910	MYF_RS00635
OG0000142	MHJ_RS02905	MYF_RS00640
OG0000143	MHJ_RS02880	MYF_RS00665
OG0000144	MHJ_RS02870	MYF_RS00675
OG0000145	MHJ_RS02855	MYF_RS00685
OG0000146	MHJ_RS02845	MYF_RS00695
OG0000147	MHJ_RS02840	MYF_RS00700
OG0000148	MHJ_RS02825	MYF_RS00715
OG0000149	MHJ_RS02815	MYF_RS00725
OG0000150	MHJ_RS02800	MYF_RS00740
OG0000151	MHJ_RS02745	MYF_RS00795
OG0000152	MHJ_RS02740	MYF_RS00800
OG0000153	MHJ_RS02735	MYF_RS00805
OG0000154	MHJ_RS02725	MYF_RS00815
OG0000155	MHJ_RS02685	MYF_RS00835
OG0000156	MHJ_RS02675	MYF_RS00855
OG0000157	MHJ_RS02670	MYF_RS00860
OG0000158	MHJ_RS04010	MYF_RS00870
OG0000159	MHJ_RS04030	MYF_RS01165
OG0000160	MHJ_RS02410	MYF_RS01170
OG0000161	MHJ_RS02405	MYF_RS01175
OG0000162	MHJ_RS02395	MYF_RS01185
OG0000163	MHJ_RS02390	MYF_RS01190
OG0000164	MHJ_RS01565	MYF_RS01220
OG0000165	MHJ_RS01890	MYF_RS01265
OG0000166	MHJ_RS01915	MYF_RS01285
OG0000167	MHJ_RS01930	MYF_RS01300
OG0000168	MHJ_RS01935	MYF_RS01305
OG0000169	MHJ_RS03005	MYF_RS02560
OG0000170	MHJ_RS03035	MYF_RS02585
OG0000171	MHJ_RS03045	MYF_RS02595
OG0000172	MHJ_RS03050	MYF_RS02600
OG0000173	MHJ_RS03055	MYF_RS02605
OG0000174	MHJ_RS03060	MYF_RS02610
OG0000175	MHJ_RS03075	MYF_RS02625
OG0000176	MHJ_RS03125	MYF_RS02670
OG0000177	MHJ_RS03130	MYF_RS02675
OG0000178	MHJ_RS03135	MYF_RS02680
OG0000179	MHJ_RS03145	MYF_RS02690
OG0000180	MHJ_RS03150	MYF_RS02695
OG0000181	MHJ_RS03200	MYF_RS02710
OG0000182	MHJ_RS03210	MYF_RS02720
OG0000183	MHJ_RS03245	MYF_RS02755
OG0000184	MHJ_RS03285	MYF_RS02785
OG0000185	MHJ_RS03270	MYF_RS02800
OG0000186	MHJ_RS01495	MYF_RS01895
OG0000187	MHJ_RS01510	MYF_RS01910
OG0000188	MHJ_RS01520	MYF_RS01920
OG0000189	MHJ_RS02250	MYF_RS01930
OG0000190	MHJ_RS02245	MYF_RS01935
OG0000191	MHJ_RS02225	MYF_RS01955
OG0000192	MHJ_RS01190	MYF_RS01965
OG0000193	MHJ_RS01180	MYF_RS01980
OG0000194	MHJ_RS00670	MYF_RS01990
OG0000195	MHJ_RS00675	MYF_RS01995
OG0000196	MHJ_RS00695	MYF_RS02015
OG0000197	MHJ_RS00700	MYF_RS02020
OG0000198	MHJ_RS00715	MYF_RS02035
OG0000199	MHJ_RS00720	MYF_RS02040
OG0000200	MHJ_RS00730	MYF_RS02050
OG0000201	MHJ_RS00740	MYF_RS02060
OG0000202	MHJ_RS00795	MYF_RS02115
OG0000203	MHJ_RS00800	MYF_RS02120
OG0000204	MHJ_RS00805	MYF_RS02125
OG0000205	MHJ_RS00810	MYF_RS02130
OG0000206	MHJ_RS00830	MYF_RS02150
OG0000207	MHJ_RS00845	MYF_RS02165
OG0000208	MHJ_RS00850	MYF_RS02170
OG0000209	MHJ_RS00855	MYF_RS02175
OG0000210	MHJ_RS00900	MYF_RS02220
OG0000211	MHJ_RS00910	MYF_RS02230
OG0000212	MHJ_RS00920	MYF_RS02240
OG0000213	MHJ_RS00925	MYF_RS02245
OG0000214	MHJ_RS00930	MYF_RS02250
OG0000215	MHJ_RS00935	MYF_RS02255
OG0000216	MHJ_RS00940	MYF_RS02260
OG0000217	MHJ_RS00945	MYF_RS02265
OG0000218	MHJ_RS00955	MYF_RS02275
OG0000219	MHJ_RS00960	MYF_RS02280
OG0000220	MHJ_RS00965	MYF_RS02285
OG0000221	MHJ_RS00970	MYF_RS02290
OG0000222	MHJ_RS00975	MYF_RS03240
OG0000223	MHJ_RS00980	MYF_RS02295
OG0000224	MHJ_RS00990	MYF_RS02305
OG0000225	MHJ_RS01000	MYF_RS02315
OG0000226	MHJ_RS01005	MYF_RS02320
OG0000227	MHJ_RS01010	MYF_RS02325
OG0000228	MHJ_RS04015	MYF_RS03530
OG0000229	MHJ_RS01020	MYF_RS02335
OG0000230	MHJ_RS01025	MYF_RS02340
OG0000231	MHJ_RS01035	MYF_RS02350
OG0000232	MHJ_RS01045	MYF_RS02360
OG0000233	MHJ_RS01065	MYF_RS02370
OG0000234	MHJ_RS01100	MYF_RS02400
OG0000235	MHJ_RS01110	MYF_RS02410
OG0000236	MHJ_RS01115	MYF_RS02415
OG0000237	MHJ_RS01120	MYF_RS02430
