Orthogroup	MHP_J_genes	MHP_4284_genes
OG0000000	MHJ_RS02155	ABLE99_RS02150
OG0000000	MHJ_RS03645	ABLE99_RS02215
OG0000000	MHJ_RS01665, MHJ_RS01670	ABLE99_RS01670
OG0000001	MHJ_RS01255	ABLE99_RS01250
OG0000001	MHJ_RS02765	ABLE99_RS02690
OG0000001	MHJ_RS02710	ABLE99_RS02640
OG0000002	MHJ_RS03585	ABLE99_RS02040
OG0000002	MHJ_RS02080	ABLE99_RS02210
OG0000002	MHJ_RS01675	ABLE99_RS01675
OG0000003	MHJ_RS01710	ABLE99_RS01690
OG0000003	MHJ_RS03890	ABLE99_RS02155
OG0000003	MHJ_RS01795	ABLE99_RS01760
OG0000004	MHJ_RS03175	ABLE99_RS03080
OG0000004	MHJ_RS03180	ABLE99_RS03085
OG0000004	MHJ_RS03190	ABLE99_RS03095
OG0000004	MHJ_RS02995	ABLE99_RS02925, ABLE99_RS02905
OG0000005	MHJ_RS00090	ABLE99_RS00100
OG0000005	MHJ_RS00095	ABLE99_RS00105
OG0000005	MHJ_RS00100	ABLE99_RS00110
OG0000006	MHJ_RS03915	ABLE99_RS02400
OG0000006	MHJ_RS02270	ABLE99_RS02230
OG0000007	MHJ_RS02140	ABLE99_RS02160
OG0000007	MHJ_RS02135	ABLE99_RS02165
OG0000007	MHJ_RS02130	ABLE99_RS02170
OG0000008	MHJ_RS03790	ABLE99_RS02145
OG0000008	MHJ_RS03850	ABLE99_RS01590
OG0000008	MHJ_RS03925	ABLE99_RS02405
OG0000009	MHJ_RS00660	ABLE99_RS00995
OG0000010	MHJ_RS01805	ABLE99_RS01770
OG0000011	MHJ_RS04005	ABLE99_RS01865
OG0000011	MHJ_RS01895	ABLE99_RS01860
OG0000012	MHJ_RS02345	ABLE99_RS02305
OG0000013	MHJ_RS02355	ABLE99_RS02310
OG0000014	MHJ_RS00590	ABLE99_RS01060
OG0000016	MHJ_RS02810	ABLE99_RS02735
OG0000016	MHJ_RS00145	ABLE99_RS00170
OG0000017	MHJ_RS00130	ABLE99_RS00155
OG0000017	MHJ_RS02820	ABLE99_RS02745
OG0000018	MHJ_RS01295	ABLE99_RS01290
OG0000019	MHJ_RS03950	ABLE99_RS02920, ABLE99_RS02915
OG0000020	MHJ_RS03515	ABLE99_RS03410
OG0000020	MHJ_RS03995	ABLE99_RS03415
OG0000022	MHJ_RS01610	ABLE99_RS01610
OG0000022	MHJ_RS01660	ABLE99_RS01665
OG0000023	MHJ_RS01290	ABLE99_RS01285
OG0000024	MHJ_RS02705	ABLE99_RS02635
OG0000024	MHJ_RS01245	ABLE99_RS01245
OG0000025	MHJ_RS01615	ABLE99_RS01615
OG0000025	MHJ_RS01655	ABLE99_RS01660
OG0000026	MHJ_RS01335	ABLE99_RS01330
OG0000026	MHJ_RS01635	ABLE99_RS01640
OG0000027	MHJ_RS03750	ABLE99_RS03220
OG0000029	MHJ_RS01055	ABLE99_RS00595
OG0000030	MHJ_RS03310	ABLE99_RS03215
OG0000031	MHJ_RS01560	ABLE99_RS01555
OG0000035	MHJ_RS03170	ABLE99_RS03090
OG0000036	MHJ_RS00105	ABLE99_RS00115
OG0000037	MHJ_RS03820	ABLE99_RS01540
OG0000038	MHJ_RS01705	ABLE99_RS01685
OG0000039	MHJ_RS01575	ABLE99_RS01570, ABLE99_RS01565
OG0000040	MHJ_RS03260	ABLE99_RS03165
OG0000041	MHJ_RS01160	ABLE99_RS01155
OG0000042	MHJ_RS02920	ABLE99_RS02830
OG0000043	MHJ_RS01865	ABLE99_RS01830
OG0000044	MHJ_RS04020	ABLE99_RS01625
OG0000044	MHJ_RS01745	ABLE99_RS01720
OG0000045	MHJ_RS01580	ABLE99_RS01575
OG0000046	MHJ_RS03960	ABLE99_RS03195
