Orthogroup	MHP_MHP682_proteins	MHP_MHP653_proteins
OG0000000	WP_371807681.1	WP_308507050.1
OG0000000	WP_308507011.1	WP_258555974.1, WP_160615939.1, WP_240532016.1, WP_225972977.1
OG0000000	WP_160585691.1	WP_334199374.1
OG0000001	WP_258555825.1	WP_228365393.1
OG0000001	WP_258555827.1	WP_258555925.1
OG0000002	WP_258555846.1	WP_258555957.1
OG0000002	WP_160585767.1	WP_160615875.1
OG0000002	WP_160585824.1	WP_160615955.1
OG0000002	WP_160585690.1	WP_160615941.1
OG0000003	WP_220191211.1	WP_160615980.1, WP_160615982.1
OG0000003	WP_160585822.1	WP_160615810.1
OG0000003	WP_160585818.1	WP_308506998.1
OG0000003	WP_192894277.1	WP_192894277.1
OG0000005	WP_160585749.1	WP_160615846.1
OG0000005	WP_160585746.1	WP_160615840.1
OG0000005	WP_146379450.1	WP_160615842.1
OG0000005	WP_160585747.1	WP_160585747.1
OG0000005	WP_160585745.1	WP_160615838.1
OG0000006	WP_258555864.1	WP_258555632.1
OG0000007	WP_135618608.1	WP_160615812.1
OG0000007	WP_011284157.1	WP_160615973.1
OG0000007	WP_220190648.1	WP_258555947.1
OG0000007	WP_160585819.1	WP_160585819.1
OG0000007	WP_002557992.1	WP_160615975.1
OG0000008	WP_308507018.1	WP_258555965.1
OG0000009	WP_146379448.1	WP_146379448.1
OG0000009	WP_160584690.1	WP_160584690.1
OG0000010	WP_160585752.1	WP_160615540.1
OG0000010	WP_160585744.1	WP_160615836.1
OG0000010	WP_160585748.1	WP_160615844.1
OG0000011	WP_160585600.1	WP_160615550.1
OG0000011	WP_160585601.1	WP_160615548.1
OG0000012	WP_179221115.1	WP_158632000.1
OG0000013	WP_258555342.1	WP_258555933.1
OG0000013	WP_371807677.1	WP_308507024.1
OG0000014	WP_220191212.1	WP_160615933.1
OG0000014	WP_160585811.1	WP_160615935.1
OG0000015	WP_160585705.1	WP_225973030.1
OG0000016	WP_160585619.1	WP_160615653.1
OG0000016	WP_160585547.1	WP_160585547.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_011206380.1	WP_011206380.1
OG0000019	WP_258555870.1	WP_160615599.1
OG0000020	WP_160585812.1	WP_160615923.1
OG0000020	WP_308507016.1	WP_220191323.1
OG0000021	WP_044284635.1	WP_160615961.1
OG0000022	WP_160585696.1	WP_160615764.1
OG0000022	WP_160585692.1	WP_160615774.1
OG0000023	WP_160585681.1	WP_160615712.1
OG0000024	WP_160585687.1	WP_160615698.1
OG0000024	WP_160585557.1	WP_258555929.1
OG0000025	WP_146379576.1	WP_160615766.1
OG0000025	WP_160585693.1	WP_160615772.1
OG0000026	WP_044284614.1	WP_220191285.1
OG0000026	WP_160585054.1	WP_160606777.1
OG0000027	WP_160585251.1	WP_011206475.1
OG0000027	WP_160585589.1	WP_160615619.1
OG0000028	WP_160585703.1	WP_160615971.1
OG0000028	WP_160585779.1, WP_160585704.1	WP_160615730.1
OG0000030	WP_308507013.1	WP_240536353.1
OG0000030	WP_160584917.1	WP_160615617.1
OG0000031	WP_011284063.1	WP_011284063.1
OG0000032	WP_135618726.1	WP_308507034.1
OG0000032	WP_308507003.1	WP_308507003.1
OG0000034	WP_233688423.1	WP_243234977.1
OG0000034	WP_233688424.1	WP_233688424.1
OG0000034	WP_160585823.1	WP_160615862.1, WP_160615986.1
OG0000035	WP_258555817.1	WP_160615978.1
OG0000036	WP_020835495.1	WP_220191312.1
OG0000036	WP_160585743.1	WP_160584828.1
OG0000037	WP_160585294.1	WP_308507036.1
OG0000039	WP_160585321.1	WP_160615671.1
OG0000041	WP_160585834.1	WP_011290019.1
OG0000042	WP_160585626.1	WP_160615609.1
OG0000043	WP_014579804.1	WP_160585024.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_160585827.1	WP_258555923.1
OG0000046	WP_160585788.1	WP_308507046.1
OG0000048	WP_160585777.1	WP_011284150.1
OG0000049	WP_160585653.1	WP_160615595.1
OG0000050	WP_160585700.1	WP_160615890.1
OG0000051	WP_160585663.1	WP_308507043.1
OG0000052	WP_146379447.1	WP_146379447.1
OG0000053	WP_160585821.1	WP_160615665.1
OG0000054	WP_160585698.1	WP_011206291.1
OG0000055	WP_160584826.1	WP_160584826.1
OG0000056	WP_160585574.1	WP_160615642.1
OG0000057	WP_258555814.1	WP_258555814.1
OG0000060	WP_225973002.1	WP_225973002.1
OG0000060	WP_240536367.1	WP_240536367.1
OG0000061	WP_146379613.1	WP_160615544.1
OG0000062	WP_011206522.1	WP_160588098.1
OG0000063	WP_160585761.1	WP_041361715.1
OG0000064	WP_011290440.1	WP_160615736.1
OG0000065	WP_225972975.1	WP_011290219.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_160585740.1	WP_160615951.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011284269.1
OG0000070	WP_146379657.1	WP_011206292.1
OG0000071	WP_160585831.1	WP_160615899.1
OG0000072	WP_371807682.1	WP_160615897.1
OG0000073	WP_371807678.1	WP_011206093.1
OG0000074	WP_044284596.1	WP_160615806.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000076	WP_160584756.1	WP_160607908.1
OG0000077	WP_160585806.1	WP_160615512.1
OG0000078	WP_160585694.1	WP_258555939.1, WP_258555938.1
OG0000079	WP_011206305.1	WP_160608044.1
OG0000080	WP_179695988.1	WP_011206314.1
OG0000081	WP_160585534.1	WP_160615521.1
OG0000082	WP_371807680.1	WP_258555932.1
OG0000083	WP_160585593.1	WP_160585593.1
OG0000084	WP_011206222.1	WP_011206222.1
OG0000085	WP_011206223.1	WP_011206223.1
OG0000086	WP_160585778.1	WP_160615566.1
OG0000087	WP_044272477.1	WP_020835732.1
OG0000088	WP_044272480.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_160585750.1	WP_094521535.1
OG0000091	WP_020835487.1	WP_160615746.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_020835484.1	WP_160584856.1
OG0000094	WP_014579519.1	WP_014579519.1
OG0000095	WP_160585829.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_160615742.1
OG0000097	WP_258555535.1	WP_258555934.1
OG0000098	WP_160585760.1	WP_146379769.1
OG0000099	WP_160585573.1, WP_308507019.1	WP_160615967.1
OG0000100	WP_160585575.1	WP_011290432.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_160585050.1	WP_020835678.1
OG0000103	WP_160585769.1	WP_160615871.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_135618882.1	WP_011206242.1
OG0000106	WP_160585771.1	WP_135618884.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_192894278.1	WP_308507045.1
OG0000109	WP_146379632.1	WP_146379632.1
OG0000110	WP_160585726.1	WP_146379648.1
OG0000111	WP_258555345.1	WP_225972982.1
OG0000112	WP_237697204.1	WP_258555931.1
OG0000113	WP_160585296.1	WP_020835765.1
OG0000114	WP_258555347.1	WP_258555964.1
OG0000115	WP_160585718.1	WP_011290245.1
OG0000116	WP_135618674.1	WP_160615716.1
OG0000117	WP_160585555.1	WP_160615714.1
OG0000118	WP_011290108.1	WP_308507037.1
OG0000119	WP_160585678.1	WP_160615708.1
OG0000120	WP_160585676.1	WP_160585676.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_160585674.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011205953.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_160585671.1	WP_011290120.1
OG0000127	WP_011290122.1	WP_011290122.1
OG0000128	WP_160585820.1	WP_160585820.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_146379566.1	WP_146379566.1
OG0000132	WP_094521636.1	WP_094521636.1
OG0000133	WP_094521764.1	WP_094521764.1
OG0000134	WP_308507009.1	WP_308507044.1
OG0000135	WP_011206120.1	WP_160585148.1
OG0000136	WP_011206119.1	WP_135618546.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_160585793.1	WP_160584793.1
OG0000139	WP_011206102.1	WP_011290017.1
OG0000140	WP_011206101.1	WP_160584795.1
OG0000141	WP_146379698.1	WP_011290345.1
OG0000142	WP_160585625.1	WP_160615645.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_160585623.1	WP_160615647.1
OG0000145	WP_225972996.1	WP_228365394.1
OG0000146	WP_011206385.1	WP_160615649.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_135619012.1	WP_135619012.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_135619006.1	WP_135619006.1
OG0000151	WP_160585685.1	WP_020835828.1
OG0000152	WP_160585686.1	WP_020835827.1
OG0000153	WP_011206347.1	WP_160615699.1
OG0000154	WP_011206345.1	WP_011206345.1
OG0000155	WP_020835820.1	WP_020835820.1
OG0000156	WP_160585658.1	WP_011206335.1
OG0000157	WP_014579918.1	WP_020835818.1
OG0000158	WP_146379680.1	WP_160615687.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_160590318.1	WP_160590318.1
OG0000161	WP_011206287.1	WP_011206287.1
OG0000162	WP_135619210.1	WP_044272532.1
OG0000163	WP_160585701.1	WP_160615892.1
OG0000164	WP_135618732.1	WP_146379571.1
OG0000165	WP_011206200.1	WP_011206200.1
