Assembly	ragtag.patch
# contigs (>= 0 bp)	50
# contigs (>= 1000 bp)	34
# contigs (>= 5000 bp)	28
# contigs (>= 10000 bp)	25
# contigs (>= 25000 bp)	15
# contigs (>= 50000 bp)	2
Total length (>= 0 bp)	1366627
Total length (>= 1000 bp)	1357593
Total length (>= 5000 bp)	1346146
Total length (>= 10000 bp)	1323325
Total length (>= 25000 bp)	1160127
Total length (>= 50000 bp)	711999
# contigs	43
Largest contig	637253
Total length	1364500
GC (%)	28.55
N50	74746
N90	16732
auN	315592.6
L50	2
L90	19
# N's per 100 kbp	14.44
