Orthogroup	MHP_1257_proteins	MHP_ES2L_proteins
OG0000000	WP_348571687.1, WP_348571684.1, WP_348571683.1	WP_218833876.1
OG0000000	WP_348571641.1	WP_218833871.1, WP_094521686.1, WP_318036674.1, WP_240536594.1
OG0000000	WP_348572099.1	WP_157696714.1, WP_179221294.1
OG0000001	WP_011206342.1	WP_240536607.1
OG0000002	WP_348571681.1	WP_179221136.1
OG0000002	WP_348572102.1	WP_179221108.1
OG0000003	WP_348572110.1	WP_044272440.1
OG0000003	WP_348571667.1	WP_240536589.1
OG0000003	WP_348572120.1	WP_240536655.1
OG0000004	WP_348571826.1	WP_179221232.1, WP_179221230.1, WP_179221234.1, WP_240536611.1, WP_240536612.1
OG0000005	WP_146379449.1	WP_146379449.1
OG0000005	WP_348571918.1	WP_179220984.1
OG0000005	WP_160615842.1	WP_179220982.1
OG0000005	WP_348571917.1	WP_179220983.1
OG0000005	WP_348571920.1	WP_011289946.1
OG0000006	WP_348571744.1	WP_233688469.1
OG0000007	WP_348571669.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_348571672.1	WP_002557992.1
OG0000008	WP_179696025.1	WP_011206260.1
OG0000008	WP_348572086.1	WP_240536647.1
OG0000008	WP_348572153.1	WP_225972989.1
OG0000009	WP_011290021.1	WP_179221024.1
OG0000010	WP_348572122.1	WP_179221114.1
OG0000011	WP_348572129.1	WP_179221118.1
OG0000012	WP_348571950.1	WP_146379492.1
OG0000012	WP_348572023.1	WP_179221115.1
OG0000013	WP_348571721.1	WP_240536602.1
OG0000013	WP_348572166.1	WP_240536631.1
OG0000014	WP_348571966.1	WP_179221016.1
OG0000014	WP_348572003.1	WP_179221018.1
OG0000015	WP_240536643.1	WP_240536643.1
OG0000016	WP_020835836.1	WP_179221190.1
OG0000016	WP_160585547.1	WP_179220988.1
OG0000017	WP_243215933.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_020835635.1	WP_179221069.1
OG0000019	WP_348571828.1	WP_233688517.1
OG0000020	WP_348571893.1	WP_240536626.1, WP_240536625.1
OG0000020	WP_348571894.1	WP_179221274.1
OG0000021	WP_348572104.1	WP_094521655.1
OG0000022	WP_348572088.1	WP_179221100.1
OG0000022	WP_348572098.1	WP_179221107.1
OG0000023	WP_348572055.1	WP_179221068.1
OG0000024	WP_160585259.1	WP_179221186.1
OG0000024	WP_348572044.1	WP_011205981.1
OG0000025	WP_348572089.1	WP_179221101.1
OG0000025	WP_348572096.1	WP_179221106.1
OG0000026	WP_192894288.1	WP_179221074.1
OG0000026	WP_160606777.1	WP_179221105.1
OG0000027	WP_020835902.1	WP_011206475.1
OG0000027	WP_348571864.1	WP_179221251.1
OG0000028	WP_348571725.1	WP_179221152.1
OG0000029	WP_348571967.1	WP_179221049.1
OG0000029	WP_348572001.1	WP_179221019.1
OG0000030	WP_348571860.1	WP_179221248.1
OG0000030	WP_020835904.1	WP_179221250.1
OG0000032	WP_135618726.1	WP_179221091.1
OG0000032	WP_348571862.1	WP_240536621.1
OG0000034	WP_348571678.1	WP_233688424.1
OG0000035	WP_348571840.1	WP_179221229.1
OG0000036	WP_020835495.1	WP_240536627.1
OG0000036	WP_348571921.1	WP_240536628.1, WP_240536629.1
OG0000037	WP_348572141.1	WP_240536665.1, WP_179221292.1
OG0000038	WP_348572108.1, WP_348572172.1, WP_348572103.1	WP_179221109.1
OG0000039	WP_348572083.1	WP_179221095.1
OG0000040	WP_348571851.1	WP_179221240.1
OG0000042	WP_348571819.1	WP_179221198.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_348572084.1	WP_240536645.1
OG0000048	WP_348571637.1	WP_011284150.1
OG0000049	WP_020835860.1	WP_179221202.1
OG0000050	WP_348571733.1	WP_179221157.1
OG0000051	WP_348571782.1	WP_179221174.1
OG0000052	WP_011289937.1	WP_179220981.1
OG0000053	WP_348572063.1	WP_179221080.1
OG0000054	WP_044272538.1	WP_011206291.1
OG0000055	WP_348571923.1	WP_135618462.1
OG0000056	WP_348571887.1	WP_179221272.1
OG0000057	WP_348571813.1	WP_240536610.1
OG0000060	WP_020835489.1	WP_220191083.1
OG0000061	WP_135618818.1	WP_135618818.1
OG0000062	WP_011206522.1	WP_011206522.1
OG0000063	WP_348571897.1	WP_179221276.1
OG0000064	WP_348571896.1	WP_179221275.1
OG0000065	WP_225972975.1	WP_179221139.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_348571959.1	WP_179221011.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011284269.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_348571847.1	WP_179221239.1
OG0000072	WP_348571849.1	WP_240536620.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_348571983.1	WP_179221041.1
OG0000075	WP_014579568.1	WP_179221001.1
OG0000076	WP_146379475.1	WP_179221002.1
OG0000077	WP_014579581.1	WP_179221006.1
OG0000078	WP_348572093.1	WP_179221103.1
