Orthogroup	MHP_1257_proteins	MFC_MF18_proteins
OG0000000	WP_348571665.1	WP_220190423.1
OG0000000	WP_348572099.1	WP_160593488.1, WP_160611384.1
OG0000001	WP_348572046.1, WP_348572047.1, WP_228366104.1, WP_011206342.1	WP_220190178.1, WP_160580916.1
OG0000002	WP_348571681.1	WP_160593538.1
OG0000002	WP_348572102.1	WP_160583787.1
OG0000003	WP_348571667.1	WP_160584042.1
OG0000004	WP_348571826.1	WP_220190407.1
OG0000007	WP_348571669.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_348571672.1	WP_002557992.1
OG0000011	WP_348572129.1	WP_220190416.1, WP_308507119.1
OG0000011	WP_348572128.1	WP_220190244.1
OG0000013	WP_348571721.1	WP_160593399.1, WP_160583612.1
OG0000013	WP_348572166.1	WP_258556248.1
OG0000014	WP_348571966.1, WP_348572005.1, WP_348572003.1	WP_220190396.1
OG0000016	WP_020835836.1	WP_160580902.1
OG0000017	WP_243215933.1	WP_160583745.1
OG0000017	WP_020835837.1	WP_160593373.1
OG0000019	WP_348571828.1	WP_160593443.1
OG0000020	WP_348571893.1	WP_160583771.1
OG0000020	WP_348571894.1	WP_220190184.1
OG0000022	WP_348572098.1	WP_160583783.1
OG0000023	WP_348572055.1	WP_160583963.1
OG0000024	WP_160585259.1, WP_348572044.1	WP_258556250.1
OG0000025	WP_348572096.1	WP_160583781.1
OG0000026	WP_192894288.1, WP_160606777.1	WP_160581190.1
OG0000027	WP_020835902.1	WP_308507118.1
OG0000027	WP_348571864.1	WP_160593509.1
OG0000029	WP_348571967.1, WP_348572001.1	WP_160593361.1
OG0000030	WP_348571860.1, WP_020835904.1	WP_160583816.1
OG0000031	WP_348572080.1	WP_160584009.1
OG0000032	WP_135618726.1, WP_348571862.1	WP_220190186.1
OG0000039	WP_348572083.1	WP_160593365.1
OG0000040	WP_348571851.1	WP_258556256.1, WP_160593380.1
OG0000042	WP_348571819.1	WP_160593363.1, WP_160583661.1
OG0000043	WP_014579804.1	WP_160581416.1
OG0000045	WP_348572084.1	WP_255454455.1, WP_255454456.1
OG0000048	WP_348571637.1	WP_308507122.1, WP_160593522.1
OG0000049	WP_020835860.1	WP_044284698.1, WP_258556255.1
OG0000050	WP_348571733.1	WP_160593409.1
OG0000051	WP_348571782.1	WP_160583877.1
OG0000052	WP_011289937.1	WP_002557464.1
OG0000053	WP_348572063.1	WP_160593530.1
OG0000054	WP_044272538.1	WP_160593405.1
OG0000055	WP_348571923.1	WP_323749063.1
OG0000056	WP_348571887.1	WP_160593493.1
OG0000057	WP_348571813.1	WP_255454457.1
OG0000062	WP_011206522.1	WP_002557486.1
OG0000063	WP_348571897.1	WP_160593336.1
OG0000064	WP_348571896.1	WP_160583769.1
OG0000065	WP_225972975.1	WP_160583941.1
OG0000066	WP_011205965.1	WP_002557543.1
OG0000068	WP_011206103.1	WP_002557593.1
OG0000069	WP_011206373.1	WP_002557626.1
OG0000070	WP_011206292.1	WP_002557663.1
OG0000071	WP_348571847.1	WP_160581282.1
OG0000072	WP_348571849.1	WP_160593453.1
OG0000073	WP_011206093.1	WP_039387630.1
OG0000074	WP_348571983.1	WP_308507108.1
OG0000075	WP_014579568.1	WP_160581028.1
OG0000076	WP_146379475.1	WP_160593357.1
OG0000077	WP_014579581.1	WP_160583701.1
OG0000078	WP_348572093.1	WP_160593384.1
OG0000079	WP_146379663.1	WP_160580968.1
OG0000080	WP_011206314.1	WP_196792423.1
OG0000081	WP_348571946.1	WP_308507105.1
OG0000082	WP_348571719.1	WP_220190398.1
OG0000083	WP_160590043.1	WP_160593548.1
OG0000084	WP_011284142.1	WP_002557451.1
OG0000085	WP_011206223.1	WP_308507123.1, WP_002557452.1
OG0000086	WP_348571632.1	WP_160593520.1
OG0000087	WP_011206228.1	WP_236681783.1
OG0000088	WP_146379590.1	WP_160581443.1
OG0000089	WP_011206231.1	WP_002557461.1
OG0000090	WP_094521535.1	WP_002557465.1
OG0000091	WP_011205850.1	WP_160593341.1
OG0000092	WP_348572163.1	WP_002557471.1
OG0000093	WP_348571911.1	WP_002557472.1
OG0000094	WP_160606485.1	WP_160583755.1
OG0000095	WP_044272251.1	WP_002557479.1
OG0000096	WP_011206529.1	WP_002557480.1
OG0000097	WP_348571902.1	WP_160583764.1
OG0000098	WP_348571899.1	WP_002557485.1
OG0000099	WP_348571889.1	WP_160593495.1
OG0000100	WP_160585575.1	WP_002557496.1
OG0000101	WP_011206510.1	WP_002557497.1
OG0000102	WP_020835678.1	WP_160593490.1
OG0000103	WP_348571656.1	WP_160583935.1
OG0000104	WP_011206239.1	WP_002557510.1
OG0000105	WP_094521691.1	WP_002557514.1
OG0000106	WP_146379631.1	WP_160583939.1
OG0000107	WP_011284169.1	WP_002557518.1
OG0000108	WP_192894278.1	WP_002557519.1
OG0000109	WP_348571653.1	WP_160583943.1
OG0000110	WP_348571715.1	WP_160581160.1
OG0000111	WP_348571713.1	WP_220190224.1
OG0000112	WP_348571709.1	WP_160583949.1
OG0000113	WP_348571700.1	WP_160593462.1
OG0000114	WP_348571697.1	WP_002557530.1
OG0000115	WP_348571692.1	WP_160583957.1
OG0000116	WP_348572051.1	WP_160583961.1
OG0000117	WP_348572053.1	WP_160581178.1
OG0000118	WP_348572057.1	WP_002557540.1
OG0000119	WP_160585678.1	WP_160593469.1
OG0000120	WP_011284027.1	WP_160581189.1
OG0000121	WP_011284032.1	WP_160583971.1
OG0000122	WP_020835643.1	WP_002557549.1
OG0000123	WP_011205954.1	WP_160581199.1
OG0000124	WP_011290118.1	WP_160593536.1
OG0000125	WP_011205952.1	WP_160581203.1
OG0000126	WP_160606641.1	WP_002557557.1
OG0000127	WP_011290122.1	WP_160593532.1
OG0000128	WP_348572065.1	WP_160593528.1
OG0000129	WP_014579732.1	WP_002557563.1
OG0000130	WP_011284046.1	WP_160593526.1
OG0000131	WP_348572069.1	WP_002557566.1
OG0000132	WP_348572073.1	WP_160584038.1
OG0000133	WP_014579589.1	WP_002557574.1
OG0000134	WP_308704690.1	WP_160583695.1
OG0000135	WP_160585148.1	WP_002557577.1
OG0000136	WP_011206119.1	WP_002557578.1
OG0000137	WP_011206113.1	WP_160583687.1
