Orthogroup	MHP_1257_proteins	MHP_KM014_proteins
OG0000000	WP_348571641.1	WP_094521686.1
OG0000000	WP_348572099.1	WP_157696714.1, WP_157696719.1
OG0000001	WP_348572046.1	WP_094521767.1
OG0000001	WP_228366104.1, WP_011206342.1	WP_094521729.1
OG0000002	WP_348571662.1	WP_011284160.1
OG0000002	WP_348572102.1	WP_094521652.1
OG0000003	WP_348572120.1	WP_094521666.1
OG0000004	WP_348571826.1	WP_094521510.1, WP_044284710.1, WP_094521785.1, WP_094521753.1
OG0000005	WP_146379449.1	WP_094521539.1
OG0000005	WP_348571918.1	WP_094521540.1
OG0000006	WP_348571744.1	WP_041361789.1
OG0000006	WP_258555696.1, WP_348571703.1, WP_225972978.1	WP_094521717.1
OG0000007	WP_348571669.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_348571672.1	WP_002557992.1
OG0000008	WP_179696025.1	WP_094521776.1
OG0000009	WP_041361519.1	WP_094521537.1
OG0000009	WP_011290021.1	WP_094521581.1
OG0000010	WP_348572122.1	WP_094521667.1
OG0000011	WP_348572129.1	WP_094521674.1
OG0000012	WP_348571950.1	WP_094521543.1, WP_094521638.1, WP_094521670.1
OG0000014	WP_348571966.1	WP_094521578.1
OG0000014	WP_348572005.1	WP_094521602.1
OG0000015	WP_240536643.1	WP_014579746.1
OG0000016	WP_020835836.1	WP_094521736.1
OG0000017	WP_243215933.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000019	WP_348571828.1	WP_094521495.1, WP_094521752.1
OG0000020	WP_348571894.1	WP_094521756.1
OG0000021	WP_348572104.1	WP_094521655.1
OG0000022	WP_348572098.1	WP_094521650.1
OG0000024	WP_348572044.1	WP_094521619.1
OG0000025	WP_348572096.1	WP_094521649.1
OG0000026	WP_160606777.1	WP_094521646.1
OG0000027	WP_348571864.1	WP_094521515.1
OG0000028	WP_348571725.1	WP_094521710.1
OG0000030	WP_020835904.1	WP_020835904.1
OG0000035	WP_348571840.1	WP_094521508.1
OG0000036	WP_020835495.1	WP_044284813.1
OG0000037	WP_348572141.1	WP_094521641.1, WP_094521640.1
OG0000038	WP_348572108.1, WP_348572172.1, WP_348572103.1	WP_094521654.1
OG0000039	WP_348572083.1	WP_094521643.1
OG0000041	WP_011290019.1	WP_011206099.1
OG0000042	WP_348571819.1	WP_094521741.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_014579804.1	WP_011290239.1
OG0000045	WP_348572084.1	WP_094521771.1
OG0000048	WP_348571637.1	WP_011284150.1
OG0000049	WP_020835860.1	WP_094521498.1
OG0000051	WP_348571782.1	WP_094521726.1
OG0000052	WP_011289937.1	WP_094521536.1
OG0000053	WP_348572063.1	WP_094521633.1
OG0000054	WP_044272538.1	WP_011206291.1
OG0000055	WP_348571923.1	WP_011205867.1
