Orthogroup	MHP_133A_genes	MHP_7422_genes
OG0000000	NB626_RS02275, NB626_RS02255	MHL_RS02190
OG0000000	NB626_RS02345	MHL_RS03905
OG0000000	NB626_RS02475	MHL_RS02380
OG0000000	NB626_RS02480	MHL_RS04190
OG0000000	NB626_RS01850	MHL_RS03710
OG0000001	NB626_RS01400	MHL_RS03980
OG0000001	NB626_RS02930	MHL_RS04080
OG0000002	NB626_RS02360	MHL_RS04055
OG0000002	NB626_RS02280	MHL_RS02195
OG0000002	NB626_RS01855	MHL_RS01800
OG0000003	NB626_RS01965	MHL_RS03835
OG0000004	NB626_RS03385	MHL_RS03205
OG0000004	NB626_RS03400	MHL_RS03215
OG0000005	NB626_RS00100	MHL_RS00105
OG0000005	NB626_RS00120	MHL_RS00125
OG0000005	NB626_RS00110	MHL_RS04205
OG0000005	NB626_RS00125	MHL_RS00130
OG0000006	NB626_RS02680, NB626_RS02685	MHL_RS03635
OG0000006	NB626_RS02520, NB626_RS02515	MHL_RS02420
OG0000007	NB626_RS02340	MHL_RS02250
OG0000007	NB626_RS02320	MHL_RS02245
OG0000008	NB626_RS02470	MHL_RS02375
OG0000008	NB626_RS01750	MHL_RS04180
OG0000008	NB626_RS02690	MHL_RS04065
OG0000009	NB626_RS00765	MHL_RS00755
OG0000009	NB626_RS00085	MHL_RS00090
OG0000009	NB626_RS00780	MHL_RS00770
OG0000010	NB626_RS01975	MHL_RS01930
OG0000011	NB626_RS02080	MHL_RS04185
OG0000012	NB626_RS01310, NB626_RS01990	MHL_RS03845
OG0000013	NB626_RS02565	MHL_RS02470
OG0000013	NB626_RS00185	MHL_RS03925
OG0000014	NB626_RS00695	MHL_RS00590
OG0000014	NB626_RS01210	MHL_RS01170
OG0000014	NB626_RS00705	MHL_RS00695
OG0000015	NB626_RS01740	MHL_RS01645
OG0000015	NB626_RS00515	MHL_RS01720
OG0000016	NB626_RS00170	MHL_RS00175
OG0000017	NB626_RS00155	MHL_RS00160
OG0000017	NB626_RS03035	MHL_RS02895
OG0000020	NB626_RS03760	MHL_RS03550
OG0000021	NB626_RS01895	MHL_RS01835
OG0000022	NB626_RS01775	MHL_RS01740
OG0000022	NB626_RS01830	MHL_RS01790
OG0000024	NB626_RS02925	MHL_RS02790
OG0000024	NB626_RS01390	MHL_RS01355
OG0000025	NB626_RS01780	MHL_RS01745
OG0000025	NB626_RS01825	MHL_RS01785
OG0000026	NB626_RS01480	MHL_RS01445
OG0000027	NB626_RS03540	MHL_RS03755
OG0000027	NB626_RS03555	MHL_RS03360
OG0000028	NB626_RS02595	MHL_RS02480
OG0000029	NB626_RS01205	MHL_RS01165
OG0000029	NB626_RS00710	MHL_RS00700
OG0000030	NB626_RS03530	MHL_RS03335
OG0000030	NB626_RS03550	MHL_RS03355
OG0000032	NB626_RS01690	MHL_RS04000
OG0000032	NB626_RS03545	MHL_RS03350
