Orthogroup	MHP_133A_genes	MHP_MHP709_genes
OG0000000	NB626_RS02350	DR088_RS03530
OG0000000	NB626_RS02275	DR088_RS03470
OG0000000	NB626_RS01845, NB626_RS02250	DR088_RS03495
OG0000000	NB626_RS01835	DR088_RS04105
OG0000000	NB626_RS01850	DR088_RS04100
OG0000001	NB626_RS02980	DR088_RS00985
OG0000001	NB626_RS02930	DR088_RS03730
OG0000002	NB626_RS02360	DR088_RS04280
OG0000002	NB626_RS02355	DR088_RS03525
OG0000002	NB626_RS02280	DR088_RS03455
OG0000002	NB626_RS01855	DR088_RS04510
OG0000003	NB626_RS01965	DR088_RS03645
OG0000004	NB626_RS03385	DR088_RS01540
OG0000004	NB626_RS03400	DR088_RS03400
OG0000004	NB626_RS03200	DR088_RS00350
OG0000005	NB626_RS00100	DR088_RS01950
OG0000005	NB626_RS00120	DR088_RS04585
OG0000005	NB626_RS00110	DR088_RS03545
OG0000005	NB626_RS00125	DR088_RS04590
OG0000006	NB626_RS02680, NB626_RS02685	DR088_RS03035
OG0000006	NB626_RS02520	DR088_RS02425
OG0000006	NB626_RS02515	DR088_RS04190
OG0000007	NB626_RS02340	DR088_RS03260
OG0000007	NB626_RS02320	DR088_RS03265
OG0000008	NB626_RS01750	DR088_RS03690
OG0000008	NB626_RS02690	DR088_RS04285
OG0000009	NB626_RS00085	DR088_RS01935
OG0000009	NB626_RS00780	DR088_RS02850
OG0000010	NB626_RS01975	DR088_RS00450
OG0000011	NB626_RS02080	DR088_RS00560
OG0000012	NB626_RS01310, NB626_RS01990	DR088_RS03650
OG0000013	NB626_RS02565	DR088_RS02380
OG0000013	NB626_RS00185	DR088_RS03910
OG0000014	NB626_RS01210	DR088_RS00785
OG0000014	NB626_RS00705	DR088_RS04355
OG0000016	NB626_RS00170	DR088_RS01355
OG0000017	NB626_RS00155	DR088_RS01370
OG0000017	NB626_RS03035	DR088_RS00265
OG0000018	NB626_RS01440, NB626_RS00480	DR088_RS04550
OG0000019	NB626_RS03205, NB626_RS03215, NB626_RS03225	DR088_RS04255
OG0000020	NB626_RS03760	DR088_RS04470
OG0000021	NB626_RS01895, NB626_RS00610, NB626_RS00605	DR088_RS00360
OG0000022	NB626_RS01775	DR088_RS02355
OG0000022	NB626_RS01830	DR088_RS04515
OG0000023	NB626_RS01435, NB626_RS00490	DR088_RS02595
OG0000024	NB626_RS02925	DR088_RS00160
OG0000024	NB626_RS01390	DR088_RS00975
OG0000025	NB626_RS01780	DR088_RS04520
OG0000025	NB626_RS01825	DR088_RS02305
OG0000026	NB626_RS01480	DR088_RS02640
OG0000026	NB626_RS01805	DR088_RS02325
