Orthogroup	MHP_133A_genes	MFC_MF33_genes
OG0000000	NB626_RS02350	DR085_RS03035
OG0000000	NB626_RS02275	DR085_RS02920
OG0000000	NB626_RS02265	DR085_RS03010
OG0000000	NB626_RS01840	DR085_RS02470
OG0000001	NB626_RS01395, NB626_RS01400, NB626_RS02980, NB626_RS02935, NB626_RS02930	DR085_RS03235
OG0000002	NB626_RS02280	DR085_RS03895
OG0000002	NB626_RS01855	DR085_RS03805
OG0000004	NB626_RS03385, NB626_RS03390, NB626_RS03400, NB626_RS03200, NB626_RS03220, NB626_RS03210	DR085_RS01395
OG0000007	NB626_RS02340	DR085_RS02890
OG0000007	NB626_RS02320	DR085_RS02895
OG0000008	NB626_RS01750	DR085_RS03145
OG0000011	NB626_RS02080	DR085_RS03875, DR085_RS02795
OG0000013	NB626_RS02565	DR085_RS00915, DR085_RS00910
OG0000013	NB626_RS00185	DR085_RS03115
OG0000014	NB626_RS00695, NB626_RS01210, NB626_RS00705	DR085_RS03650
OG0000017	NB626_RS00155	DR085_RS02380
OG0000017	NB626_RS03035	DR085_RS00595
OG0000018	NB626_RS00480	DR085_RS03745
OG0000019	NB626_RS03205, NB626_RS03215	DR085_RS03320
OG0000020	NB626_RS03760	DR085_RS03790
OG0000022	NB626_RS01830	DR085_RS03800
OG0000023	NB626_RS00490	DR085_RS02195
OG0000024	NB626_RS02925, NB626_RS01390	DR085_RS00665
OG0000025	NB626_RS01825	DR085_RS02460
OG0000026	NB626_RS01480, NB626_RS01805	DR085_RS01755
OG0000027	NB626_RS03555	DR085_RS03845
OG0000029	NB626_RS01205, NB626_RS00710	DR085_RS00425
OG0000030	NB626_RS03530, NB626_RS03550	DR085_RS03850
OG0000031	NB626_RS00435, NB626_RS01710	DR085_RS02695
OG0000032	NB626_RS03545	DR085_RS03940
OG0000033	NB626_RS02590	DR085_RS00935
OG0000039	NB626_RS01720	DR085_RS00495, DR085_RS00485
OG0000040	NB626_RS03470	DR085_RS03110, DR085_RS00715, DR085_RS00720
OG0000042	NB626_RS03120	DR085_RS00480, DR085_RS00645
OG0000043	NB626_RS02045	DR085_RS02670
OG0000045	NB626_RS01725	DR085_RS00505
OG0000048	NB626_RS02235	DR085_RS02880, DR085_RS03055
OG0000049	NB626_RS03235	DR085_RS01410
OG0000050	NB626_RS02625	DR085_RS02735
OG0000051	NB626_RS02835	DR085_RS01290
OG0000052	NB626_RS00075	DR085_RS03420
OG0000053	NB626_RS01570	DR085_RS03740
OG0000054	NB626_RS02650	DR085_RS00960
OG0000056	NB626_RS03740	DR085_RS02435
OG0000057	NB626_RS03105	DR085_RS00520
OG0000062	NB626_RS03790	DR085_RS02230
OG0000063	NB626_RS03785	DR085_RS02225
OG0000064	NB626_RS03775	DR085_RS02215
OG0000065	NB626_RS02405	DR085_RS01895
OG0000066	NB626_RS01470	DR085_RS01765
OG0000068	NB626_RS00745	DR085_RS00460
