Orthogroup	MHP_133A_genes	MHP_KM014_genes
OG0000000	NB626_RS02250	CIB43_RS03010
OG0000000	NB626_RS01835	CIB43_RS02595
OG0000000	NB626_RS01840	CIB43_RS02600
OG0000001	NB626_RS02935, NB626_RS02930	CIB43_RS03670
OG0000002	NB626_RS02360	CIB43_RS03100
OG0000002	NB626_RS01855	CIB43_RS02610
OG0000003	NB626_RS01890, NB626_RS00600	CIB43_RS01390
OG0000003	NB626_RS01965, NB626_RS01970	CIB43_RS02725
OG0000004	NB626_RS03385	CIB43_RS00290
OG0000005	NB626_RS00100	CIB43_RS00810
OG0000005	NB626_RS00120	CIB43_RS00830
OG0000006	NB626_RS02680, NB626_RS02685	CIB43_RS03435
OG0000006	NB626_RS02675, NB626_RS02485, NB626_RS02520, NB626_RS02515	CIB43_RS03420
OG0000007	NB626_RS02340	CIB43_RS03095
OG0000007	NB626_RS02320	CIB43_RS03080
OG0000008	NB626_RS02470	CIB43_RS03225
OG0000009	NB626_RS00085	CIB43_RS00790
OG0000009	NB626_RS00780	CIB43_RS01550
OG0000010	NB626_RS01975	CIB43_RS02735
OG0000011	NB626_RS02080	CIB43_RS02850
OG0000014	NB626_RS00695	CIB43_RS01485
OG0000014	NB626_RS01210	CIB43_RS01955
OG0000015	NB626_RS00515	CIB43_RS01220
OG0000017	NB626_RS00155	CIB43_RS00855
OG0000017	NB626_RS03035	CIB43_RS03765
OG0000018	NB626_RS01440	CIB43_RS02195
OG0000018	NB626_RS00480	CIB43_RS01185
OG0000019	NB626_RS03225	CIB43_RS03950, CIB43_RS00005
OG0000020	NB626_RS03760	CIB43_RS00635
OG0000021	NB626_RS01895	CIB43_RS01400
OG0000021	NB626_RS00605	CIB43_RS02635
OG0000022	NB626_RS01830	CIB43_RS02590
OG0000023	NB626_RS00490	CIB43_RS01195
OG0000024	NB626_RS01390	CIB43_RS02140
OG0000025	NB626_RS01825	CIB43_RS02585
OG0000026	NB626_RS01805	CIB43_RS02565
OG0000027	NB626_RS03555	CIB43_RS00440
OG0000028	NB626_RS02595	CIB43_RS03325
OG0000030	NB626_RS03550	CIB43_RS00435
OG0000031	NB626_RS00435	CIB43_RS01295
OG0000035	NB626_RS03395	CIB43_RS00280
OG0000035	NB626_RS03380	CIB43_RS00270
OG0000036	NB626_RS00115	CIB43_RS00815
OG0000037	NB626_RS01700	CIB43_RS02465
OG0000038	NB626_RS00595, NB626_RS01885	CIB43_RS02625
OG0000039	NB626_RS01720	CIB43_RS02500
OG0000041	NB626_RS00770	CIB43_RS03980
OG0000042	NB626_RS03120	CIB43_RS03855
OG0000043	NB626_RS02045	CIB43_RS02825
OG0000043	NB626_RS02045	CIB43_RS00070
OG0000044	NB626_RS01915	CIB43_RS02665
OG0000045	NB626_RS01725	CIB43_RS02520
OG0000047	NB626_RS00500	CIB43_RS01205
OG0000048	NB626_RS02235	CIB43_RS02995
OG0000049	NB626_RS03235	CIB43_RS00150
OG0000051	NB626_RS02835	CIB43_RS03575
OG0000052	NB626_RS00075	CIB43_RS00775
OG0000053	NB626_RS01570	CIB43_RS02315
OG0000054	NB626_RS02650	CIB43_RS03395
OG0000055	NB626_RS00135	CIB43_RS00835
OG0000056	NB626_RS03740	CIB43_RS00630, CIB43_RS03960
OG0000057	NB626_RS03105	CIB43_RS03840
OG0000058	NB626_RS00425	CIB43_RS01140
OG0000058	NB626_RS00430	CIB43_RS01300
OG0000059	NB626_RS00455	CIB43_RS00080, CIB43_RS01165
OG0000060	NB626_RS00080	CIB43_RS00780
OG0000061	NB626_RS01985	CIB43_RS02745
OG0000062	NB626_RS03790	CIB43_RS00675
OG0000063	NB626_RS03785	CIB43_RS00660
OG0000064	NB626_RS03775	CIB43_RS00650
OG0000065	NB626_RS02405	CIB43_RS03145
OG0000068	NB626_RS00745	CIB43_RS01520
