Orthogroup	MHP_133A_genes	MHP_TB1_genes
OG0000000	NB626_RS02350	B5M19_RS04470
OG0000000	NB626_RS02475	B5M19_RS03770
OG0000000	NB626_RS01835, NB626_RS01840	B5M19_RS02095
OG0000000	NB626_RS01850	B5M19_RS02100
OG0000001	NB626_RS01395, NB626_RS01400	B5M19_RS02595
OG0000001	NB626_RS02930	B5M19_RS02505, B5M19_RS02510
OG0000002	NB626_RS02360	B5M19_RS04465
OG0000002	NB626_RS02355	B5M19_RS04625
OG0000002	NB626_RS01855	B5M19_RS02105
OG0000003	NB626_RS01965	B5M19_RS03885
OG0000004	NB626_RS03400	B5M19_RS04240
OG0000005	NB626_RS00100	B5M19_RS00020
OG0000005	NB626_RS00110	B5M19_RS00030
OG0000005	NB626_RS00125	B5M19_RS04010, B5M19_RS04005
OG0000006	NB626_RS02685	B5M19_RS03630
OG0000006	NB626_RS02515	B5M19_RS02695
OG0000008	NB626_RS02470	B5M19_RS03790
OG0000008	NB626_RS01750	B5M19_RS03340
OG0000008	NB626_RS02690	B5M19_RS04540
OG0000009	NB626_RS00765	B5M19_RS04475
OG0000009	NB626_RS00780	B5M19_RS04265
OG0000010	NB626_RS01975	B5M19_RS00670
OG0000011	NB626_RS02080	B5M19_RS04080
OG0000013	NB626_RS02565	B5M19_RS02640
OG0000013	NB626_RS00185	B5M19_RS00100
OG0000014	NB626_RS01210	B5M19_RS03715
OG0000014	NB626_RS00705	B5M19_RS03505
OG0000015	NB626_RS00515	B5M19_RS03260
OG0000016	NB626_RS00170	B5M19_RS00080
OG0000017	NB626_RS00155	B5M19_RS00065
OG0000017	NB626_RS03035	B5M19_RS01415
OG0000018	NB626_RS00480	B5M19_RS04445
OG0000020	NB626_RS03760	B5M19_RS02010
OG0000021	NB626_RS00610, NB626_RS00605	B5M19_RS03625
OG0000022	NB626_RS01775	B5M19_RS02040
OG0000022	NB626_RS01830	B5M19_RS02090
OG0000024	NB626_RS02925	B5M19_RS02500
OG0000024	NB626_RS01390	B5M19_RS04395, B5M19_RS04390
OG0000025	NB626_RS01780	B5M19_RS04315
OG0000025	NB626_RS01825	B5M19_RS02085
OG0000026	NB626_RS01480	B5M19_RS01210
OG0000026	NB626_RS01805	B5M19_RS02065
