Orthogroup	MHP_133A_genes	MFC_ATCC27716_genes
OG0000000	NB626_RS02350	MFC_RS01410
OG0000000	NB626_RS02275, NB626_RS02255	MFC_RS02935
OG0000000	NB626_RS01840	MFC_RS00365
OG0000001	NB626_RS01395, NB626_RS01400, NB626_RS02980, NB626_RS02935, NB626_RS02930	MFC_RS03350
OG0000002	NB626_RS02360, NB626_RS02355	MFC_RS00395
OG0000002	NB626_RS02280	MFC_RS02940
OG0000002	NB626_RS01855	MFC_RS00370
OG0000007	NB626_RS02340	MFC_RS02975
OG0000007	NB626_RS02320	MFC_RS02970
OG0000008	NB626_RS01750	MFC_RS03380
OG0000011	NB626_RS02080	MFC_RS03510, MFC_RS03505
OG0000013	NB626_RS02565	MFC_RS03175, MFC_RS02880
OG0000013	NB626_RS00185	MFC_RS03420
OG0000014	NB626_RS00695, NB626_RS01210, NB626_RS00705	MFC_RS00870
OG0000017	NB626_RS00155	MFC_RS03155
OG0000017	NB626_RS03035	MFC_RS01040
OG0000018	NB626_RS00480	MFC_RS00540
OG0000019	NB626_RS03225	MFC_RS03330
OG0000020	NB626_RS03760	MFC_RS00300
OG0000022	NB626_RS01830	MFC_RS00360
OG0000023	NB626_RS00490	MFC_RS01695
OG0000024	NB626_RS02925, NB626_RS01390	MFC_RS01110
OG0000025	NB626_RS01825	MFC_RS00355
OG0000026	NB626_RS01480, NB626_RS01805	MFC_RS00580
OG0000027	NB626_RS03555	MFC_RS02850
OG0000029	NB626_RS01205, NB626_RS00710	MFC_RS00875
OG0000030	NB626_RS03530, NB626_RS03550	MFC_RS02855
OG0000031	NB626_RS00435, NB626_RS01710	MFC_RS01295
OG0000032	NB626_RS01690	MFC_RS02685
OG0000032	NB626_RS03545	MFC_RS02860
OG0000033	NB626_RS02590	MFC_RS01210
OG0000037	NB626_RS01700	MFC_RS03185
OG0000039	NB626_RS01720	MFC_RS03135, MFC_RS00935
OG0000040	NB626_RS03470	MFC_RS01640, MFC_RS01160, MFC_RS01165
OG0000042	NB626_RS03120	MFC_RS00930, MFC_RS01085
OG0000043	NB626_RS02045	MFC_RS01320
OG0000045	NB626_RS01725	MFC_RS00950
OG0000048	NB626_RS02235	MFC_RS00140
OG0000049	NB626_RS03235	MFC_RS03220, MFC_RS03365
OG0000050	NB626_RS02625	MFC_RS01260
OG0000051	NB626_RS02835	MFC_RS02240
OG0000052	NB626_RS00075	MFC_RS00160
OG0000053	NB626_RS01570	MFC_RS00665
OG0000054	NB626_RS02650	MFC_RS01235
OG0000055	NB626_RS00135	MFC_RS03415, MFC_RS03540
OG0000056	NB626_RS03740	MFC_RS00325
OG0000057	NB626_RS03105	MFC_RS00965
OG0000062	NB626_RS03790	MFC_RS00270
OG0000063	NB626_RS03785	MFC_RS00275
OG0000064	NB626_RS03775	MFC_RS00285
OG0000065	NB626_RS02405	MFC_RS00440
OG0000066	NB626_RS01470	MFC_RS00570
OG0000068	NB626_RS00745	MFC_RS00910
OG0000069	NB626_RS03000	MFC_RS01075
OG0000070	NB626_RS02655	MFC_RS01215
OG0000071	NB626_RS03460	MFC_RS01630
OG0000072	NB626_RS03465	MFC_RS01635
OG0000073	NB626_RS00810	MFC_RS03395, MFC_RS03390
OG0000074	NB626_RS01025	MFC_RS03400
OG0000076	NB626_RS00355	MFC_RS02580
OG0000077	NB626_RS00540	MFC_RS02670
OG0000079	NB626_RS02740	MFC_RS02930, MFC_RS03120
OG0000080	NB626_RS02790	MFC_RS03315
OG0000081	NB626_RS00335	MFC_RS03430, MFC_RS02560
OG0000083	NB626_RS02155	MFC_RS00040
OG0000084	NB626_RS02185	MFC_RS00070
OG0000085	NB626_RS02190	MFC_RS00075
OG0000086	NB626_RS02200	MFC_RS00085
OG0000087	NB626_RS02215	MFC_RS03320
OG0000088	NB626_RS02220	MFC_RS00105
OG0000089	NB626_RS02230	MFC_RS00115
OG0000090	NB626_RS00070	MFC_RS00165
OG0000091	NB626_RS00055	MFC_RS00180
OG0000092	NB626_RS00045	MFC_RS00195
OG0000093	NB626_RS00035	MFC_RS00200
OG0000094	NB626_RS00030	MFC_RS00205
OG0000095	NB626_RS00005	MFC_RS00230
OG0000096	NB626_RS03825	MFC_RS00235
OG0000097	NB626_RS03805	MFC_RS00255
OG0000098	NB626_RS03795	MFC_RS00265
OG0000099	NB626_RS03745	MFC_RS00320
OG0000100	NB626_RS03730	MFC_RS00335
OG0000101	NB626_RS03725	MFC_RS00340
OG0000102	NB626_RS01820	MFC_RS00350
OG0000103	NB626_RS02370	MFC_RS00405
OG0000104	NB626_RS02375	MFC_RS00410
OG0000105	NB626_RS02395	MFC_RS00425
OG0000106	NB626_RS02400	MFC_RS00435
OG0000107	NB626_RS02410	MFC_RS00445
OG0000108	NB626_RS02415	MFC_RS00450
OG0000109	NB626_RS02420	MFC_RS00455
OG0000110	NB626_RS02550	MFC_RS00460
OG0000111	NB626_RS02545	MFC_RS00465
OG0000112	NB626_RS02535	MFC_RS00475
OG0000113	NB626_RS02510	MFC_RS00490
OG0000114	NB626_RS02500	MFC_RS00500
OG0000115	NB626_RS02490	MFC_RS00510
OG0000116	NB626_RS01415	MFC_RS00520
OG0000117	NB626_RS01420	MFC_RS00525
OG0000118	NB626_RS01455	MFC_RS00555
OG0000119	NB626_RS01460	MFC_RS00560
OG0000120	NB626_RS01475	MFC_RS00575
OG0000121	NB626_RS01505	MFC_RS00600
OG0000122	NB626_RS01510	MFC_RS00605
OG0000123	NB626_RS01530	MFC_RS00625
OG0000124	NB626_RS01535	MFC_RS00630
OG0000125	NB626_RS01540	MFC_RS00635
OG0000126	NB626_RS01550	MFC_RS00645
OG0000127	NB626_RS01560	MFC_RS00655
OG0000128	NB626_RS01575	MFC_RS00670
OG0000129	NB626_RS01580	MFC_RS00675
OG0000130	NB626_RS01590	MFC_RS00685
OG0000131	NB626_RS01620	MFC_RS00715
OG0000132	NB626_RS01635	MFC_RS00735
OG0000133	NB626_RS00630	MFC_RS00805
OG0000134	NB626_RS00635	MFC_RS00810
