Orthogroup	MHP_133A_genes	MHP_112B_genes
OG0000000	NB626_RS02350	NBX26_RS01900
OG0000000	NB626_RS02275	NBX26_RS01015
OG0000000	NB626_RS02345	NBX26_RS01035
OG0000000	NB626_RS02250	NBX26_RS01905
OG0000000	NB626_RS02475	NBX26_RS02470
OG0000000	NB626_RS01835, NB626_RS01840	NBX26_RS01850
OG0000000	NB626_RS01850	NBX26_RS01860
OG0000001	NB626_RS02930	NBX26_RS02925, NBX26_RS02920
OG0000002	NB626_RS02360	NBX26_RS02355
OG0000002	NB626_RS02355	NBX26_RS01895
OG0000002	NB626_RS02280	NBX26_RS01010
OG0000003	NB626_RS00600	NBX26_RS00500, NBX26_RS00510
OG0000003	NB626_RS02325	NBX26_RS00940
OG0000004	NB626_RS03385	NBX26_RS03380
OG0000004	NB626_RS03400	NBX26_RS03385
OG0000004	NB626_RS03200	NBX26_RS03185
OG0000004	NB626_RS03210	NBX26_RS03205
OG0000005	NB626_RS00100	NBX26_RS00105
OG0000005	NB626_RS00110	NBX26_RS00110
OG0000006	NB626_RS02680, NB626_RS02685	NBX26_RS02660
OG0000007	NB626_RS02330	NBX26_RS00950
OG0000007	NB626_RS02340	NBX26_RS01050
OG0000007	NB626_RS02320	NBX26_RS01055
OG0000008	NB626_RS02470	NBX26_RS02465
OG0000008	NB626_RS01750	NBX26_RS01765
OG0000008	NB626_RS02690	NBX26_RS02670, NBX26_RS02665
OG0000009	NB626_RS00765	NBX26_RS00665
OG0000009	NB626_RS00085	NBX26_RS00090
OG0000009	NB626_RS00780	NBX26_RS00685
OG0000010	NB626_RS01975	NBX26_RS02250
OG0000011	NB626_RS02080	NBX26_RS02155
OG0000012	NB626_RS01990	NBX26_RS02235
OG0000013	NB626_RS02565	NBX26_RS02550
OG0000014	NB626_RS00705	NBX26_RS00605
OG0000015	NB626_RS01740	NBX26_RS01690
OG0000016	NB626_RS00170	NBX26_RS00160
OG0000017	NB626_RS00155	NBX26_RS00145
OG0000017	NB626_RS03035	NBX26_RS03025
OG0000019	NB626_RS03205, NB626_RS03215	NBX26_RS03210
OG0000020	NB626_RS03760	NBX26_RS03745
OG0000021	NB626_RS00610, NB626_RS00605	NBX26_RS02335
OG0000022	NB626_RS01775	NBX26_RS01790
OG0000022	NB626_RS01830	NBX26_RS01845
OG0000024	NB626_RS02925	NBX26_RS02915
OG0000024	NB626_RS01390	NBX26_RS01400
OG0000025	NB626_RS01780	NBX26_RS01795
OG0000025	NB626_RS01825	NBX26_RS01840
OG0000026	NB626_RS01480	NBX26_RS01490
OG0000026	NB626_RS01805	NBX26_RS01820
OG0000027	NB626_RS03540	NBX26_RS03535
OG0000027	NB626_RS03555	NBX26_RS03555
OG0000028	NB626_RS02595	NBX26_RS02575
OG0000029	NB626_RS01205	NBX26_RS01225
OG0000029	NB626_RS00710	NBX26_RS00610
OG0000030	NB626_RS03530	NBX26_RS03525
OG0000030	NB626_RS03550	NBX26_RS03550
OG0000031	NB626_RS00435	NBX26_RS01990
OG0000032	NB626_RS01690	NBX26_RS01700
OG0000032	NB626_RS03545	NBX26_RS03540, NBX26_RS03545
OG0000033	NB626_RS02590	NBX26_RS02570
OG0000033	NB626_RS02570	NBX26_RS02555
OG0000033	NB626_RS02580	NBX26_RS02560
OG0000035	NB626_RS03395	NBX26_RS03375
OG0000035	NB626_RS03380	NBX26_RS03365
OG0000036	NB626_RS00115	NBX26_RS00120
OG0000038	NB626_RS00595	NBX26_RS00490
OG0000039	NB626_RS01720	NBX26_RS01735
OG0000040	NB626_RS03470	NBX26_RS03455
OG0000041	NB626_RS00770	NBX26_RS00670
OG0000041	NB626_RS01305	NBX26_RS01320
OG0000042	NB626_RS03120	NBX26_RS03110
OG0000043	NB626_RS02045	NBX26_RS02185
OG0000044	NB626_RS01790	NBX26_RS01805
OG0000044	NB626_RS01915	NBX26_RS02310
OG0000045	NB626_RS01725	NBX26_RS01745
OG0000046	NB626_RS03480	NBX26_RS03470
OG0000046	NB626_RS03475	NBX26_RS03460
OG0000048	NB626_RS02235	NBX26_RS01920
OG0000049	NB626_RS03235	NBX26_RS03220
OG0000050	NB626_RS02625	NBX26_RS02610
OG0000051	NB626_RS02835	NBX26_RS02825
OG0000052	NB626_RS00075	NBX26_RS00080, NBX26_RS00075
OG0000053	NB626_RS01570	NBX26_RS01580
OG0000054	NB626_RS02650	NBX26_RS02635
OG0000055	NB626_RS00135	NBX26_RS00125
OG0000056	NB626_RS03740	NBX26_RS03730
OG0000057	NB626_RS03105	NBX26_RS03095
OG0000058	NB626_RS00425	NBX26_RS01995
OG0000060	NB626_RS00080	NBX26_RS00085
OG0000061	NB626_RS01985	NBX26_RS02240
OG0000062	NB626_RS03790	NBX26_RS03775
OG0000063	NB626_RS03785	NBX26_RS03770
OG0000064	NB626_RS03775	NBX26_RS03760
OG0000065	NB626_RS02405	NBX26_RS02400
OG0000066	NB626_RS01470	NBX26_RS01480
OG0000068	NB626_RS00745	NBX26_RS00645
OG0000069	NB626_RS03000	NBX26_RS02990
OG0000070	NB626_RS02655	NBX26_RS02640
OG0000071	NB626_RS03460	NBX26_RS03445
OG0000072	NB626_RS03465	NBX26_RS03450
OG0000073	NB626_RS00810	NBX26_RS00715
OG0000074	NB626_RS01020	NBX26_RS00910
OG0000075	NB626_RS00340	NBX26_RS00335
OG0000076	NB626_RS00360	NBX26_RS00350
OG0000077	NB626_RS00540	NBX26_RS00435
OG0000078	NB626_RS01795	NBX26_RS01810
OG0000079	NB626_RS02740	NBX26_RS02720
OG0000080	NB626_RS02790	NBX26_RS02765
OG0000081	NB626_RS00335	NBX26_RS00330
OG0000083	NB626_RS02155	NBX26_RS02080
OG0000084	NB626_RS02185	NBX26_RS02050
OG0000085	NB626_RS02190	NBX26_RS02045
OG0000086	NB626_RS02200	NBX26_RS02030
OG0000087	NB626_RS02215	NBX26_RS02015
OG0000088	NB626_RS02220	NBX26_RS02010
OG0000089	NB626_RS02230	NBX26_RS02000
OG0000090	NB626_RS00070	NBX26_RS00070
OG0000091	NB626_RS00055	NBX26_RS00055
OG0000092	NB626_RS00045	NBX26_RS00040
OG0000093	NB626_RS00035	NBX26_RS00035
OG0000094	NB626_RS00030	NBX26_RS00030
OG0000095	NB626_RS00005	NBX26_RS00005
OG0000096	NB626_RS03825	NBX26_RS03810
OG0000097	NB626_RS03805	NBX26_RS03790
OG0000098	NB626_RS03795	NBX26_RS03780
OG0000099	NB626_RS03745	NBX26_RS03735
OG0000100	NB626_RS03730	NBX26_RS03720
OG0000101	NB626_RS03725	NBX26_RS03715
OG0000102	NB626_RS01820	NBX26_RS01835
OG0000103	NB626_RS02370	NBX26_RS02365
OG0000104	NB626_RS02375	NBX26_RS02370
OG0000105	NB626_RS02395	NBX26_RS02390
OG0000106	NB626_RS02400	NBX26_RS02395
OG0000107	NB626_RS02410	NBX26_RS02405
OG0000108	NB626_RS02415	NBX26_RS02410
OG0000109	NB626_RS02420	NBX26_RS02415
OG0000110	NB626_RS02550	NBX26_RS02535
OG0000111	NB626_RS02545	NBX26_RS02530
OG0000112	NB626_RS02535	NBX26_RS02520
OG0000113	NB626_RS02510	NBX26_RS02500
OG0000114	NB626_RS02500	NBX26_RS02490
OG0000115	NB626_RS02490	NBX26_RS02480
OG0000116	NB626_RS01415	NBX26_RS01420
OG0000117	NB626_RS01420	NBX26_RS01425
OG0000118	NB626_RS01455	NBX26_RS01460
OG0000119	NB626_RS01460	NBX26_RS01470
OG0000120	NB626_RS01475	NBX26_RS01485
OG0000121	NB626_RS01505	NBX26_RS01515
OG0000122	NB626_RS01510	NBX26_RS01520
OG0000123	NB626_RS01530	NBX26_RS01540
OG0000124	NB626_RS01535	NBX26_RS01545
OG0000125	NB626_RS01540	NBX26_RS01550
