Gene clusters,Quantity of genomes of gene cluster has hits,Quantity of genes in gene cluster,Quantity maxima of paralogs,SCG,Functional homogeneity index,Geometric homogeneity index,Combined homogeneity index,Distribution layer,Copy-number class,Conservation pattern,Diversity type
GC_00000001,35,352,14,0,0.588995481041963,0.756881303425587,0.662467281622941,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000002,35,211,10,0,0.591440930227703,0.678588873638613,0.632024907518211,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000003,35,118,12,0,0.987771529420202,0.826853629080304,0.900177615170068,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000004,35,114,6,0,0.584650327551787,0.786670784141278,0.670779918287384,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000005,35,103,5,0,0.853038794494754,0.633636342824666,0.727147940343991,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000006,35,98,4,0,0.801765818793357,0.720972557595624,0.759225828850503,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000007,34,87,6,0,0.820256914211646,0.663575907283068,0.733644273355415,Shell,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000008,33,87,4,0,0.875354219075733,0.947455807035111,0.909979017227059,Shell,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000009,32,86,8,0,0.704771738199937,0.667579648101562,0.685671721799209,Shell,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000010,35,85,4,0,0.803614353331846,0.641413387203085,0.713410531738005,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000011,24,78,7,0,0.737599862861926,0.652570424395337,0.692484740831861,Shell,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000012,35,72,3,0,0.874101194070328,0.687365266826907,0.769567346519409,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000013,35,72,3,0,0.691856350227914,0.692941031808346,0.69239826621442,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000014,33,72,5,0,0.959671261841034,0.841088830239907,0.896475641132156,Shell,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000015,35,68,3,0,0.677783466817328,0.695395365535672,0.686476474231446,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000016,32,65,3,0,0.818804731194803,0.672356606843989,0.738389276452151,Shell,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000017,35,65,3,0,0.884623172346346,0.676044735406435,0.766396022513741,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000018,35,64,2,0,0.946387402411394,0.726307442511938,0.821869232104247,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000019,35,64,2,0,0.802949570841624,0.836017509249479,0.819149949284691,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000020,35,62,2,0,0.712525837587489,0.675554699549163,0.693547910592229,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
