Gene clusters,Quantity of genomes of gene cluster has hits,Quantity of genes in gene cluster,Quantity maxima of paralogs,SCG,Functional homogeneity index,Geometric homogeneity index,Combined homogeneity index,Distribution layer,Copy-number class,Conservation pattern,Diversity type
GC_00000001,8,28,6,0,0.658620450726671,0.616279737263343,0.636747005222462,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000002,8,22,4,0,0.870811503524179,0.67281695083379,0.759116274253722,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000003,8,18,6,0,0.660131784968685,0.65056666323811,0.655314322271536,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000004,8,17,3,0,0.865674326481942,0.903740416430323,0.884297906346338,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000005,8,16,2,0,0.851904319211416,0.848448162304568,0.850172728244941,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000006,8,15,2,0,0.684345765963081,0.684574136853805,0.684459932359387,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000007,7,13,3,0,0.952008412197687,0.589547201691414,0.728165614449521,Shell,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000008,8,13,2,0,0.920556084728081,0.600817423740006,0.727087900710759,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000009,8,13,2,0,0.936427546455402,0.705174648848646,0.804512771891831,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000010,8,12,2,0,0.93601383484652,0.637501095395836,0.758441923304035,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000011,8,12,2,0,0.849030484909111,0.91330693504922,0.879996555885453,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000012,8,12,3,0,0.946890165752221,0.80674223461547,0.871215983571233,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000013,8,11,2,0,0.993366022497837,0.651261727596247,0.786732769054084,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000014,8,11,2,0,0.928681940878267,0.795035575295321,0.856677702935373,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000015,8,11,2,0,0.951030227384823,0.729121223823502,0.825421211623841,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000016,8,11,2,0,0.966365274670644,0.708674180225909,0.817697895800667,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000017,8,10,2,0,0.946976246346383,0.78532862190813,0.85861047226899,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000018,8,10,2,0,0.995275536243879,0.913290194126432,0.952521962687758,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000019,8,9,2,0,1.0,1.0,1.0,Core,Multiple copies-gene,Homogeneous,
GC_00000020,8,9,2,0,0.999725651577503,0.946210801393726,0.972232375326185,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000021,8,9,2,0,0.99800290486565,1.0,0.999000454338937,Core,Multiple copies-gene,Heterogeneous,Functional
GC_00000022,8,9,2,0,0.99657960199005,0.830711604001997,0.906117467177729,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000023,8,9,2,0,0.997547302032235,0.890865797365925,0.941193187993028,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000024,8,9,2,0,0.919230769230769,0.941790636971925,0.930373964310809,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000025,8,9,2,0,0.998255873602134,1.0,0.999127175643066,Core,Multiple copies-gene,Heterogeneous,Functional
GC_00000026,8,9,2,0,0.999600145401672,0.830044991998075,0.906966140844532,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000027,8,9,2,0,0.995151251990158,0.895810417302402,0.942871421246549,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000028,8,9,2,0,0.999843321582452,0.85394883923425,0.921155091631521,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000029,8,9,2,0,0.995014245014245,1.0,0.997500892538379,Core,Multiple copies-gene,Heterogeneous,Functional
GC_00000030,8,9,2,0,0.981435575386988,0.834613958273519,0.902089745000655,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000031,8,9,2,0,0.997464269248502,1.0,0.998730525100981,Core,Multiple copies-gene,Heterogeneous,Functional
GC_00000032,8,9,2,0,0.997196738022426,1.0,0.998596401684318,Core,Multiple copies-gene,Heterogeneous,Functional
GC_00000033,8,9,2,0,0.998840327607451,1.0,0.999419827398651,Core,Multiple copies-gene,Heterogeneous,Functional
GC_00000034,8,9,2,0,0.989869608826479,0.885263388503796,0.934648715940985,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000035,8,9,2,0,0.98925747078172,0.888853114972011,0.936371469373066,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000036,7,9,2,0,0.986007995431182,0.71011707336334,0.825624389274643,Shell,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000037,8,9,2,0,0.981279429334458,0.854016481362432,0.913235626570253,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000038,8,9,2,0,0.99170881983798,0.824571723127921,0.900450157418564,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000039,8,9,2,0,0.994000299985001,0.999700104963264,0.996842054866621,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000040,8,9,2,0,0.959066795273692,0.860722878422548,0.907237517125566,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000041,8,9,2,0,0.986293183940243,0.831744795529839,0.902450038857784,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000042,8,9,2,0,0.983633063347519,0.711700834118994,0.825857930048589,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000043,7,9,3,0,0.970409397418692,0.9466472341631,0.958381048257615,Shell,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000044,8,9,2,0,0.959896909506987,0.833979599200148,0.892519006719198,Core,Multiple copies-gene,Heterogeneous,Functioal and Geometric
GC_00000045,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000046,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000047,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000048,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000049,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000050,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000051,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000052,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000053,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000054,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000055,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000056,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000057,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000058,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000059,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000060,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000061,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000062,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000063,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000064,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000065,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000066,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000067,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000068,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000069,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000070,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000071,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000072,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000073,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000074,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000075,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000076,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000077,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000078,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000079,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000080,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000081,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000082,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000083,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000084,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000085,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000086,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000087,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000088,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000089,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000090,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000091,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000092,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000093,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000094,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000095,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000096,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000097,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000098,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000099,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000100,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000101,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000102,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000103,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000104,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000105,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000106,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000107,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000108,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000109,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000110,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000111,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000112,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000113,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000114,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000115,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000116,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000117,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000118,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000119,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000120,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000121,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000122,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000123,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000124,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000125,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000126,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000127,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000128,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
GC_00000129,8,8,1,1,1.0,1.0,1.0,Core,Single copies-gene,Homogeneous,
