Orthogroup	MHP_232_genes	MHP_UFV02_genes
OG0000000	MHP_RS02080	FEF31_RS01935
OG0000000	MHP_RS04000	FEF31_RS01860
OG0000000	MHP_RS02190	FEF31_RS02055
OG0000000	MHP_RS03825	FEF31_RS01380, FEF31_RS01385
OG0000001	MHP_RS00720, MHP_RS00725	FEF31_RS00940
OG0000001	MHP_RS03580	FEF31_RS02540
OG0000001	MHP_RS03935	FEF31_RS02495
OG0000001	MHP_RS02610	FEF31_RS02490
OG0000002	MHP_RS03905	FEF31_RS01945
OG0000002	MHP_RS03800	FEF31_RS01940
OG0000002	MHP_RS01720	FEF31_RS04455
OG0000003	MHP_RS01825	FEF31_RS01590
OG0000004	MHP_RS03135	FEF31_RS03775
OG0000005	MHP_RS00100	FEF31_RS03370
OG0000005	MHP_RS00120	FEF31_RS04665
OG0000005	MHP_RS00105	FEF31_RS04660
OG0000005	MHP_RS00110	FEF31_RS03380
OG0000005	MHP_RS00125	FEF31_RS04670
OG0000006	MHP_RS02365	FEF31_RS02230
OG0000006	MHP_RS02230	FEF31_RS02090
OG0000008	MHP_RS03725, MHP_RS03910	FEF31_RS02050
OG0000008	MHP_RS01640	FEF31_RS01300
OG0000008	MHP_RS03920	FEF31_RS02250
OG0000009	MHP_RS01325	FEF31_RS00325
OG0000009	MHP_RS03870	FEF31_RS00845
OG0000009	MHP_RS01315	FEF31_RS00335
OG0000010	MHP_RS01830	FEF31_RS01600
OG0000010	MHP_RS00445	FEF31_RS04440
OG0000011	MHP_RS01915	FEF31_RS01695
OG0000011	MHP_RS01910	FEF31_RS01690
OG0000012	MHP_RS00400	FEF31_RS02235
OG0000013	MHP_RS02275	FEF31_RS02135
OG0000013	MHP_RS03840	FEF31_RS03455
OG0000014	MHP_RS00920	FEF31_RS00745
OG0000014	MHP_RS01385	FEF31_RS04375
OG0000016	MHP_RS02785	FEF31_RS02580
OG0000016	MHP_RS00180	FEF31_RS03440
OG0000017	MHP_RS00165	FEF31_RS03425
OG0000017	MHP_RS02795	FEF31_RS02590
OG0000019	MHP_RS02965	FEF31_RS04805
OG0000020	MHP_RS03465	FEF31_RS03220
OG0000020	MHP_RS03470	FEF31_RS04270
OG0000021	MHP_RS01755	FEF31_RS01520
OG0000022	MHP_RS01655	FEF31_RS01320
OG0000022	MHP_RS01705	FEF31_RS04450
OG0000024	MHP_RS02605	FEF31_RS02485
OG0000024	MHP_RS00730	FEF31_RS00930
OG0000025	MHP_RS01660	FEF31_RS04445
OG0000025	MHP_RS01700	FEF31_RS01370
OG0000026	MHP_RS00640	FEF31_RS01025
OG0000026	MHP_RS01680	FEF31_RS01350
