Orthogroup	MHP_232_genes	MFC_MF11_genes
OG0000000	MHP_RS02080	DR093_RS02920
OG0000000	MHP_RS03825	DR093_RS03435, DR093_RS03440
OG0000001	MHP_RS00720, MHP_RS00725, MHP_RS03580, MHP_RS03935, MHP_RS02610	DR093_RS00830, DR093_RS00825
OG0000002	MHP_RS01720	DR093_RS03845
OG0000004	MHP_RS02945, MHP_RS02960	DR093_RS01845
OG0000008	MHP_RS01640	DR093_RS03250
OG0000011	MHP_RS01915	DR093_RS03025
OG0000011	MHP_RS01910	DR093_RS03260
OG0000013	MHP_RS02275	DR093_RS01095, DR093_RS01090
OG0000013	MHP_RS03840	DR093_RS03220
OG0000014	MHP_RS00920, MHP_RS01385	DR093_RS03805
OG0000016	MHP_RS02785	DR093_RS00770
OG0000016	MHP_RS00180	DR093_RS00190
OG0000017	MHP_RS00165	DR093_RS00175
OG0000017	MHP_RS02795	DR093_RS00760
OG0000018	MHP_RS03940, MHP_RS03945	DR093_RS03935
OG0000019	MHP_RS02965	DR093_RS03125
OG0000020	MHP_RS03465	DR093_RS03835
OG0000020	MHP_RS03470	DR093_RS03830
OG0000022	MHP_RS01705	DR093_RS03840
OG0000023	MHP_RS00685, MHP_RS02730	DR093_RS01985
OG0000024	MHP_RS02605, MHP_RS00730	DR093_RS00835
OG0000025	MHP_RS01700	DR093_RS01230
OG0000026	MHP_RS00640, MHP_RS01680	DR093_RS02030
OG0000027	MHP_RS03675	DR093_RS01425
OG0000027	MHP_RS03280	DR093_RS03885
OG0000028	MHP_RS02285	DR093_RS01110
OG0000029	MHP_RS00925, MHP_RS01380	DR093_RS00605
OG0000030	MHP_RS03260, MHP_RS03275	DR093_RS03890
OG0000031	MHP_RS02675, MHP_RS01600	DR093_RS02685
OG0000032	MHP_RS03960, MHP_RS03270	DR093_RS01420
OG0000039	MHP_RS03880, MHP_RS01615	DR093_RS00665
OG0000040	MHP_RS03205	DR093_RS02380, DR093_RS03230
OG0000042	MHP_RS02885	DR093_RS00660, DR093_RS03365, DR093_RS00810
OG0000043	MHP_RS01880	DR093_RS02660
OG0000045	MHP_RS01625	DR093_RS00670
OG0000047	MHP_RS02735	DR093_RS00840
OG0000048	MHP_RS02060	DR093_RS03685, DR093_RS03690
OG0000049	MHP_RS02985	DR093_RS03590
OG0000050	MHP_RS02315	DR093_RS04015
OG0000051	MHP_RS02520	DR093_RS01745
OG0000052	MHP_RS00075	DR093_RS00140
OG0000053	MHP_RS00555	DR093_RS03940
OG0000054	MHP_RS02340	DR093_RS01140
