Orthogroup	MHP_232_genes	MHP_NCTC10127_genes
OG0000000	MHP_RS02080	EXC50_RS01055
OG0000000	MHP_RS02190	EXC50_RS01165
OG0000000	MHP_RS03915	EXC50_RS01170
OG0000000	MHP_RS03825	EXC50_RS03990
OG0000000	MHP_RS01715	EXC50_RS00675
OG0000001	MHP_RS00720	EXC50_RS02805
OG0000001	MHP_RS00725	EXC50_RS02810
OG0000001	MHP_RS03580	EXC50_RS01640
OG0000001	MHP_RS03935	EXC50_RS04045
OG0000001	MHP_RS02610	EXC50_RS01590
OG0000002	MHP_RS03905	EXC50_RS04010
OG0000002	MHP_RS01720	EXC50_RS00680
OG0000003	MHP_RS01750	EXC50_RS00710
OG0000003	MHP_RS01485	EXC50_RS03580
OG0000004	MHP_RS03125	EXC50_RS02040
OG0000004	MHP_RS03135	EXC50_RS02050
OG0000004	MHP_RS02945	EXC50_RS01845
OG0000004	MHP_RS02960	EXC50_RS01865
OG0000005	MHP_RS00100	EXC50_RS00100
OG0000005	MHP_RS00120	EXC50_RS00120
OG0000005	MHP_RS00105	EXC50_RS00105
OG0000005	MHP_RS00110	EXC50_RS00110
OG0000005	MHP_RS00125	EXC50_RS00125
OG0000006	MHP_RS02365	EXC50_RS04025
OG0000006	MHP_RS03575	EXC50_RS01175
OG0000006	MHP_RS02230	EXC50_RS01210
OG0000008	MHP_RS03725	EXC50_RS01160
OG0000008	MHP_RS03910	EXC50_RS04015
OG0000008	MHP_RS01640	EXC50_RS00595
OG0000008	MHP_RS03920	EXC50_RS04030
OG0000009	MHP_RS01325	EXC50_RS03420
OG0000009	MHP_RS00085	EXC50_RS00085
OG0000009	MHP_RS03870	EXC50_RS04115
OG0000009	MHP_RS01315	EXC50_RS03405
OG0000010	MHP_RS01830	EXC50_RS00795
OG0000010	MHP_RS03845	EXC50_RS04090
OG0000010	MHP_RS00445	EXC50_RS02530
OG0000010	MHP_RS00095	EXC50_RS00095
OG0000011	MHP_RS01915	EXC50_RS00895
OG0000011	MHP_RS01910	EXC50_RS00890
OG0000012	MHP_RS00400	EXC50_RS01855
OG0000013	MHP_RS02275	EXC50_RS01255
OG0000013	MHP_RS03840	EXC50_RS03965
OG0000014	MHP_RS00920	EXC50_RS03000
OG0000014	MHP_RS01385	EXC50_RS03480
OG0000015	MHP_RS03975	EXC50_RS04220
OG0000015	MHP_RS02750	EXC50_RS03670
OG0000016	MHP_RS02785	EXC50_RS01680
OG0000016	MHP_RS00180	EXC50_RS00170
OG0000017	MHP_RS00165	EXC50_RS00155
OG0000017	MHP_RS02795	EXC50_RS01690
OG0000018	MHP_RS00680	EXC50_RS02765
OG0000018	MHP_RS03940	EXC50_RS04150, EXC50_RS04145, EXC50_RS04085
OG0000019	MHP_RS02965	EXC50_RS04065
OG0000019	MHP_RS02955	EXC50_RS04060
OG0000020	MHP_RS03465	EXC50_RS02390
OG0000020	MHP_RS03470	EXC50_RS02395
OG0000021	MHP_RS01755	EXC50_RS00715
OG0000021	MHP_RS01475	EXC50_RS03575
OG0000022	MHP_RS01655	EXC50_RS00615
OG0000022	MHP_RS01705	EXC50_RS00670
OG0000023	MHP_RS00685	EXC50_RS02770
OG0000023	MHP_RS02730	EXC50_RS00495, EXC50_RS03740
OG0000024	MHP_RS02605	EXC50_RS01585
OG0000024	MHP_RS00730	EXC50_RS02815
OG0000025	MHP_RS01660	EXC50_RS00620
OG0000025	MHP_RS01700	EXC50_RS00665
OG0000026	MHP_RS00640	EXC50_RS02725
OG0000026	MHP_RS01680	EXC50_RS00645
OG0000027	MHP_RS03675	EXC50_RS02185
OG0000027	MHP_RS03280	EXC50_RS02200
OG0000028	MHP_RS02285	EXC50_RS01265
OG0000029	MHP_RS00925	EXC50_RS03005
OG0000029	MHP_RS01380	EXC50_RS03475
OG0000030	MHP_RS03260	EXC50_RS02175
OG0000030	MHP_RS03275	EXC50_RS02195
OG0000031	MHP_RS02675	EXC50_RS02515, EXC50_RS03805
OG0000031	MHP_RS01600	EXC50_RS00545
OG0000032	MHP_RS03960	EXC50_RS04070
OG0000032	MHP_RS03270	EXC50_RS02190
OG0000033	MHP_RS02280	EXC50_RS01260
OG0000035	MHP_RS03130	EXC50_RS02045
OG0000035	MHP_RS03120	EXC50_RS02025
OG0000036	MHP_RS00115	EXC50_RS00115
OG0000036	MHP_RS00130	EXC50_RS00130
OG0000037	MHP_RS03820	EXC50_RS03970
OG0000038	MHP_RS01490	EXC50_RS03585
OG0000038	MHP_RS01745	EXC50_RS00705
OG0000039	MHP_RS03880	EXC50_RS03975
OG0000039	MHP_RS01615	EXC50_RS00560
OG0000040	MHP_RS03205	EXC50_RS02120
OG0000041	MHP_RS01320	EXC50_RS03415
OG0000042	MHP_RS02885	EXC50_RS01780
OG0000043	MHP_RS01880	EXC50_RS00860
OG0000044	MHP_RS01785	EXC50_RS00745
OG0000045	MHP_RS01625	EXC50_RS00570
OG0000046	MHP_RS03215	EXC50_RS02130
OG0000047	MHP_RS02735	EXC50_RS03955, EXC50_RS03735
OG0000048	MHP_RS02060	EXC50_RS01040
OG0000049	MHP_RS02985	EXC50_RS01890
OG0000050	MHP_RS02315	EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295
OG0000051	MHP_RS02520	EXC50_RS01500
OG0000052	MHP_RS00075	EXC50_RS00075
OG0000053	MHP_RS00555	EXC50_RS02640
OG0000054	MHP_RS02340	EXC50_RS04250
OG0000055	MHP_RS00145	EXC50_RS00135
OG0000056	MHP_RS03450	EXC50_RS02375
OG0000057	MHP_RS02870	EXC50_RS01765
OG0000058	MHP_RS02670	EXC50_RS03810
OG0000059	MHP_RS02680	EXC50_RS03800
OG0000060	MHP_RS03835	EXC50_RS03960
OG0000060	MHP_RS03865	EXC50_RS04110
OG0000061	MHP_RS01580	EXC50_RS00525
OG0000061	MHP_RS01840	EXC50_RS00805
OG0000062	MHP_RS03505	EXC50_RS02425
OG0000063	MHP_RS03500	EXC50_RS02420
OG0000064	MHP_RS03490	EXC50_RS02410
OG0000065	MHP_RS02125	EXC50_RS01100
OG0000066	MHP_RS00650	EXC50_RS02735
OG0000067	MHP_RS01460	EXC50_RS03560
OG0000068	MHP_RS03685	EXC50_RS03440
OG0000069	MHP_RS02760	EXC50_RS01655
OG0000070	MHP_RS02345	EXC50_RS03840, EXC50_RS01325
OG0000071	MHP_RS03195	EXC50_RS02110
OG0000072	MHP_RS03200	EXC50_RS02115
OG0000073	MHP_RS01290	EXC50_RS03380
OG0000074	MHP_RS01100	EXC50_RS03185
OG0000075	MHP_RS00350	EXC50_RS00355
OG0000076	MHP_RS00365	EXC50_RS00370
OG0000077	MHP_RS01545	EXC50_RS03640
OG0000078	MHP_RS01670	EXC50_RS00635
OG0000079	MHP_RS02420	EXC50_RS01405
OG0000080	MHP_RS03805	EXC50_RS03930
OG0000081	MHP_RS00345	EXC50_RS00350
OG0000082	MHP_RS02270	EXC50_RS01250
OG0000083	MHP_RS01985	EXC50_RS00965
OG0000084	MHP_RS02010	EXC50_RS00990
OG0000085	MHP_RS02015	EXC50_RS00995
OG0000086	MHP_RS02025	EXC50_RS01005
OG0000087	MHP_RS02040	EXC50_RS01020
OG0000088	MHP_RS02045	EXC50_RS01025
OG0000089	MHP_RS02055	EXC50_RS01035
OG0000090	MHP_RS00070	EXC50_RS00070
OG0000091	MHP_RS00055	EXC50_RS00055
OG0000092	MHP_RS00040	EXC50_RS00040
OG0000093	MHP_RS00035	EXC50_RS00035
OG0000094	MHP_RS00030	EXC50_RS00030
OG0000095	MHP_RS00005	EXC50_RS00005
OG0000096	MHP_RS03540	EXC50_RS02460
OG0000097	MHP_RS03520	EXC50_RS02440
OG0000098	MHP_RS03510	EXC50_RS02430
OG0000099	MHP_RS03455	EXC50_RS02380
OG0000100	MHP_RS03440	EXC50_RS02365
OG0000101	MHP_RS03435	EXC50_RS02360
OG0000102	MHP_RS01695	EXC50_RS00660
OG0000103	MHP_RS02090	EXC50_RS01065
OG0000104	MHP_RS02095	EXC50_RS01070
OG0000105	MHP_RS02110	EXC50_RS01085
OG0000106	MHP_RS02120	EXC50_RS01095
OG0000107	MHP_RS02130	EXC50_RS01105
OG0000108	MHP_RS02135	EXC50_RS01110
OG0000109	MHP_RS02140	EXC50_RS01115
OG0000110	MHP_RS02260	EXC50_RS01240
OG0000111	MHP_RS02255	EXC50_RS01235
OG0000112	MHP_RS02245	EXC50_RS01225
OG0000113	MHP_RS02225	EXC50_RS01205
OG0000114	MHP_RS02215	EXC50_RS01195
OG0000115	MHP_RS02205	EXC50_RS01180
OG0000116	MHP_RS00705	EXC50_RS02790
OG0000117	MHP_RS00700	EXC50_RS02785
OG0000118	MHP_RS00665	EXC50_RS02750
OG0000119	MHP_RS00660	EXC50_RS02745
OG0000120	MHP_RS00645	EXC50_RS02730
OG0000121	MHP_RS00620	EXC50_RS02705
OG0000122	MHP_RS00615	EXC50_RS02700
OG0000123	MHP_RS00595	EXC50_RS02680
OG0000124	MHP_RS00590	EXC50_RS02675
OG0000125	MHP_RS00585	EXC50_RS02670
OG0000126	MHP_RS00575	EXC50_RS02660
OG0000127	MHP_RS00565	EXC50_RS02650
OG0000128	MHP_RS00550	EXC50_RS02635
OG0000129	MHP_RS00545	EXC50_RS02630
OG0000130	MHP_RS00535	EXC50_RS02620
OG0000131	MHP_RS00505	EXC50_RS02590
OG0000132	MHP_RS00490	EXC50_RS02575
OG0000133	MHP_RS01455	EXC50_RS03555
OG0000134	MHP_RS01450	EXC50_RS03550
OG0000135	MHP_RS01435	EXC50_RS03535
OG0000136	MHP_RS01430	EXC50_RS03530
OG0000137	MHP_RS01400	EXC50_RS03500
OG0000138	MHP_RS01370	EXC50_RS03465
OG0000139	MHP_RS01340	EXC50_RS03435
