#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_WTQC01000003.1:78966-79757|+ -            264 1679at2085           -            265   6.1e-79  260.4  12.3   1   1   7.6e-81   6.6e-79  260.2  12.3    12   256     1   255     1   263 0.90 NZ_WTQC01000003.1_66 # 78966 # 79757 # 1 # ID=13_66;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.268
NZ_WTQC01000003.1:59094-60395|+ -            434 1679at2085           -            265   2.8e-23   77.9  12.1   1   3   1.5e-11   1.3e-09   33.1   0.2   123   177     6    64     1    79 0.80 NZ_WTQC01000003.1_50 # 59094 # 60395 # 1 # ID=13_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NZ_WTQC01000003.1:59094-60395|+ -            434 1679at2085           -            265   2.8e-23   77.9  12.1   2   3     1e-12   8.8e-11   36.9   0.6    22   173    78   228    70   240 0.78 NZ_WTQC01000003.1_50 # 59094 # 60395 # 1 # ID=13_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NZ_WTQC01000003.1:59094-60395|+ -            434 1679at2085           -            265   2.8e-23   77.9  12.1   3   3   7.1e-06   0.00062   14.4   1.1    24   139   251   380   245   386 0.62 NZ_WTQC01000003.1_50 # 59094 # 60395 # 1 # ID=13_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NZ_WTQC01000004.1:10706-11302|- -            199 1679at2085           -            265   3.5e-13   44.8   6.0   1   2   8.8e-13   7.7e-11   37.1   0.1   124   172    42    91    34   110 0.90 NZ_WTQC01000004.1_2 # 10706 # 11302 # -1 # ID=14_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.295
NZ_WTQC01000004.1:10706-11302|- -            199 1679at2085           -            265   3.5e-13   44.8   6.0   2   2    0.0002     0.017    9.7   2.2    24    97   117   195   105   198 0.78 NZ_WTQC01000004.1_2 # 10706 # 11302 # -1 # ID=14_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.295
NZ_WTQC01000007.1:12242-13570|- -            443 1679at2085           -            265   1.1e-12   43.1  15.8   1   3       1.1        93   -2.5   0.1   231   258   137   164   114   170 0.58 NZ_WTQC01000007.1_11 # 12242 # 13570 # -1 # ID=17_11;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.316
NZ_WTQC01000007.1:12242-13570|- -            443 1679at2085           -            265   1.1e-12   43.1  15.8   2   3     1e-13   8.9e-12   40.2   0.3    97   174   194   275   184   289 0.78 NZ_WTQC01000007.1_11 # 12242 # 13570 # -1 # ID=17_11;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.316
NZ_WTQC01000007.1:12242-13570|- -            443 1679at2085           -            265   1.1e-12   43.1  15.8   3   3   0.00021     0.018    9.7   6.0    21   104   291   366   281   386 0.71 NZ_WTQC01000007.1_11 # 12242 # 13570 # -1 # ID=17_11;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.316
NZ_WTQC01000001.1:55943-56824|- -            294 1679at2085           -            265     2e-10   35.7   9.9   1   2     2e-11   1.7e-09   32.7   0.2   119   175     6    66     2    85 0.78 NZ_WTQC01000001.1_57 # 55943 # 56824 # -1 # ID=1_57;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
NZ_WTQC01000001.1:55943-56824|- -            294 1679at2085           -            265     2e-10   35.7   9.9   2   2     0.002      0.18    6.4   4.5    47   103   108   169    75   189 0.76 NZ_WTQC01000001.1_57 # 55943 # 56824 # -1 # ID=1_57;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
