Orthogroup	MHP_98_protein	MHP_MHP650_protein
OG0000000	WP_179696099.1	WP_160600904.1
OG0000000	WP_220200503.1	WP_160601110.1
OG0000000	WP_179696098.1	WP_160600906.1
OG0000002	WP_308705282.1	WP_308704751.1
OG0000002	WP_258556557.1	WP_258556709.1
OG0000004	WP_258556542.1	WP_258556714.1
OG0000005	WP_179696126.1	WP_308704769.1, WP_233688764.1
OG0000006	WP_179696116.1, WP_179695966.1	WP_220200910.1
OG0000008	WP_014579984.1	WP_160601249.1
OG0000008	WP_179695902.1	WP_160601251.1
OG0000009	WP_179695973.1	WP_160600719.1, WP_160600717.1
OG0000010	WP_258556577.1	WP_011206342.1
OG0000010	WP_258556582.1	WP_258556637.1
OG0000013	WP_179695976.1	WP_258556694.1
OG0000014	WP_258556578.1	WP_258556621.1
OG0000015	WP_179696122.1	WP_220200907.1
OG0000015	WP_308705291.1	WP_308704768.1
OG0000017	WP_179695901.1	WP_160601253.1
OG0000018	WP_179695917.1	WP_160600794.1
OG0000019	WP_308705297.1	WP_160601189.1
OG0000020	WP_179695970.1	WP_160601281.1
OG0000021	WP_258556507.1	WP_160601275.1
OG0000022	WP_258556556.1	WP_258556707.1
OG0000023	WP_179695895.1	WP_160601121.1
OG0000024	WP_011206100.1	WP_160600866.1
OG0000024	WP_179695839.1	WP_094521581.1
OG0000025	WP_225973032.1	WP_258555619.1
OG0000026	WP_179695974.1	WP_160600723.1
OG0000028	WP_179696077.1	WP_014579585.1
OG0000029	WP_011290139.1	WP_160601259.1
OG0000030	WP_179695991.1	WP_160601045.1
OG0000031	WP_160607724.1	WP_014579531.1
OG0000034	WP_179695975.1	WP_160600727.1
OG0000035	WP_179696073.1	WP_160601010.1
OG0000036	WP_011206290.1	WP_160600725.1
OG0000037	WP_179695831.1	WP_160601158.1
OG0000038	WP_232039589.1	WP_232039589.1
OG0000038	WP_258556571.1	WP_220200864.1
OG0000039	WP_011206214.1	WP_160587914.1
OG0000040	WP_179696013.1	WP_160601152.1
OG0000041	WP_258556513.1	WP_308704755.1
OG0000042	WP_179695864.1	WP_160600812.1
OG0000043	WP_160584888.1	WP_160600806.1
OG0000044	WP_179696125.1	WP_160601022.1
OG0000045	WP_011290219.1	WP_160601112.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_225972996.1	WP_228365394.1
OG0000048	WP_179695927.1	WP_011206374.1
