Orthogroup	MHP_98_protein	MHP_ES2L_protein
OG0000000	WP_220200503.1	WP_014579826.1
OG0000000	WP_179696098.1	WP_020835714.1, WP_179221118.1
OG0000001	WP_258556590.1, WP_258556536.1	WP_044272440.1
OG0000002	WP_308705282.1	WP_240536631.1
OG0000002	WP_258556557.1	WP_240536602.1
OG0000003	WP_308705287.1	WP_218833871.1
OG0000003	WP_258556549.1	WP_094521686.1
OG0000004	WP_179696025.1	WP_240536593.1
OG0000004	WP_258556542.1	WP_225972989.1
OG0000005	WP_308705289.1, WP_308705293.1	WP_179221294.1
OG0000005	WP_179696126.1	WP_318036674.1
OG0000006	WP_179695966.1	WP_179221016.1
OG0000008	WP_014579984.1	WP_179221234.1
OG0000008	WP_179695903.1	WP_179221232.1
OG0000009	WP_179695973.1	WP_179221153.1, WP_179221152.1
OG0000010	WP_258556577.1	WP_240536607.1
OG0000010	WP_258556582.1	WP_240536639.1
OG0000012	WP_258556564.1	WP_240536643.1
OG0000013	WP_179695976.1	WP_240536598.1, WP_011284212.1
OG0000015	WP_308705298.1	WP_240536665.1
OG0000015	WP_308705291.1	WP_179221292.1
OG0000017	WP_179695904.1	WP_179221229.1, WP_179221231.1
OG0000018	WP_179695917.1	WP_179221198.1
OG0000019	WP_308705297.1	WP_179220983.1, WP_011289946.1
OG0000020	WP_179695970.1	WP_146379492.1
OG0000021	WP_258556507.1	WP_240536618.1
OG0000022	WP_258556556.1	WP_240536601.1
OG0000023	WP_179695895.1	WP_179221240.1
OG0000024	WP_179695839.1	WP_179221024.1
OG0000025	WP_225973032.1	WP_240536645.1
OG0000026	WP_179695974.1	WP_179221157.1
OG0000028	WP_179696103.1, WP_179696077.1, WP_160590103.1	WP_179221009.1
OG0000029	WP_011290139.1	WP_179221095.1
OG0000030	WP_179695991.1	WP_179221174.1
OG0000031	WP_160607724.1	WP_135618462.1
OG0000032	WP_179695955.1	WP_179221008.1
OG0000032	WP_179696113.1	WP_179221109.1
OG0000034	WP_179695975.1	WP_011206291.1
OG0000035	WP_179696073.1	WP_179221103.1
OG0000036	WP_011206290.1	WP_179221159.1
OG0000037	WP_179695831.1	WP_179221210.1
OG0000038	WP_258556571.1	WP_228366127.1
OG0000039	WP_011206214.1	WP_179221126.1
OG0000040	WP_179696013.1	WP_179221131.1
OG0000041	WP_258556513.1	WP_179221274.1
OG0000042	WP_179695864.1	WP_179221273.1
OG0000043	WP_160584888.1	WP_179221270.1
OG0000044	WP_179696125.1	WP_179221108.1
OG0000045	WP_011290219.1	WP_179221139.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_225972996.1	WP_228365394.1
OG0000048	WP_179695927.1	WP_160587850.1
OG0000049	WP_179695928.1, WP_179696086.1	WP_011284269.1
OG0000050	WP_011206292.1	WP_011206292.1
OG0000051	WP_135619210.1	WP_135619210.1
OG0000052	WP_094521716.1	WP_179221156.1
OG0000053	WP_179221201.1	WP_179221201.1
OG0000054	WP_014579964.1	WP_179221204.1
OG0000055	WP_160585645.1	WP_011206429.1
OG0000056	WP_179695896.1	WP_179221239.1
OG0000057	WP_011290028.1	WP_011290028.1
OG0000058	WP_135618593.1	WP_179221040.1
OG0000059	WP_044284596.1	WP_179221041.1
OG0000060	WP_011290055.1	WP_011206046.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_179696065.1	WP_179221054.1
OG0000063	WP_052259122.1	WP_179221284.1
OG0000064	WP_179695933.1	WP_179220987.1
OG0000065	WP_179695946.1	WP_179221001.1
OG0000066	WP_179695954.1	WP_179221006.1
OG0000067	WP_011206493.1	WP_179221258.1
OG0000068	WP_179695884.1	WP_179221252.1
OG0000069	WP_179695977.1	WP_179221160.1
OG0000070	WP_179695982.1	WP_146379663.1
OG0000071	WP_179696084.1	WP_179221188.1
OG0000072	WP_179695890.1	WP_179221246.1
OG0000073	WP_179695988.1	WP_011206314.1
OG0000074	WP_020835847.1	WP_240536610.1
OG0000075	WP_011205981.1	WP_011205981.1
OG0000076	WP_179695843.1	WP_240536635.1
OG0000077	WP_179695945.1	WP_240536634.1
OG0000078	WP_258556526.1	WP_240536621.1
OG0000079	WP_220200502.1	WP_240536662.1
OG0000080	WP_179696009.1	WP_179221127.1
OG0000081	WP_094521681.1	WP_179221128.1
OG0000082	WP_179696010.1	WP_179221129.1
OG0000083	WP_179696012.1	WP_011206221.1
OG0000084	WP_011284142.1	WP_011206222.1
OG0000085	WP_011206224.1	WP_011206224.1
OG0000086	WP_179696014.1	WP_179221132.1
OG0000087	WP_179696015.1	WP_240536587.1
OG0000088	WP_020835732.1	WP_044272477.1
OG0000089	WP_020835733.1	WP_044272480.1
OG0000090	WP_011290212.1	WP_011206231.1
OG0000091	WP_011289937.1	WP_179220981.1
OG0000092	WP_094521535.1	WP_011283835.1
OG0000093	WP_179695877.1	WP_179220980.1
OG0000094	WP_179695876.1	WP_179220979.1
OG0000095	WP_011205849.1	WP_011205849.1
OG0000096	WP_179695875.1	WP_179220978.1
OG0000097	WP_179695874.1	WP_011205847.1
OG0000098	WP_020835484.1	WP_179220977.1
OG0000099	WP_179695873.1	WP_014579519.1
OG0000100	WP_179695872.1	WP_179220974.1
OG0000101	WP_179695871.1	WP_011205841.1
OG0000102	WP_044272251.1	WP_179220973.1
OG0000103	WP_011206529.1	WP_011206529.1
OG0000104	WP_179695869.1	WP_179221280.1
OG0000105	WP_258556515.1	WP_179221279.1
OG0000106	WP_179695868.1	WP_179221278.1
OG0000107	WP_135619170.1	WP_179221277.1
OG0000108	WP_011206522.1	WP_011206522.1
OG0000109	WP_179695867.1	WP_179221276.1
OG0000110	WP_160588095.1	WP_179221275.1
OG0000111	WP_011206510.1	WP_011206510.1
OG0000112	WP_179696071.1	WP_240536650.1
OG0000113	WP_179696070.1	WP_179221106.1
OG0000114	WP_011290156.1	WP_179221107.1
OG0000115	WP_179696017.1	WP_160585202.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_135618878.1	WP_011206240.1
OG0000118	WP_179696018.1	WP_011206242.1
OG0000119	WP_179696019.1	WP_179221138.1
OG0000120	WP_146379631.1	WP_160585203.1
OG0000121	WP_011284169.1	WP_011284169.1
OG0000122	WP_179696020.1	WP_011206247.1
OG0000123	WP_179696032.1	WP_179221149.1
OG0000124	WP_258556555.1	WP_240536600.1
OG0000125	WP_179696030.1	WP_179221147.1
OG0000126	WP_258556554.1	WP_240536599.1
OG0000127	WP_011206271.1	WP_044284661.1
OG0000128	WP_020835765.1	WP_011206268.1
OG0000129	WP_258556553.1	WP_240536596.1
OG0000130	WP_011284183.1	WP_179221143.1
OG0000131	WP_011205977.1	WP_179221065.1
OG0000132	WP_094521621.1	WP_179221066.1
OG0000133	WP_179696060.1	WP_179221067.1
OG0000134	WP_179696059.1	WP_179221068.1
OG0000135	WP_179696058.1	WP_179221069.1
OG0000136	WP_179696056.1	WP_179221071.1
OG0000137	WP_179696055.1	WP_179221072.1
OG0000138	WP_179696054.1	WP_179221073.1
OG0000139	WP_179696053.1	WP_011205965.1
OG0000140	WP_011284027.1	WP_011284027.1
OG0000141	WP_179696052.1	WP_179221074.1
OG0000142	WP_011284032.1	WP_011284032.1
OG0000143	WP_011205958.1	WP_020835643.1
OG0000144	WP_020835645.1	WP_020835645.1
OG0000145	WP_011205954.1	WP_011205954.1
OG0000146	WP_011205953.1	WP_011205953.1
OG0000147	WP_179696050.1	WP_011205952.1
OG0000148	WP_011290120.1	WP_011290120.1
OG0000149	WP_179696049.1	WP_179221078.1
OG0000150	WP_011284040.1	WP_011205948.1
OG0000151	WP_020835649.1	WP_179221080.1
OG0000152	WP_160585095.1	WP_179221081.1
OG0000153	WP_179696048.1	WP_014579732.1
OG0000154	WP_179696047.1	WP_179221082.1
OG0000155	WP_011284046.1	WP_011284046.1
OG0000156	WP_179696046.1	WP_179221083.1
OG0000157	WP_014579735.1	WP_179221084.1
OG0000158	WP_179696044.1	WP_179221086.1
OG0000159	WP_179695956.1	WP_041361727.1
OG0000160	WP_179695958.1	WP_179221011.1
OG0000161	WP_179695959.1	WP_179221012.1
OG0000162	WP_308705284.1	WP_237697227.1
