Orthogroup	MHP_116_genes	MHP_LH_genes
OG0000000	ABJ972_RS02145	KUD10_RS02260
OG0000000	ABJ972_RS02085	KUD10_RS02185
OG0000000	ABJ972_RS02100	KUD10_RS02195, KUD10_RS02170
OG0000000	ABJ972_RS02080	KUD10_RS02165
OG0000000	ABJ972_RS02265	KUD10_RS02380
OG0000000	ABJ972_RS02270	KUD10_RS02385
OG0000000	ABJ972_RS01695	KUD10_RS01780, KUD10_RS01785
OG0000001	ABJ972_RS01270	KUD10_RS01355
OG0000001	ABJ972_RS01265	KUD10_RS01350
OG0000001	ABJ972_RS02675	KUD10_RS02830
OG0000002	ABJ972_RS02150	KUD10_RS02270
OG0000002	ABJ972_RS02105	KUD10_RS02210
OG0000002	ABJ972_RS01715	KUD10_RS01790
OG0000003	ABJ972_RS01815	KUD10_RS01900
OG0000004	ABJ972_RS03105	KUD10_RS03265
OG0000004	ABJ972_RS03120	KUD10_RS03275
OG0000004	ABJ972_RS02945	KUD10_RS03105
OG0000005	ABJ972_RS00100	KUD10_RS00100
OG0000005	ABJ972_RS00105	KUD10_RS00105
OG0000005	ABJ972_RS00110	KUD10_RS00110, KUD10_RS00125
OG0000006	ABJ972_RS02440	KUD10_RS02585
OG0000007	ABJ972_RS02125	KUD10_RS02245
OG0000008	ABJ972_RS02260	KUD10_RS02375
OG0000008	ABJ972_RS01615	KUD10_RS01700
OG0000008	ABJ972_RS02445	KUD10_RS02590
OG0000009	ABJ972_RS00085	KUD10_RS00085
OG0000009	ABJ972_RS01180	KUD10_RS01265
OG0000009	ABJ972_RS00990	KUD10_RS00675
OG0000010	ABJ972_RS01825	KUD10_RS01910
OG0000010	ABJ972_RS00095	KUD10_RS00095
OG0000011	ABJ972_RS01915	KUD10_RS02000
OG0000011	ABJ972_RS01910	KUD10_RS01995
OG0000013	ABJ972_RS02350	KUD10_RS02465
OG0000013	ABJ972_RS00170	KUD10_RS00185
OG0000014	ABJ972_RS01075	KUD10_RS01080
OG0000014	ABJ972_RS01065	KUD10_RS00610
OG0000016	ABJ972_RS02765	KUD10_RS02915
OG0000016	ABJ972_RS00155	KUD10_RS00170
OG0000017	ABJ972_RS00140	KUD10_RS00155
OG0000017	ABJ972_RS02775	KUD10_RS02925
OG0000018	ABJ972_RS01310	KUD10_RS01395, KUD10_RS01195
OG0000019	ABJ972_RS02935	KUD10_RS03080
OG0000019	ABJ972_RS02950	KUD10_RS03110, KUD10_RS03090
OG0000020	ABJ972_RS03450	KUD10_RS03620
OG0000020	ABJ972_RS03455	KUD10_RS03625
OG0000021	ABJ972_RS01720	KUD10_RS01825
OG0000022	ABJ972_RS01635	KUD10_RS01720
OG0000022	ABJ972_RS01690	KUD10_RS01775
OG0000023	ABJ972_RS01305	KUD10_RS01390
OG0000024	ABJ972_RS02670	KUD10_RS02825
OG0000024	ABJ972_RS01260	KUD10_RS01345
OG0000025	ABJ972_RS01640	KUD10_RS01725
OG0000025	ABJ972_RS01685	KUD10_RS01770
OG0000026	ABJ972_RS01350	KUD10_RS01435
OG0000026	ABJ972_RS01665	KUD10_RS01750
OG0000027	ABJ972_RS03260	KUD10_RS03410
OG0000029	ABJ972_RS00585	KUD10_RS01075
OG0000029	ABJ972_RS01060	KUD10_RS00620
OG0000030	ABJ972_RS03245	KUD10_RS03400
OG0000031	ABJ972_RS01580	KUD10_RS01665
OG0000032	ABJ972_RS01555	KUD10_RS01640
OG0000033	ABJ972_RS02355	KUD10_RS02490
OG0000035	ABJ972_RS03115	KUD10_RS03270
OG0000036	ABJ972_RS00115	KUD10_RS00130
OG0000037	ABJ972_RS01560	KUD10_RS01650
OG0000039	ABJ972_RS01595	KUD10_RS01675
OG0000040	ABJ972_RS03190	KUD10_RS03345
OG0000042	ABJ972_RS02860	KUD10_RS03010
OG0000043	ABJ972_RS01880	KUD10_RS01965
OG0000045	ABJ972_RS01600	KUD10_RS01680
OG0000046	ABJ972_RS03200	KUD10_RS03355
OG0000048	ABJ972_RS02065	KUD10_RS02150
OG0000049	ABJ972_RS02960	KUD10_RS03120
OG0000050	ABJ972_RS02390	KUD10_RS02530
OG0000051	ABJ972_RS02590	KUD10_RS02740
OG0000052	ABJ972_RS00075	KUD10_RS00075
OG0000053	ABJ972_RS01435	KUD10_RS01520
OG0000054	ABJ972_RS02415	KUD10_RS02555
OG0000055	ABJ972_RS00120	KUD10_RS00135
OG0000056	ABJ972_RS03435	KUD10_RS03605, KUD10_RS03600
OG0000057	ABJ972_RS02845	KUD10_RS02995
OG0000060	ABJ972_RS00080	KUD10_RS00080
OG0000061	ABJ972_RS01835	KUD10_RS01920
OG0000062	ABJ972_RS03485, ABJ972_RS03515	KUD10_RS03655
OG0000063	ABJ972_RS03510, ABJ972_RS03480	KUD10_RS03650
OG0000064	ABJ972_RS03470	KUD10_RS03640
OG0000065	ABJ972_RS02200	KUD10_RS02315
OG0000066	ABJ972_RS01340	KUD10_RS01425
OG0000067	ABJ972_RS00510	KUD10_RS00530
OG0000068	ABJ972_RS01025	KUD10_RS00655
OG0000069	ABJ972_RS02740	KUD10_RS02890
OG0000070	ABJ972_RS02420	KUD10_RS02560
OG0000071	ABJ972_RS03180	KUD10_RS03335
OG0000072	ABJ972_RS03185	KUD10_RS03340
OG0000073	ABJ972_RS00965	KUD10_RS00700
OG0000074	ABJ972_RS00765	KUD10_RS00895
OG0000075	ABJ972_RS00325	KUD10_RS00340
OG0000076	ABJ972_RS00340	KUD10_RS00355
OG0000077	ABJ972_RS00425	KUD10_RS00440
OG0000078	ABJ972_RS01655	KUD10_RS01740
OG0000079	ABJ972_RS02495	KUD10_RS02640
OG0000080	ABJ972_RS02540	KUD10_RS02690
OG0000081	ABJ972_RS00320	KUD10_RS00335
OG0000082	ABJ972_RS02345	KUD10_RS02460
OG0000083	ABJ972_RS01985	KUD10_RS02070
OG0000084	ABJ972_RS02015	KUD10_RS02100
OG0000085	ABJ972_RS02020	KUD10_RS02105
OG0000086	ABJ972_RS02030	KUD10_RS02115
OG0000087	ABJ972_RS02045	KUD10_RS02130
OG0000088	ABJ972_RS02050	KUD10_RS02135
OG0000089	ABJ972_RS02060	KUD10_RS02145
OG0000090	ABJ972_RS00070	KUD10_RS00070
OG0000091	ABJ972_RS00055	KUD10_RS00055
OG0000092	ABJ972_RS00040	KUD10_RS00040
OG0000093	ABJ972_RS00035	KUD10_RS00035
OG0000094	ABJ972_RS00030	KUD10_RS00030
OG0000095	ABJ972_RS00005	KUD10_RS00005
OG0000096	ABJ972_RS03550	KUD10_RS03690
OG0000097	ABJ972_RS03530	KUD10_RS03670
OG0000098	ABJ972_RS03490	KUD10_RS03660
OG0000099	ABJ972_RS03440	KUD10_RS03610
OG0000100	ABJ972_RS03425	KUD10_RS03590
OG0000101	ABJ972_RS03420	KUD10_RS03585
OG0000102	ABJ972_RS01680	KUD10_RS01765
OG0000103	ABJ972_RS02165	KUD10_RS02280
OG0000104	ABJ972_RS02170	KUD10_RS02285
OG0000105	ABJ972_RS02185	KUD10_RS02300
OG0000106	ABJ972_RS02195	KUD10_RS02310
OG0000107	ABJ972_RS02205	KUD10_RS02320
OG0000108	ABJ972_RS02210	KUD10_RS02325
OG0000109	ABJ972_RS02215	KUD10_RS02330
OG0000110	ABJ972_RS02335	KUD10_RS02450
OG0000111	ABJ972_RS02330	KUD10_RS02445
OG0000112	ABJ972_RS02320	KUD10_RS02435
OG0000113	ABJ972_RS02300	KUD10_RS02415
OG0000114	ABJ972_RS02290	KUD10_RS02405
OG0000115	ABJ972_RS02280	KUD10_RS02395
OG0000116	ABJ972_RS01285	KUD10_RS01370
OG0000117	ABJ972_RS01290	KUD10_RS01375
OG0000118	ABJ972_RS01325	KUD10_RS01410
OG0000119	ABJ972_RS01330	KUD10_RS01415
OG0000120	ABJ972_RS01345	KUD10_RS01430
OG0000121	ABJ972_RS01370	KUD10_RS01455
OG0000122	ABJ972_RS01375	KUD10_RS01460
OG0000123	ABJ972_RS01395	KUD10_RS01480
OG0000124	ABJ972_RS01400	KUD10_RS01485
OG0000125	ABJ972_RS01405	KUD10_RS01490
OG0000126	ABJ972_RS01415	KUD10_RS01500
OG0000127	ABJ972_RS01425	KUD10_RS01510
