Orthogroup	MHP_116_genes	MHP_4284_genes
OG0000000	ABJ972_RS02145	ABLE99_RS02150
OG0000000	ABJ972_RS02100	ABLE99_RS02215
OG0000000	ABJ972_RS02090	ABLE99_RS02220
OG0000000	ABJ972_RS02095	ABLE99_RS02225
OG0000000	ABJ972_RS01695	ABLE99_RS01670
OG0000001	ABJ972_RS01270	ABLE99_RS01250
OG0000001	ABJ972_RS02675	ABLE99_RS02640, ABLE99_RS02645
OG0000002	ABJ972_RS02150	ABLE99_RS02040
OG0000002	ABJ972_RS02105	ABLE99_RS02210
OG0000002	ABJ972_RS01715	ABLE99_RS01675
OG0000003	ABJ972_RS01765	ABLE99_RS00505
OG0000003	ABJ972_RS01815	ABLE99_RS01760
OG0000004	ABJ972_RS03105	ABLE99_RS03080
OG0000004	ABJ972_RS03110	ABLE99_RS03085
OG0000004	ABJ972_RS03120	ABLE99_RS03095
OG0000004	ABJ972_RS02945	ABLE99_RS02925
OG0000004	ABJ972_RS02940	ABLE99_RS02905
OG0000005	ABJ972_RS00100	ABLE99_RS00100
OG0000005	ABJ972_RS00105	ABLE99_RS00105
OG0000005	ABJ972_RS00110	ABLE99_RS00110, ABLE99_RS00125
OG0000006	ABJ972_RS02440	ABLE99_RS02400
OG0000006	ABJ972_RS02305	ABLE99_RS02260
OG0000006	ABJ972_RS02275	ABLE99_RS02230
OG0000007	ABJ972_RS02135	ABLE99_RS02160
OG0000007	ABJ972_RS02130	ABLE99_RS02165
OG0000007	ABJ972_RS02125	ABLE99_RS02170
OG0000008	ABJ972_RS02260	ABLE99_RS02145
OG0000008	ABJ972_RS01615	ABLE99_RS01590
OG0000008	ABJ972_RS02445	ABLE99_RS02405
OG0000009	ABJ972_RS00085	ABLE99_RS00085
OG0000009	ABJ972_RS00990, ABJ972_RS00995	ABLE99_RS00995
OG0000010	ABJ972_RS01825	ABLE99_RS01770
OG0000011	ABJ972_RS01915	ABLE99_RS01865
OG0000011	ABJ972_RS01910	ABLE99_RS01860
OG0000013	ABJ972_RS02350	ABLE99_RS02310
OG0000014	ABJ972_RS00580	ABLE99_RS00590
OG0000014	ABJ972_RS01065	ABLE99_RS01060
OG0000015	ABJ972_RS01545	ABLE99_RS01525
OG0000015	ABJ972_RS01610	ABLE99_RS01585
OG0000016	ABJ972_RS02765	ABLE99_RS02735
OG0000016	ABJ972_RS00155	ABLE99_RS00170
OG0000017	ABJ972_RS00140	ABLE99_RS00155
OG0000017	ABJ972_RS02775	ABLE99_RS02745
OG0000018	ABJ972_RS01310	ABLE99_RS01290
OG0000019	ABJ972_RS02935	ABLE99_RS02900
OG0000019	ABJ972_RS02950	ABLE99_RS02930
OG0000020	ABJ972_RS03450	ABLE99_RS03410
OG0000020	ABJ972_RS03455	ABLE99_RS03415
OG0000021	ABJ972_RS01720	ABLE99_RS01695
OG0000022	ABJ972_RS01635	ABLE99_RS01610
OG0000022	ABJ972_RS01690	ABLE99_RS01665
OG0000023	ABJ972_RS01305	ABLE99_RS01285
OG0000024	ABJ972_RS02670	ABLE99_RS02635
OG0000024	ABJ972_RS01260	ABLE99_RS01245
OG0000025	ABJ972_RS01640	ABLE99_RS01615
OG0000025	ABJ972_RS01685	ABLE99_RS01660
OG0000026	ABJ972_RS01350	ABLE99_RS01330
OG0000026	ABJ972_RS01665	ABLE99_RS01640
OG0000027	ABJ972_RS03260	ABLE99_RS03220
OG0000028	ABJ972_RS02360	ABLE99_RS02320
OG0000029	ABJ972_RS00585	ABLE99_RS00595
OG0000030	ABJ972_RS03245	ABLE99_RS03215
OG0000031	ABJ972_RS01580	ABLE99_RS01555
OG0000032	ABJ972_RS01555	ABLE99_RS01535
OG0000033	ABJ972_RS02355	ABLE99_RS02315
OG0000034	ABJ972_RS02120	ABLE99_RS02200
OG0000035	ABJ972_RS03115	ABLE99_RS03090
OG0000036	ABJ972_RS00115	ABLE99_RS00130
OG0000037	ABJ972_RS01560	ABLE99_RS01540
OG0000039	ABJ972_RS01595	ABLE99_RS01570, ABLE99_RS01565
OG0000040	ABJ972_RS03190	ABLE99_RS03165
OG0000042	ABJ972_RS02860	ABLE99_RS02830
OG0000043	ABJ972_RS01880	ABLE99_RS01830
OG0000044	ABJ972_RS01650	ABLE99_RS01625
OG0000045	ABJ972_RS01600	ABLE99_RS01575
OG0000048	ABJ972_RS02065	ABLE99_RS02015
OG0000049	ABJ972_RS02960	ABLE99_RS02940
OG0000050	ABJ972_RS02390	ABLE99_RS02350
OG0000051	ABJ972_RS02590	ABLE99_RS02550
OG0000052	ABJ972_RS00075	ABLE99_RS00075
OG0000053	ABJ972_RS01435	ABLE99_RS01415
OG0000054	ABJ972_RS02415	ABLE99_RS02375
OG0000055	ABJ972_RS00120	ABLE99_RS00135
OG0000056	ABJ972_RS03435	ABLE99_RS03395
OG0000057	ABJ972_RS02845	ABLE99_RS02815
OG0000060	ABJ972_RS01185	ABLE99_RS01160
OG0000061	ABJ972_RS01835	ABLE99_RS01780
OG0000062	ABJ972_RS03485, ABJ972_RS03515	ABLE99_RS03445
OG0000063	ABJ972_RS03510, ABJ972_RS03480	ABLE99_RS03440
OG0000064	ABJ972_RS03470	ABLE99_RS03430
OG0000065	ABJ972_RS02200	ABLE99_RS02085
OG0000066	ABJ972_RS01340	ABLE99_RS01320
OG0000067	ABJ972_RS00510	ABLE99_RS00520
OG0000068	ABJ972_RS01025	ABLE99_RS01015
OG0000069	ABJ972_RS02740	ABLE99_RS02710
OG0000070	ABJ972_RS02420	ABLE99_RS02380
OG0000071	ABJ972_RS03180	ABLE99_RS03155
