Orthogroup	MHP_116_genes	MHP_ES2L_genes
OG0000000	ABJ972_RS02085	HZK19_RS03960, HZK19_RS02100
OG0000000	ABJ972_RS02100	HZK19_RS02105
OG0000000	ABJ972_RS02080	HZK19_RS03675
OG0000000	ABJ972_RS02265	HZK19_RS02290
OG0000000	ABJ972_RS02270	HZK19_RS03795
OG0000000	ABJ972_RS01695	HZK19_RS01690, HZK19_RS01695
OG0000001	ABJ972_RS01270	HZK19_RS03720
OG0000001	ABJ972_RS02675	HZK19_RS03840
OG0000002	ABJ972_RS02105	HZK19_RS02110
OG0000002	ABJ972_RS01715	HZK19_RS01705
OG0000003	ABJ972_RS02140	HZK19_RS03785
OG0000003	ABJ972_RS01815	HZK19_RS01800
OG0000004	ABJ972_RS03105	HZK19_RS03240
OG0000004	ABJ972_RS03100	HZK19_RS03230
OG0000004	ABJ972_RS03120	HZK19_RS03255
OG0000005	ABJ972_RS00100	HZK19_RS00085
OG0000005	ABJ972_RS00105	HZK19_RS00090
OG0000005	ABJ972_RS00110	HZK19_RS00095, HZK19_RS00110
OG0000006	ABJ972_RS02440	HZK19_RS02470
OG0000007	ABJ972_RS02135	HZK19_RS02155
OG0000007	ABJ972_RS02130	HZK19_RS02150
OG0000007	ABJ972_RS02125	HZK19_RS02145
OG0000008	ABJ972_RS02260	HZK19_RS03695, HZK19_RS03790
OG0000008	ABJ972_RS01615	HZK19_RS03745
OG0000008	ABJ972_RS02445	HZK19_RS03825
OG0000009	ABJ972_RS00990	HZK19_RS00655
OG0000010	ABJ972_RS01825	HZK19_RS01810
OG0000011	ABJ972_RS01915	HZK19_RS01910, HZK19_RS03920
OG0000012	ABJ972_RS01840	HZK19_RS01825
OG0000013	ABJ972_RS02350	HZK19_RS02370
OG0000013	ABJ972_RS00170	HZK19_RS03715
OG0000014	ABJ972_RS00580	HZK19_RS00585
OG0000014	ABJ972_RS01065	HZK19_RS00595
OG0000015	ABJ972_RS01545	HZK19_RS01540
OG0000016	ABJ972_RS02765	HZK19_RS02805
OG0000016	ABJ972_RS00155	HZK19_RS00155
OG0000017	ABJ972_RS00140	HZK19_RS00140
OG0000017	ABJ972_RS02775	HZK19_RS02815
OG0000018	ABJ972_RS01310	HZK19_RS01290, HZK19_RS03075
OG0000019	ABJ972_RS02935	HZK19_RS03845
OG0000019	ABJ972_RS02950	HZK19_RS03850
OG0000020	ABJ972_RS03450	HZK19_RS03860
OG0000020	ABJ972_RS03455	HZK19_RS03600
OG0000021	ABJ972_RS00490	HZK19_RS01725
OG0000022	ABJ972_RS01635	HZK19_RS01625
OG0000022	ABJ972_RS01690	HZK19_RS01685
OG0000023	ABJ972_RS01305	HZK19_RS01285
OG0000024	ABJ972_RS02670	HZK19_RS02710
OG0000024	ABJ972_RS01260	HZK19_RS01240
OG0000025	ABJ972_RS01640	HZK19_RS01630
OG0000025	ABJ972_RS01685	HZK19_RS01680
OG0000026	ABJ972_RS01350	HZK19_RS01330
OG0000026	ABJ972_RS01665	HZK19_RS01660
OG0000027	ABJ972_RS03260	HZK19_RS03390
OG0000028	ABJ972_RS02360	HZK19_RS02380
OG0000029	ABJ972_RS00585	HZK19_RS01065
OG0000029	ABJ972_RS01060	HZK19_RS00600
