Orthogroup	MHP_116_genes	MHP_11_genes
OG0000000	ABJ972_RS02145	B5C39_RS02485
OG0000000	ABJ972_RS02080	B5C39_RS03935
OG0000000	ABJ972_RS02265	B5C39_RS02595
OG0000000	ABJ972_RS02270	B5C39_RS03835
OG0000000	ABJ972_RS01695	B5C39_RS03750, B5C39_RS03235
OG0000001	ABJ972_RS01270	B5C39_RS01615, B5C39_RS01620
OG0000001	ABJ972_RS02675	B5C39_RS03865, B5C39_RS03020
OG0000002	ABJ972_RS02150	B5C39_RS03825
OG0000002	ABJ972_RS01715	B5C39_RS03240
OG0000003	ABJ972_RS01765	B5C39_RS02395
OG0000003	ABJ972_RS01815	B5C39_RS03345
OG0000004	ABJ972_RS03105	B5C39_RS00380
OG0000004	ABJ972_RS03100	B5C39_RS00390
OG0000004	ABJ972_RS03120	B5C39_RS00400
OG0000005	ABJ972_RS00100	B5C39_RS00915
OG0000005	ABJ972_RS00105	B5C39_RS00920
OG0000005	ABJ972_RS00110	B5C39_RS00925, B5C39_RS00940
OG0000008	ABJ972_RS02260	B5C39_RS03740, B5C39_RS03830
OG0000008	ABJ972_RS02445	B5C39_RS03850
OG0000009	ABJ972_RS00085	B5C39_RS00900
OG0000009	ABJ972_RS01180	B5C39_RS03820
OG0000009	ABJ972_RS00990	B5C39_RS02225
OG0000010	ABJ972_RS01825	B5C39_RS03350
OG0000010	ABJ972_RS00095	B5C39_RS00910
OG0000011	ABJ972_RS01915	B5C39_RS03455
OG0000011	ABJ972_RS01910	B5C39_RS03450
OG0000012	ABJ972_RS02160, ABJ972_RS01840, ABJ972_RS01170, ABJ972_RS01590, ABJ972_RS01805, ABJ972_RS01745	B5C39_RS01220
OG0000013	ABJ972_RS02350	B5C39_RS02685
OG0000013	ABJ972_RS00170	B5C39_RS03780
OG0000014	ABJ972_RS00580	B5C39_RS02300
OG0000014	ABJ972_RS01075	B5C39_RS01820
OG0000014	ABJ972_RS01065	B5C39_RS02290
OG0000016	ABJ972_RS02765	B5C39_RS00060
OG0000016	ABJ972_RS00155	B5C39_RS00985
OG0000017	ABJ972_RS00140	B5C39_RS00970
OG0000017	ABJ972_RS02775	B5C39_RS00070
OG0000018	ABJ972_RS01310	B5C39_RS01575, B5C39_RS03790, B5C39_RS03785
OG0000020	ABJ972_RS03450	B5C39_RS00735
OG0000020	ABJ972_RS03455	B5C39_RS00740
OG0000021	ABJ972_RS01720	B5C39_RS03275
