Orthogroup	MHP_116_genes	MHP_153B_genes
OG0000000	ABJ972_RS02145	NB625_RS02335
OG0000000	ABJ972_RS02085	NB625_RS02230
OG0000000	ABJ972_RS02100	NB625_RS02220
OG0000000	ABJ972_RS02095	NB625_RS02210
OG0000000	ABJ972_RS01695	NB625_RS01725
OG0000001	ABJ972_RS01270	NB625_RS01285, NB625_RS01280
OG0000001	ABJ972_RS02675	NB625_RS02910
OG0000002	ABJ972_RS02150	NB625_RS02350
OG0000002	ABJ972_RS02105	NB625_RS02235
OG0000002	ABJ972_RS01715	NB625_RS01730
OG0000003	ABJ972_RS01815	NB625_RS01830
OG0000004	ABJ972_RS03105	NB625_RS03355
OG0000004	ABJ972_RS03110	NB625_RS03360
OG0000004	ABJ972_RS03120	NB625_RS03370
OG0000004	ABJ972_RS02945	NB625_RS03190
OG0000005	ABJ972_RS00100	NB625_RS00100
OG0000005	ABJ972_RS00110	NB625_RS00105
OG0000006	ABJ972_RS02440	NB625_RS02650
OG0000006	ABJ972_RS02305	NB625_RS02500
OG0000006	ABJ972_RS02275	NB625_RS02470
OG0000007	ABJ972_RS02135	NB625_RS02325
OG0000007	ABJ972_RS02130	NB625_RS02305
OG0000008	ABJ972_RS02260	NB625_RS02460
OG0000008	ABJ972_RS01615	NB625_RS01635, NB625_RS01640
OG0000008	ABJ972_RS02445	NB625_RS02660
OG0000009	ABJ972_RS01005	NB625_RS01020
OG0000009	ABJ972_RS00085	NB625_RS00085
OG0000009	ABJ972_RS00990	NB625_RS01005
OG0000010	ABJ972_RS01825, ABJ972_RS00095	NB625_RS01850
OG0000011	ABJ972_RS01915	NB625_RS01950
OG0000012	ABJ972_RS01840	NB625_RS01865
OG0000013	ABJ972_RS02350	NB625_RS02545
OG0000013	ABJ972_RS00170	NB625_RS00190
OG0000014	ABJ972_RS01075	NB625_RS01095
OG0000014	ABJ972_RS01065	NB625_RS01085
OG0000015	ABJ972_RS01545	NB625_RS01580
OG0000016	ABJ972_RS02765	NB625_RS02995
OG0000016	ABJ972_RS00155	NB625_RS00175
OG0000017	ABJ972_RS00140	NB625_RS00160
OG0000017	ABJ972_RS02775	NB625_RS03005
OG0000018	ABJ972_RS01310	NB625_RS01325, NB625_RS02090
OG0000019	ABJ972_RS02935	NB625_RS03175
OG0000019	ABJ972_RS02950	NB625_RS03195
OG0000020	ABJ972_RS03455	NB625_RS03695
OG0000021	ABJ972_RS00490	NB625_RS01755
OG0000022	ABJ972_RS01635	NB625_RS01665
OG0000022	ABJ972_RS01690	NB625_RS01720
OG0000023	ABJ972_RS01305	NB625_RS01320
OG0000024	ABJ972_RS02670	NB625_RS02905
OG0000024	ABJ972_RS01260	NB625_RS01275
OG0000025	ABJ972_RS01640	NB625_RS01670
OG0000025	ABJ972_RS01685	NB625_RS01715
OG0000026	ABJ972_RS01350	NB625_RS01365
OG0000026	ABJ972_RS01665	NB625_RS01695
OG0000027	ABJ972_RS03260	NB625_RS03505
OG0000028	ABJ972_RS02360	NB625_RS02565
OG0000029	ABJ972_RS00585	NB625_RS00600
OG0000029	ABJ972_RS01060	NB625_RS01080
OG0000030	ABJ972_RS03245	NB625_RS03495
OG0000031	ABJ972_RS01580	NB625_RS01605
OG0000032	ABJ972_RS01555	NB625_RS01585
OG0000035	ABJ972_RS03115	NB625_RS03365
OG0000036	ABJ972_RS00115	NB625_RS00130
OG0000039	ABJ972_RS01595	NB625_RS01615
OG0000040	ABJ972_RS03190	NB625_RS03440
OG0000041	ABJ972_RS01000	NB625_RS01015
OG0000042	ABJ972_RS02860	NB625_RS03095
OG0000043	ABJ972_RS01880	NB625_RS01915
OG0000044	ABJ972_RS01650	NB625_RS01680
OG0000045	ABJ972_RS01600	NB625_RS01620
OG0000046	ABJ972_RS03200	NB625_RS03445
OG0000048	ABJ972_RS02065	NB625_RS02195
OG0000049	ABJ972_RS02960	NB625_RS03205
OG0000050	ABJ972_RS02390	NB625_RS02595
OG0000051	ABJ972_RS02590	NB625_RS02810
OG0000052	ABJ972_RS00075	NB625_RS00075
OG0000053	ABJ972_RS01435	NB625_RS01450, NB625_RS01455
OG0000054	ABJ972_RS02415	NB625_RS02620
OG0000055	ABJ972_RS00120	NB625_RS00135
OG0000056	ABJ972_RS03435	NB625_RS03680
OG0000057	ABJ972_RS02845	NB625_RS03080
OG0000061	ABJ972_RS01835	NB625_RS01860
OG0000062	ABJ972_RS03485, ABJ972_RS03515	NB625_RS03725
OG0000063	ABJ972_RS03510, ABJ972_RS03480	NB625_RS03720
OG0000064	ABJ972_RS03470	NB625_RS03710
OG0000065	ABJ972_RS02200	NB625_RS02395
OG0000066	ABJ972_RS01340	NB625_RS01355
OG0000067	ABJ972_RS00510	NB625_RS00525
OG0000068	ABJ972_RS01025	NB625_RS01040
OG0000069	ABJ972_RS02740	NB625_RS02975
OG0000070	ABJ972_RS02420	NB625_RS02625
OG0000071	ABJ972_RS03180	NB625_RS03430
OG0000072	ABJ972_RS03185	NB625_RS03435
OG0000073	ABJ972_RS00965	NB625_RS00980
OG0000074	ABJ972_RS00765	NB625_RS00780
OG0000075	ABJ972_RS00325	NB625_RS00345
OG0000076	ABJ972_RS00340	NB625_RS00360
OG0000077	ABJ972_RS00425	NB625_RS00445
OG0000078	ABJ972_RS01655	NB625_RS01685
OG0000079	ABJ972_RS02495	NB625_RS02710
OG0000080	ABJ972_RS02540	NB625_RS02760
OG0000081	ABJ972_RS00320	NB625_RS00340
OG0000083	ABJ972_RS01985	NB625_RS02020
OG0000084	ABJ972_RS02015	NB625_RS02050
OG0000085	ABJ972_RS02020	NB625_RS02055
OG0000086	ABJ972_RS02030	NB625_RS02160
OG0000087	ABJ972_RS02045	NB625_RS02175
OG0000088	ABJ972_RS02050	NB625_RS02180
OG0000089	ABJ972_RS02060	NB625_RS02190
OG0000090	ABJ972_RS00070	NB625_RS00070
OG0000091	ABJ972_RS00055	NB625_RS00055
OG0000092	ABJ972_RS00040	NB625_RS00040
OG0000093	ABJ972_RS00035	NB625_RS00035
OG0000094	ABJ972_RS00030	NB625_RS00030
OG0000095	ABJ972_RS00005	NB625_RS00005
OG0000096	ABJ972_RS03550	NB625_RS03760
OG0000097	ABJ972_RS03530	NB625_RS03740
OG0000098	ABJ972_RS03490, ABJ972_RS03520	NB625_RS03730
OG0000099	ABJ972_RS03440	NB625_RS03685
OG0000100	ABJ972_RS03425	NB625_RS03675
OG0000101	ABJ972_RS03420	NB625_RS03665
OG0000102	ABJ972_RS01680	NB625_RS01710
OG0000103	ABJ972_RS02165	NB625_RS02360
OG0000104	ABJ972_RS02170	NB625_RS02365
OG0000105	ABJ972_RS02185	NB625_RS02380
OG0000106	ABJ972_RS02195	NB625_RS02390
OG0000107	ABJ972_RS02205	NB625_RS02400
OG0000108	ABJ972_RS02210	NB625_RS02405
OG0000109	ABJ972_RS02215	NB625_RS02410
OG0000110	ABJ972_RS02335	NB625_RS02530
OG0000111	ABJ972_RS02330	NB625_RS02525
OG0000112	ABJ972_RS02320	NB625_RS02515
OG0000113	ABJ972_RS02300	NB625_RS02495
OG0000114	ABJ972_RS02290	NB625_RS02485
OG0000115	ABJ972_RS02280	NB625_RS02475
OG0000116	ABJ972_RS01285	NB625_RS01300
OG0000117	ABJ972_RS01290	NB625_RS01305
OG0000118	ABJ972_RS01325	NB625_RS01340
OG0000119	ABJ972_RS01330	NB625_RS01345
OG0000120	ABJ972_RS01345	NB625_RS01360
OG0000121	ABJ972_RS01370	NB625_RS01385
OG0000122	ABJ972_RS01375	NB625_RS01390
OG0000123	ABJ972_RS01395	NB625_RS01410
OG0000124	ABJ972_RS01400	NB625_RS01415
