Orthogroup	MHP_116_genes	MHP_112B_genes
OG0000000	ABJ972_RS02145	NBX26_RS01900
OG0000000	ABJ972_RS02100	NBX26_RS01015
OG0000000	ABJ972_RS02095	NBX26_RS01030, NBX26_RS01020
OG0000000	ABJ972_RS02080	NBX26_RS01905
OG0000000	ABJ972_RS02265	NBX26_RS02470
OG0000000	ABJ972_RS01695	NBX26_RS01850, NBX26_RS01860
OG0000001	ABJ972_RS01270	NBX26_RS01405
OG0000001	ABJ972_RS02675	NBX26_RS02925, NBX26_RS02920
OG0000002	ABJ972_RS02150	NBX26_RS02355
OG0000002	ABJ972_RS02105	NBX26_RS01010
OG0000003	ABJ972_RS01765	NBX26_RS00500
OG0000003	ABJ972_RS00485	NBX26_RS00510
OG0000003	ABJ972_RS01815	NBX26_RS02265
OG0000004	ABJ972_RS03105	NBX26_RS03380
OG0000004	ABJ972_RS03100	NBX26_RS03370
OG0000004	ABJ972_RS03120	NBX26_RS03385
OG0000004	ABJ972_RS02940	NBX26_RS03195
OG0000005	ABJ972_RS00100	NBX26_RS00105
OG0000005	ABJ972_RS00105	NBX26_RS00110
OG0000005	ABJ972_RS00110	NBX26_RS00115
OG0000006	ABJ972_RS02440	NBX26_RS02660
OG0000006	ABJ972_RS02305	NBX26_RS02505
OG0000006	ABJ972_RS02275	NBX26_RS02475
OG0000007	ABJ972_RS02135	NBX26_RS01050
OG0000007	ABJ972_RS02130	NBX26_RS01055
OG0000007	ABJ972_RS02125	NBX26_RS01065
OG0000008	ABJ972_RS02260	NBX26_RS02465
OG0000008	ABJ972_RS01615	NBX26_RS01765
OG0000008	ABJ972_RS02445	NBX26_RS02670, NBX26_RS02665
OG0000009	ABJ972_RS01005	NBX26_RS00665
OG0000009	ABJ972_RS00085	NBX26_RS00090
OG0000009	ABJ972_RS00990	NBX26_RS00685
OG0000010	ABJ972_RS01825	NBX26_RS02250
OG0000011	ABJ972_RS01915	NBX26_RS02155
OG0000012	ABJ972_RS01840	NBX26_RS02235
OG0000013	ABJ972_RS02350	NBX26_RS02550
OG0000014	ABJ972_RS01065	NBX26_RS00605
OG0000016	ABJ972_RS00155	NBX26_RS00160
OG0000017	ABJ972_RS00140	NBX26_RS00145
OG0000017	ABJ972_RS02775	NBX26_RS03025
OG0000018	ABJ972_RS01310	NBX26_RS01445, NBX26_RS01950
OG0000019	ABJ972_RS02935	NBX26_RS03190
OG0000020	ABJ972_RS03455	NBX26_RS03745
OG0000021	ABJ972_RS00490, ABJ972_RS00495	NBX26_RS02335
OG0000022	ABJ972_RS01635	NBX26_RS01790
OG0000022	ABJ972_RS01690	NBX26_RS01845
OG0000024	ABJ972_RS02670	NBX26_RS02915
OG0000024	ABJ972_RS01260	NBX26_RS01400
OG0000025	ABJ972_RS01640	NBX26_RS01795
OG0000025	ABJ972_RS01685	NBX26_RS01840
OG0000026	ABJ972_RS01350	NBX26_RS01490
OG0000026	ABJ972_RS01665	NBX26_RS01820
OG0000027	ABJ972_RS03260	NBX26_RS03535
OG0000028	ABJ972_RS02360	NBX26_RS02575, NBX26_RS02580
OG0000029	ABJ972_RS00585	NBX26_RS01225
OG0000029	ABJ972_RS01060	NBX26_RS00610
OG0000030	ABJ972_RS03245	NBX26_RS03525
OG0000032	ABJ972_RS01555	NBX26_RS01700
OG0000033	ABJ972_RS02355	NBX26_RS02555
OG0000035	ABJ972_RS03115	NBX26_RS03375
OG0000039	ABJ972_RS01595	NBX26_RS01735
OG0000041	ABJ972_RS01000	NBX26_RS00670
OG0000042	ABJ972_RS02860	NBX26_RS03110
OG0000043	ABJ972_RS01880	NBX26_RS02185
OG0000044	ABJ972_RS01650	NBX26_RS01805
OG0000045	ABJ972_RS01600	NBX26_RS01745
OG0000046	ABJ972_RS03200	NBX26_RS03470
OG0000048	ABJ972_RS02065	NBX26_RS01920
OG0000049	ABJ972_RS02960	NBX26_RS03220
OG0000050	ABJ972_RS02390	NBX26_RS02610
OG0000051	ABJ972_RS02590	NBX26_RS02825
OG0000052	ABJ972_RS00075	NBX26_RS00080
OG0000053	ABJ972_RS01435	NBX26_RS01580
OG0000054	ABJ972_RS02415	NBX26_RS02635
OG0000055	ABJ972_RS00120	NBX26_RS00125
OG0000056	ABJ972_RS03435	NBX26_RS03730
OG0000057	ABJ972_RS02845	NBX26_RS03095
OG0000061	ABJ972_RS01835	NBX26_RS02240
OG0000062	ABJ972_RS03485, ABJ972_RS03515	NBX26_RS03775
OG0000063	ABJ972_RS03510, ABJ972_RS03480	NBX26_RS03770
OG0000064	ABJ972_RS03470	NBX26_RS03760
OG0000065	ABJ972_RS02200	NBX26_RS02400
OG0000066	ABJ972_RS01340	NBX26_RS01480
OG0000068	ABJ972_RS01025	NBX26_RS00645
OG0000069	ABJ972_RS02740	NBX26_RS02990
OG0000070	ABJ972_RS02420	NBX26_RS02640
OG0000071	ABJ972_RS03180	NBX26_RS03445
OG0000072	ABJ972_RS03185	NBX26_RS03450
OG0000073	ABJ972_RS00965	NBX26_RS00715
OG0000074	ABJ972_RS00765	NBX26_RS00910
OG0000075	ABJ972_RS00325	NBX26_RS00335
OG0000076	ABJ972_RS00340	NBX26_RS00350
OG0000077	ABJ972_RS00425	NBX26_RS00435
OG0000078	ABJ972_RS01655	NBX26_RS01810
OG0000079	ABJ972_RS02495	NBX26_RS02720
OG0000080	ABJ972_RS02540	NBX26_RS02765
OG0000081	ABJ972_RS00320	NBX26_RS00330
OG0000083	ABJ972_RS01985	NBX26_RS02080
OG0000084	ABJ972_RS02015	NBX26_RS02050
OG0000085	ABJ972_RS02020	NBX26_RS02045
OG0000086	ABJ972_RS02030	NBX26_RS02030
OG0000087	ABJ972_RS02045	NBX26_RS02015
OG0000088	ABJ972_RS02050	NBX26_RS02010
OG0000089	ABJ972_RS02060	NBX26_RS02000
OG0000090	ABJ972_RS00070	NBX26_RS00070
OG0000091	ABJ972_RS00055	NBX26_RS00055
OG0000092	ABJ972_RS00040	NBX26_RS00040
OG0000093	ABJ972_RS00035	NBX26_RS00035
OG0000094	ABJ972_RS00030	NBX26_RS00030
OG0000095	ABJ972_RS00005	NBX26_RS00005
OG0000096	ABJ972_RS03550	NBX26_RS03810
OG0000097	ABJ972_RS03530	NBX26_RS03790
OG0000098	ABJ972_RS03520	NBX26_RS03780
OG0000099	ABJ972_RS03440	NBX26_RS03735
OG0000100	ABJ972_RS03425	NBX26_RS03720
OG0000101	ABJ972_RS03420	NBX26_RS03715
OG0000102	ABJ972_RS01680	NBX26_RS01835
OG0000103	ABJ972_RS02165	NBX26_RS02365
OG0000104	ABJ972_RS02170	NBX26_RS02370
OG0000105	ABJ972_RS02185	NBX26_RS02390
OG0000106	ABJ972_RS02195	NBX26_RS02395
OG0000107	ABJ972_RS02205	NBX26_RS02405
OG0000108	ABJ972_RS02210	NBX26_RS02410
OG0000109	ABJ972_RS02215	NBX26_RS02415
OG0000110	ABJ972_RS02335	NBX26_RS02535
OG0000111	ABJ972_RS02330	NBX26_RS02530
OG0000112	ABJ972_RS02320	NBX26_RS02520
OG0000113	ABJ972_RS02300	NBX26_RS02500
OG0000114	ABJ972_RS02290	NBX26_RS02490
OG0000115	ABJ972_RS02280	NBX26_RS02480
OG0000116	ABJ972_RS01285	NBX26_RS01420
OG0000117	ABJ972_RS01290	NBX26_RS01425
OG0000118	ABJ972_RS01325	NBX26_RS01460
OG0000119	ABJ972_RS01330	NBX26_RS01470
OG0000120	ABJ972_RS01345	NBX26_RS01485
OG0000121	ABJ972_RS01370	NBX26_RS01515
OG0000122	ABJ972_RS01375	NBX26_RS01520
OG0000123	ABJ972_RS01395	NBX26_RS01540
OG0000124	ABJ972_RS01400	NBX26_RS01545
OG0000125	ABJ972_RS01405	NBX26_RS01550
OG0000126	ABJ972_RS01415	NBX26_RS01560
OG0000127	ABJ972_RS01425	NBX26_RS01570
OG0000128	ABJ972_RS01440	NBX26_RS01585
OG0000129	ABJ972_RS01445	NBX26_RS01590
OG0000130	ABJ972_RS01455	NBX26_RS01600
OG0000131	ABJ972_RS01485	NBX26_RS01630
OG0000132	ABJ972_RS01500	NBX26_RS01645
OG0000133	ABJ972_RS00515	NBX26_RS00530
OG0000134	ABJ972_RS00520	NBX26_RS00535
OG0000135	ABJ972_RS00535	NBX26_RS00550
OG0000136	ABJ972_RS00540	NBX26_RS00555
OG0000137	ABJ972_RS00570	NBX26_RS00595
OG0000138	ABJ972_RS01050	NBX26_RS00620
OG0000139	ABJ972_RS01020	NBX26_RS00650
OG0000140	ABJ972_RS01015	NBX26_RS00655
OG0000141	ABJ972_RS02855	NBX26_RS03105
OG0000142	ABJ972_RS02850	NBX26_RS03100
OG0000143	ABJ972_RS02830	NBX26_RS03085
OG0000144	ABJ972_RS02820	NBX26_RS03070
OG0000145	ABJ972_RS02810	NBX26_RS03060
OG0000146	ABJ972_RS02800	NBX26_RS03050
OG0000147	ABJ972_RS02795	NBX26_RS03045
OG0000148	ABJ972_RS02780	NBX26_RS03030
OG0000149	ABJ972_RS02770	NBX26_RS03020
OG0000150	ABJ972_RS02755	NBX26_RS03005
OG0000151	ABJ972_RS02705	NBX26_RS02955
OG0000152	ABJ972_RS02700	NBX26_RS02950
OG0000153	ABJ972_RS02695	NBX26_RS02945
OG0000154	ABJ972_RS02685	NBX26_RS02935
OG0000155	ABJ972_RS02650	NBX26_RS02895
OG0000156	ABJ972_RS02645	NBX26_RS02890
OG0000157	ABJ972_RS02635	NBX26_RS02880
OG0000158	ABJ972_RS02625	NBX26_RS02870
OG0000159	ABJ972_RS02405	NBX26_RS02625
OG0000160	ABJ972_RS02400	NBX26_RS02620
OG0000161	ABJ972_RS02395	NBX26_RS02615
OG0000162	ABJ972_RS02385	NBX26_RS02605
OG0000163	ABJ972_RS02380	NBX26_RS02600
OG0000164	ABJ972_RS01585	NBX26_RS01730
OG0000165	ABJ972_RS01905	NBX26_RS02160
OG0000166	ABJ972_RS01925	NBX26_RS02140
OG0000167	ABJ972_RS01940	NBX26_RS02125
OG0000168	ABJ972_RS01945	NBX26_RS02120
OG0000169	ABJ972_RS02955	NBX26_RS03215
OG0000170	ABJ972_RS02970	NBX26_RS03230
OG0000171	ABJ972_RS02980	NBX26_RS03240
OG0000172	ABJ972_RS02985	NBX26_RS03245
OG0000173	ABJ972_RS02990	NBX26_RS03250
OG0000174	ABJ972_RS02995	NBX26_RS03255
OG0000175	ABJ972_RS03010	NBX26_RS03270
OG0000176	ABJ972_RS03055	NBX26_RS03330
OG0000177	ABJ972_RS03060	NBX26_RS03335
OG0000178	ABJ972_RS03065	NBX26_RS03340
OG0000179	ABJ972_RS03075	NBX26_RS03350
OG0000180	ABJ972_RS03080	NBX26_RS03355
OG0000181	ABJ972_RS03130	NBX26_RS03395
OG0000182	ABJ972_RS03140	NBX26_RS03405
OG0000183	ABJ972_RS03175	NBX26_RS03440
OG0000184	ABJ972_RS03220	NBX26_RS03495
OG0000185	ABJ972_RS03205	NBX26_RS03480
OG0000186	ABJ972_RS01510	NBX26_RS01655
OG0000187	ABJ972_RS01525	NBX26_RS01670
OG0000188	ABJ972_RS01535	NBX26_RS01680
OG0000189	ABJ972_RS02250	NBX26_RS02455
OG0000190	ABJ972_RS02245	NBX26_RS02450
OG0000191	ABJ972_RS02225	NBX26_RS02425
OG0000192	ABJ972_RS01205	NBX26_RS01345
OG0000193	ABJ972_RS01195	NBX26_RS01330
OG0000194	ABJ972_RS00980	NBX26_RS00695
OG0000195	ABJ972_RS00975	NBX26_RS00700
OG0000196	ABJ972_RS00955	NBX26_RS00725
OG0000197	ABJ972_RS00950	NBX26_RS00735
OG0000198	ABJ972_RS00930	NBX26_RS00745
OG0000199	ABJ972_RS00925	NBX26_RS00750
OG0000200	ABJ972_RS00910	NBX26_RS00765
OG0000201	ABJ972_RS00900	NBX26_RS00775
OG0000202	ABJ972_RS00845	NBX26_RS00830
OG0000203	ABJ972_RS00840	NBX26_RS00835
OG0000204	ABJ972_RS00835	NBX26_RS00840
OG0000205	ABJ972_RS00830	NBX26_RS00845
OG0000206	ABJ972_RS00810	NBX26_RS00865
OG0000207	ABJ972_RS00795	NBX26_RS00880
OG0000208	ABJ972_RS00790	NBX26_RS00885
OG0000209	ABJ972_RS00785	NBX26_RS00890
OG0000210	ABJ972_RS00740	NBX26_RS00935
OG0000211	ABJ972_RS00730	NBX26_RS01080
OG0000212	ABJ972_RS00720	NBX26_RS01085
OG0000213	ABJ972_RS00715	NBX26_RS01090
OG0000214	ABJ972_RS00710	NBX26_RS01095
OG0000215	ABJ972_RS00705	NBX26_RS01100
OG0000216	ABJ972_RS00700	NBX26_RS01105
OG0000217	ABJ972_RS00695	NBX26_RS01110
OG0000218	ABJ972_RS00685	NBX26_RS01120
OG0000219	ABJ972_RS00680	NBX26_RS01125
OG0000220	ABJ972_RS00675	NBX26_RS01130
OG0000221	ABJ972_RS00670	NBX26_RS01135
OG0000222	ABJ972_RS00665	NBX26_RS01140
OG0000223	ABJ972_RS00660	NBX26_RS01145
OG0000224	ABJ972_RS00650	NBX26_RS01155
OG0000225	ABJ972_RS00640	NBX26_RS01165
OG0000226	ABJ972_RS00635	NBX26_RS01170
OG0000227	ABJ972_RS00630	NBX26_RS01175
OG0000228	ABJ972_RS00625	NBX26_RS01180
OG0000229	ABJ972_RS00620	NBX26_RS01185
OG0000230	ABJ972_RS00615	NBX26_RS01190
OG0000231	ABJ972_RS00605	NBX26_RS01200
OG0000232	ABJ972_RS00595	NBX26_RS01210
OG0000233	ABJ972_RS01080	NBX26_RS01230
OG0000234	ABJ972_RS01115	NBX26_RS01265
OG0000235	ABJ972_RS01125	NBX26_RS01275
OG0000236	ABJ972_RS01130	NBX26_RS01280
OG0000237	ABJ972_RS01135	NBX26_RS01285
OG0000238	ABJ972_RS01140	NBX26_RS01295
OG0000239	ABJ972_RS02865	NBX26_RS03115
OG0000240	ABJ972_RS02870	NBX26_RS03120
OG0000241	ABJ972_RS02880	NBX26_RS03130
OG0000242	ABJ972_RS02885	NBX26_RS03135
OG0000243	ABJ972_RS02890	NBX26_RS03140
OG0000244	ABJ972_RS02900	NBX26_RS03150
OG0000245	ABJ972_RS02910	NBX26_RS03160
OG0000246	ABJ972_RS00125	NBX26_RS00130
OG0000247	ABJ972_RS00135	NBX26_RS00140
OG0000248	ABJ972_RS00145	NBX26_RS00150
OG0000249	ABJ972_RS00150	NBX26_RS00155
OG0000250	ABJ972_RS00165	NBX26_RS00180
OG0000251	ABJ972_RS00195	NBX26_RS00210
OG0000252	ABJ972_RS00205	NBX26_RS00215
OG0000253	ABJ972_RS00210	NBX26_RS00220
OG0000254	ABJ972_RS00220	NBX26_RS00230
OG0000255	ABJ972_RS00225	NBX26_RS00235
OG0000256	ABJ972_RS00230	NBX26_RS00240
OG0000257	ABJ972_RS00255	NBX26_RS00265
OG0000258	ABJ972_RS00265	NBX26_RS00280
OG0000259	ABJ972_RS00295	NBX26_RS00305
OG0000260	ABJ972_RS00305	NBX26_RS00315
OG0000261	ABJ972_RS00315	NBX26_RS00325
OG0000262	ABJ972_RS00330	NBX26_RS00340
OG0000263	ABJ972_RS00345	NBX26_RS00355
OG0000264	ABJ972_RS00360	NBX26_RS00370
OG0000265	ABJ972_RS00370	NBX26_RS00380
OG0000266	ABJ972_RS00385	NBX26_RS00395
OG0000267	ABJ972_RS00400	NBX26_RS00410
OG0000268	ABJ972_RS00405	NBX26_RS00415
OG0000269	ABJ972_RS00420	NBX26_RS00430
OG0000270	ABJ972_RS03395	NBX26_RS03690
OG0000271	ABJ972_RS03390	NBX26_RS03685
OG0000272	ABJ972_RS03385	NBX26_RS03680
OG0000273	ABJ972_RS03380	NBX26_RS03675
OG0000274	ABJ972_RS03360	NBX26_RS03660
OG0000275	ABJ972_RS03355	NBX26_RS03650
OG0000276	ABJ972_RS03350	NBX26_RS03645
OG0000277	ABJ972_RS03340	NBX26_RS03635
OG0000278	ABJ972_RS03335	NBX26_RS03630
OG0000279	ABJ972_RS03325	NBX26_RS03620
OG0000280	ABJ972_RS03320	NBX26_RS03615
OG0000281	ABJ972_RS03315	NBX26_RS03610
OG0000282	ABJ972_RS03290	NBX26_RS03585
OG0000283	ABJ972_RS03285	NBX26_RS03580
OG0000284	ABJ972_RS03280	NBX26_RS03575
OG0000285	ABJ972_RS03275	NBX26_RS03570
OG0000286	ABJ972_RS02365	NBX26_RS02585
OG0000287	ABJ972_RS02455	NBX26_RS02680
OG0000288	ABJ972_RS02465	NBX26_RS02690
OG0000289	ABJ972_RS02470	NBX26_RS02695
OG0000290	ABJ972_RS02580	NBX26_RS02815
OG0000291	ABJ972_RS02570	NBX26_RS02800
OG0000292	ABJ972_RS02565	NBX26_RS02795
OG0000293	ABJ972_RS02560	NBX26_RS02785
OG0000294	ABJ972_RS02550	NBX26_RS02775
OG0000295	ABJ972_RS02545	NBX26_RS02770
OG0000296	ABJ972_RS02505	NBX26_RS02730
OG0000297	ABJ972_RS02500	NBX26_RS02725
OG0000298	ABJ972_RS00160	NBX26_RS00165
OG0000299	ABJ972_RS00180	NBX26_RS00190
OG0000300	ABJ972_RS00355	NBX26_RS00365
OG0000301	ABJ972_RS00390	NBX26_RS00400
OG0000302	ABJ972_RS00395	NBX26_RS00405
OG0000303	ABJ972_RS00545	NBX26_RS00560
OG0000304	ABJ972_RS00590	NBX26_RS01215
OG0000305	ABJ972_RS02805	NBX26_RS03055
OG0000306	ABJ972_RS02730	NBX26_RS02980
OG0000307	ABJ972_RS02690	NBX26_RS02940
OG0000308	ABJ972_RS02600	NBX26_RS02850
OG0000309	ABJ972_RS02535	NBX26_RS02760
OG0000310	ABJ972_RS02460	NBX26_RS02685
OG0000311	ABJ972_RS02425	NBX26_RS02645
OG0000312	ABJ972_RS02410	NBX26_RS02630
OG0000313	ABJ972_RS01575	NBX26_RS01720
OG0000314	ABJ972_RS01920	NBX26_RS02145
OG0000315	ABJ972_RS01950	NBX26_RS02115
OG0000316	ABJ972_RS01960	NBX26_RS02105
OG0000317	ABJ972_RS02055	NBX26_RS02005
OG0000318	ABJ972_RS01965	NBX26_RS02100
OG0000319	ABJ972_RS02180	NBX26_RS02380
OG0000320	ABJ972_RS02310	NBX26_RS02510
OG0000321	ABJ972_RS01320	NBX26_RS01455
OG0000322	ABJ972_RS01365	NBX26_RS01510
OG0000323	ABJ972_RS01495	NBX26_RS01640
OG0000324	ABJ972_RS02220	NBX26_RS02420
OG0000325	ABJ972_RS00970	NBX26_RS00710
OG0000326	ABJ972_RS00870	NBX26_RS00805
OG0000327	ABJ972_RS00865	NBX26_RS00810
OG0000328	ABJ972_RS00780	NBX26_RS00895
OG0000329	ABJ972_RS00760	NBX26_RS00920
OG0000330	ABJ972_RS01090	NBX26_RS01240
OG0000331	ABJ972_RS02895	NBX26_RS03145
OG0000332	ABJ972_RS03020	NBX26_RS03285
OG0000333	ABJ972_RS03030	NBX26_RS03295
OG0000334	ABJ972_RS03135	NBX26_RS03400
OG0000335	ABJ972_RS03145	NBX26_RS03410
OG0000336	ABJ972_RS03305	NBX26_RS03600
OG0000337	ABJ972_RS03505	NBX26_RS03765
OG0000338	ABJ972_RS03545	NBX26_RS03805
OG0000339	ABJ972_RS02285	NBX26_RS02485
OG0000340	ABJ972_RS01300	NBX26_RS01435
OG0000341	ABJ972_RS02240	NBX26_RS02445
OG0000342	ABJ972_RS00935	NBX26_RS00740
OG0000343	ABJ972_RS03040	NBX26_RS03305
OG0000344	ABJ972_RS00560	NBX26_RS00575
OG0000345	ABJ972_RS00645	NBX26_RS01160
OG0000346	ABJ972_RS03310	NBX26_RS03605
OG0000347	ABJ972_RS01390	NBX26_RS01535
OG0000348	ABJ972_RS00860	NBX26_RS00815
OG0000349	ABJ972_RS03370	NBX26_RS03665
OG0000350	ABJ972_RS02680	NBX26_RS02930
OG0000351	ABJ972_RS00480	NBX26_RS00485
OG0000352	ABJ972_RS01900	NBX26_RS02165
OG0000353	ABJ972_RS01360	NBX26_RS01500
OG0000354	ABJ972_RS01035	NBX26_RS00635
OG0000355	ABJ972_RS01875	NBX26_RS02190
OG0000356	ABJ972_RS01955	NBX26_RS02110
OG0000357	ABJ972_RS03000	NBX26_RS03260
OG0000358	ABJ972_RS03005	NBX26_RS03265
OG0000359	ABJ972_RS00890	NBX26_RS00785
OG0000360	ABJ972_RS00260	NBX26_RS00270
OG0000361	ABJ972_RS00290	NBX26_RS00300
OG0000362	ABJ972_RS02480	NBX26_RS02705
OG0000363	ABJ972_RS01430	NBX26_RS01575
OG0000364	ABJ972_RS01855	NBX26_RS02215
OG0000365	ABJ972_RS02005	NBX26_RS02065
OG0000366	ABJ972_RS02025	NBX26_RS02040
OG0000367	ABJ972_RS02035	NBX26_RS02025
OG0000368	ABJ972_RS00060	NBX26_RS00060
OG0000369	ABJ972_RS00025	NBX26_RS00025
OG0000370	ABJ972_RS00020	NBX26_RS00020
OG0000371	ABJ972_RS00015	NBX26_RS00015
OG0000372	ABJ972_RS00010	NBX26_RS00010
OG0000373	ABJ972_RS03535	NBX26_RS03795
OG0000374	ABJ972_RS03525	NBX26_RS03785
OG0000375	ABJ972_RS02175	NBX26_RS02375
OG0000376	ABJ972_RS02325	NBX26_RS02525
OG0000377	ABJ972_RS02315	NBX26_RS02515
OG0000378	ABJ972_RS01280	NBX26_RS01415
OG0000379	ABJ972_RS01355	NBX26_RS01495
OG0000380	ABJ972_RS01380	NBX26_RS01530
OG0000381	ABJ972_RS01420	NBX26_RS01565
OG0000382	ABJ972_RS01450	NBX26_RS01595
OG0000383	ABJ972_RS01490	NBX26_RS01635
OG0000384	ABJ972_RS00500	NBX26_RS00515
OG0000385	ABJ972_RS00505	NBX26_RS00525
OG0000386	ABJ972_RS00525	NBX26_RS00540
OG0000387	ABJ972_RS00550	NBX26_RS00565
OG0000388	ABJ972_RS00555	NBX26_RS00570
OG0000389	ABJ972_RS01055	NBX26_RS00615
OG0000390	ABJ972_RS02825	NBX26_RS03075
OG0000391	ABJ972_RS02815	NBX26_RS03065
OG0000392	ABJ972_RS02790	NBX26_RS03040
OG0000393	ABJ972_RS02735	NBX26_RS02985
OG0000394	ABJ972_RS02660	NBX26_RS02905
OG0000395	ABJ972_RS02655	NBX26_RS02900
OG0000396	ABJ972_RS02370	NBX26_RS02590
OG0000397	ABJ972_RS01885	NBX26_RS02180
OG0000398	ABJ972_RS01890	NBX26_RS02175
OG0000399	ABJ972_RS01935	NBX26_RS02130
OG0000400	ABJ972_RS02965	NBX26_RS03225
OG0000401	ABJ972_RS03025	NBX26_RS03290
OG0000402	ABJ972_RS03035	NBX26_RS03300
OG0000403	ABJ972_RS03045	NBX26_RS03310
OG0000404	ABJ972_RS03070	NBX26_RS03345
OG0000405	ABJ972_RS03090	NBX26_RS03360
OG0000406	ABJ972_RS03150	NBX26_RS03415
OG0000407	ABJ972_RS03155	NBX26_RS03420
OG0000408	ABJ972_RS03160	NBX26_RS03425
OG0000409	ABJ972_RS03165	NBX26_RS03430
OG0000410	ABJ972_RS03225	NBX26_RS03505
OG0000411	ABJ972_RS03215	NBX26_RS03490
OG0000412	ABJ972_RS03210	NBX26_RS03485
OG0000413	ABJ972_RS01505	NBX26_RS01650
OG0000414	ABJ972_RS01515	NBX26_RS01660
OG0000415	ABJ972_RS01520	NBX26_RS01665
OG0000416	ABJ972_RS01530	NBX26_RS01675
OG0000417	ABJ972_RS02235	NBX26_RS02440
OG0000418	ABJ972_RS02230	NBX26_RS02430
OG0000419	ABJ972_RS00960	NBX26_RS00720
OG0000420	ABJ972_RS00920	NBX26_RS00755
OG0000421	ABJ972_RS00885	NBX26_RS00795
OG0000422	ABJ972_RS00875	NBX26_RS00800
OG0000423	ABJ972_RS00820	NBX26_RS00855
OG0000424	ABJ972_RS00815	NBX26_RS00860
OG0000425	ABJ972_RS00805	NBX26_RS00870
OG0000426	ABJ972_RS00800	NBX26_RS00875
OG0000427	ABJ972_RS00775	NBX26_RS00900
OG0000428	ABJ972_RS00750	NBX26_RS00925
OG0000429	ABJ972_RS00655	NBX26_RS01150
OG0000430	ABJ972_RS00610	NBX26_RS01195
OG0000431	ABJ972_RS00600	NBX26_RS01205
OG0000432	ABJ972_RS01085	NBX26_RS01235
OG0000433	ABJ972_RS01100	NBX26_RS01260
OG0000435	ABJ972_RS01120	NBX26_RS01270
OG0000437	ABJ972_RS01155	NBX26_RS01305
OG0000438	ABJ972_RS01160	NBX26_RS01310
OG0000439	ABJ972_RS01165	NBX26_RS01315
OG0000440	ABJ972_RS02875	NBX26_RS03125
OG0000441	ABJ972_RS02915	NBX26_RS03165
OG0000442	ABJ972_RS00130	NBX26_RS00135
OG0000443	ABJ972_RS00175	NBX26_RS00185
OG0000444	ABJ972_RS00190	NBX26_RS00200
OG0000445	ABJ972_RS00215	NBX26_RS00225
OG0000446	ABJ972_RS00240	NBX26_RS00250
OG0000447	ABJ972_RS00245	NBX26_RS00255
OG0000448	ABJ972_RS00275	NBX26_RS00290
OG0000449	ABJ972_RS00300	NBX26_RS00310
OG0000450	ABJ972_RS00310	NBX26_RS00320
OG0000451	ABJ972_RS00350	NBX26_RS00360
OG0000452	ABJ972_RS00375	NBX26_RS00385
OG0000453	ABJ972_RS00410	NBX26_RS00420
OG0000454	ABJ972_RS01550	NBX26_RS01695
OG0000455	ABJ972_RS03415	NBX26_RS03710
OG0000456	ABJ972_RS03295	NBX26_RS03590
OG0000457	ABJ972_RS03270	NBX26_RS03565
OG0000458	ABJ972_RS02450	NBX26_RS02675
OG0000459	ABJ972_RS02475	NBX26_RS02700
OG0000460	ABJ972_RS02485	NBX26_RS02710
OG0000461	ABJ972_RS02530	NBX26_RS02755
OG0000462	ABJ972_RS02525	NBX26_RS02750
OG0000463	ABJ972_RS02520	NBX26_RS02745
OG0000464	ABJ972_RS02515	NBX26_RS02740
OG0000465	ABJ972_RS02510	NBX26_RS02735
OG0000466	ABJ972_RS00380	NBX26_RS00390
