Number of species	44
Number of genes	28989
Number of genes in orthogroups	28799
Number of unassigned genes	190
Percentage of genes in orthogroups	99.3
Percentage of unassigned genes	0.7
Number of orthogroups	807
Number of species-specific orthogroups	2
Number of genes in species-specific orthogroups	4
Percentage of genes in species-specific orthogroups	0.0
Mean orthogroup size	35.7
Median orthogroup size	43.0
G50 (assigned genes)	44
G50 (all genes)	44
O50 (assigned genes)	314
O50 (all genes)	376
Number of orthogroups with all species present	307
Number of single-copy orthogroups	277
Date	2025-01-17
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	455	56.4	12704	44.1
'1	350	43.4	15914	55.3
'2	2	0.2	181	0.6
'3	0	0.0	0	0.0
'4	0	0.0	0	0.0
'5	0	0.0	0	0.0
'6	0	0.0	0	0.0
'7	0	0.0	0	0.0
'8	0	0.0	0	0.0
'9	0	0.0	0	0.0
'10	0	0.0	0	0.0
11-15	0	0.0	0	0.0
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	2
2	39
3	20
4	18
5	10
6	6
7	3
8	16
9	4
10	7
11	2
12	3
13	3
14	5
15	1
16	2
17	4
18	5
19	2
20	3
21	1
22	4
23	5
24	1
25	6
26	5
27	12
28	2
29	4
30	7
31	7
32	6
33	11
34	11
35	20
36	33
37	6
38	8
39	8
40	7
41	11
42	33
43	137
44	307
