Species Tree Node	Duplications (all)	Duplications (50% support)
N0	165	36
MHP_ES2L_genes	3	3
N4	7	0
N2	186	0
MHP_MHP650_genes	2	2
MHP_LH_genes	1	1
N16	3	3
N8	8	0
MHP_112B_genes	1	1
MFC_Ms42_genes	4	4
N1	21	0
N23	6	0
N34	21	5
MFC_MF22_genes	1	1
MHP_168_genes	1	1
MHP_7448_genes	4	4
MHP_Ue273_genes	4	4
MHP_MHP694_genes	1	1
N3	2	0
MHP_J_genes	2	2
MHP_KM014_genes	7	7
MHP_F72C_genes	2	2
MHP_116_genes	4	4
MHP_98_genes	2	2
N29	4	4
N33	5	0
MHP_NCTC10127_genes	13	13
N18	1	1
N25	1	0
MHP_7422_genes	1	1
MHP_ES2_genes	6	6
N14	1	0
N28	1	0
N32	4	2
MHP_131B_genes	2	2
N17	2	0
MHP_TB1_genes	2	2
N26	1	0
MHP_MHP653_genes	1	1
N39	1	1
MHP_111A_genes	1	1
MHP_UFV02_genes	2	2
MHP_154B_genes	1	1
N41	1	1
N37	3	1
N19	1	0
N12	1	0
MFC_ATCC27716_genes	3	3
MHP_UFV01_genes	1	1
MHP_153B_genes	2	2
N22	1	0
