	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
MFC_ATCC27716_genes	0.0	3.0	3.0	2.0	6.0	2.0	0.0	2.0	7.0	8.0	7.0	9.0	7.0	10.0	9.0	8.0	8.0	10.0	11.0	9.0	5.0	7.0	8.0	11.0	7.0	9.0	7.0	8.0	8.0	11.0	9.0	7.0	4.0	8.0	7.0	8.0	8.0	9.0	8.0	12.0	11.0	10.0	10.0	8.0
MFC_MF11_genes	9.0	0.0	3.0	2.0	6.0	2.0	5.0	6.0	7.0	8.0	7.0	11.0	6.0	9.0	8.0	7.0	6.0	12.0	13.0	11.0	5.0	9.0	9.0	10.0	9.0	11.0	5.0	10.0	8.0	10.0	8.0	5.0	5.0	8.0	8.0	9.0	7.0	11.0	7.0	14.0	13.0	9.0	9.0	8.0
MFC_MF18_genes	8.0	0.0	0.0	1.0	5.0	3.0	3.0	7.0	7.0	8.0	7.0	11.0	6.0	9.0	8.0	6.0	5.0	11.0	12.0	11.0	5.0	8.0	9.0	10.0	8.0	10.0	5.0	8.0	6.0	10.0	8.0	5.0	5.0	8.0	7.0	6.0	7.0	10.0	7.0	14.0	11.0	8.0	8.0	8.0
MFC_MF22_genes	10.0	0.0	3.0	0.0	6.0	2.0	5.0	7.0	7.0	8.0	6.0	10.0	6.0	9.0	8.0	5.0	4.0	11.0	12.0	10.0	4.0	8.0	7.0	10.0	9.0	10.0	5.0	8.0	6.0	9.0	8.0	5.0	5.0	8.0	9.0	7.0	7.0	10.0	7.0	12.0	11.0	8.0	8.0	7.0
MFC_MF29_genes	8.0	0.0	0.0	2.0	0.0	2.0	1.0	5.0	5.0	6.0	6.0	7.0	5.0	6.0	5.0	6.0	5.0	8.0	9.0	7.0	4.0	6.0	7.0	7.0	6.0	9.0	4.0	7.0	7.0	6.0	7.0	4.0	4.0	5.0	6.0	5.0	6.0	9.0	6.0	11.0	8.0	8.0	8.0	6.0
MFC_MF30_genes	9.0	3.0	4.0	4.0	8.0	0.0	4.0	6.0	9.0	9.0	10.0	10.0	7.0	11.0	10.0	9.0	9.0	11.0	13.0	12.0	9.0	8.0	9.0	10.0	9.0	12.0	9.0	12.0	9.0	11.0	9.0	7.0	4.0	8.0	7.0	9.0	9.0	11.0	9.0	14.0	11.0	10.0	10.0	10.0
MFC_MF33_genes	4.0	0.0	3.0	3.0	4.0	2.0	0.0	3.0	8.0	9.0	8.0	9.0	7.0	10.0	9.0	8.0	7.0	11.0	12.0	9.0	6.0	7.0	7.0	10.0	8.0	9.0	6.0	9.0	7.0	8.0	8.0	5.0	5.0	8.0	7.0	7.0	8.0	9.0	8.0	12.0	10.0	10.0	10.0	8.0
MFC_Ms42_genes	4.0	2.0	4.0	2.0	7.0	2.0	1.0	0.0	8.0	9.0	7.0	9.0	6.0	10.0	9.0	8.0	8.0	11.0	12.0	9.0	6.0	8.0	8.0	11.0	8.0	10.0	6.0	9.0	9.0	9.0	9.0	7.0	4.0	8.0	8.0	8.0	8.0	9.0	8.0	12.0	12.0	9.0	9.0	10.0
MHP_111A_genes	11.0	3.0	7.0	5.0	8.0	6.0	5.0	7.0	0.0	1.0	3.0	4.0	2.0	8.0	4.0	3.0	3.0	4.0	5.0	3.0	1.0	0.0	1.0	3.0	1.0	9.0	3.0	6.0	8.0	2.0	4.0	0.0	5.0	2.0	3.0	6.0	0.0	4.0	0.0	11.0	7.0	4.0	6.0	3.0
MHP_112B_genes	12.0	4.0	7.0	5.0	8.0	6.0	5.0	8.0	4.0	0.0	3.0	5.0	2.0	8.0	5.0	5.0	6.0	4.0	5.0	4.0	1.0	0.0	1.0	2.0	0.0	10.0	3.0	6.0	8.0	4.0	5.0	1.0	6.0	3.0	3.0	7.0	0.0	5.0	0.0	14.0	7.0	5.0	8.0	3.0
MHP_116_genes	11.0	6.0	10.0	7.0	9.0	8.0	7.0	9.0	6.0	6.0	0.0	7.0	4.0	12.0	11.0	5.0	6.0	5.0	6.0	7.0	3.0	6.0	5.0	8.0	7.0	10.0	3.0	4.0	5.0	6.0	7.0	4.0	6.0	3.0	7.0	10.0	5.0	9.0	5.0	11.0	9.0	7.0	10.0	6.0
MHP_11_genes	11.0	4.0	7.0	6.0	8.0	8.0	5.0	7.0	4.0	4.0	3.0	0.0	2.0	6.0	7.0	3.0	3.0	4.0	4.0	0.0	1.0	3.0	2.0	5.0	3.0	7.0	1.0	5.0	4.0	1.0	2.0	2.0	4.0	2.0	1.0	2.0	3.0	2.0	3.0	11.0	5.0	4.0	5.0	6.0
MHP_1257_genes	12.0	5.0	9.0	6.0	8.0	7.0	6.0	12.0	14.0	11.0	8.0	5.0	0.0	10.0	9.0	7.0	8.0	6.0	4.0	6.0	3.0	4.0	7.0	9.0	6.0	9.0	9.0	9.0	7.0	6.0	5.0	4.0	7.0	4.0	6.0	5.0	3.0	7.0	4.0	10.0	4.0	5.0	6.0	5.0
MHP_131B_genes	11.0	4.0	7.0	6.0	7.0	6.0	5.0	9.0	7.0	5.0	3.0	3.0	1.0	0.0	1.0	3.0	3.0	4.0	5.0	3.0	1.0	2.0	1.0	4.0	3.0	9.0	2.0	2.0	6.0	2.0	7.0	0.0	7.0	1.0	3.0	6.0	1.0	5.0	1.0	13.0	5.0	3.0	5.0	4.0
MHP_133A_genes	11.0	4.0	8.0	6.0	9.0	6.0	6.0	8.0	7.0	5.0	3.0	3.0	1.0	3.0	0.0	3.0	3.0	4.0	5.0	3.0	1.0	2.0	1.0	4.0	3.0	10.0	2.0	2.0	6.0	3.0	8.0	0.0	7.0	2.0	3.0	5.0	1.0	5.0	1.0	13.0	5.0	3.0	5.0	4.0
MHP_153B_genes	12.0	4.0	8.0	7.0	11.0	7.0	7.0	9.0	10.0	7.0	5.0	5.0	2.0	7.0	5.0	0.0	1.0	5.0	6.0	4.0	1.0	3.0	5.0	5.0	4.0	10.0	1.0	5.0	8.0	4.0	6.0	3.0	7.0	6.0	6.0	7.0	2.0	8.0	3.0	13.0	8.0	5.0	7.0	5.0
MHP_154B_genes	13.0	4.0	8.0	7.0	11.0	6.0	7.0	9.0	9.0	6.0	5.0	5.0	2.0	7.0	5.0	2.0	0.0	5.0	6.0	4.0	1.0	3.0	5.0	6.0	4.0	10.0	1.0	4.0	8.0	4.0	6.0	3.0	7.0	6.0	6.0	7.0	3.0	7.0	2.0	13.0	7.0	5.0	6.0	5.0
MHP_168L_genes	10.0	4.0	6.0	6.0	7.0	7.0	5.0	7.0	3.0	3.0	3.0	10.0	2.0	4.0	5.0	6.0	6.0	0.0	1.0	9.0	4.0	7.0	5.0	1.0	5.0	9.0	4.0	2.0	3.0	4.0	3.0	3.0	4.0	5.0	1.0	2.0	3.0	4.0	3.0	18.0	2.0	8.0	8.0	7.0
MHP_168_genes	9.0	4.0	6.0	6.0	7.0	7.0	5.0	6.0	3.0	3.0	3.0	9.0	1.0	3.0	4.0	5.0	5.0	0.0	0.0	8.0	2.0	6.0	4.0	1.0	4.0	8.0	4.0	2.0	3.0	3.0	3.0	2.0	4.0	4.0	1.0	2.0	2.0	3.0	2.0	15.0	2.0	7.0	7.0	5.0
MHP_232_genes	11.0	5.0	8.0	6.0	8.0	8.0	5.0	9.0	5.0	4.0	4.0	0.0	2.0	7.0	9.0	4.0	5.0	5.0	5.0	0.0	2.0	3.0	3.0	4.0	3.0	8.0	2.0	6.0	6.0	3.0	3.0	3.0	4.0	2.0	2.0	4.0	3.0	3.0	3.0	11.0	6.0	5.0	7.0	7.0
MHP_4284_genes	11.0	5.0	9.0	6.0	9.0	7.0	6.0	8.0	7.0	6.0	3.0	4.0	2.0	8.0	7.0	5.0	5.0	5.0	4.0	4.0	0.0	3.0	2.0	7.0	4.0	6.0	3.0	3.0	5.0	4.0	5.0	3.0	7.0	4.0	4.0	6.0	1.0	5.0	1.0	8.0	5.0	4.0	5.0	3.0
MHP_7422_genes	9.0	4.0	6.0	5.0	5.0	6.0	4.0	7.0	7.0	6.0	3.0	4.0	2.0	8.0	6.0	6.0	5.0	4.0	5.0	5.0	1.0	0.0	2.0	6.0	5.0	8.0	4.0	4.0	5.0	4.0	7.0	2.0	5.0	4.0	3.0	10.0	2.0	4.0	2.0	9.0	4.0	5.0	7.0	3.0
MHP_7448_genes	13.0	5.0	9.0	6.0	7.0	7.0	7.0	11.0	11.0	7.0	4.0	3.0	2.0	7.0	6.0	5.0	6.0	4.0	4.0	4.0	3.0	3.0	0.0	5.0	5.0	8.0	7.0	5.0	7.0	5.0	6.0	3.0	6.0	4.0	4.0	7.0	3.0	4.0	3.0	10.0	5.0	3.0	6.0	6.0
MHP_98_genes	11.0	5.0	10.0	6.0	8.0	7.0	6.0	8.0	7.0	6.0	5.0	7.0	4.0	12.0	11.0	6.0	7.0	8.0	6.0	7.0	4.0	5.0	6.0	0.0	4.0	13.0	5.0	4.0	7.0	5.0	7.0	5.0	5.0	4.0	5.0	6.0	4.0	8.0	3.0	15.0	9.0	8.0	9.0	5.0
MHP_ES2L_genes	12.0	5.0	6.0	6.0	7.0	8.0	5.0	9.0	4.0	4.0	3.0	4.0	3.0	7.0	7.0	7.0	7.0	7.0	5.0	5.0	2.0	2.0	3.0	5.0	0.0	9.0	5.0	4.0	4.0	1.0	6.0	2.0	3.0	2.0	3.0	7.0	1.0	6.0	1.0	13.0	7.0	6.0	8.0	5.0
MHP_ES2_genes	10.0	5.0	8.0	6.0	7.0	8.0	5.0	10.0	5.0	2.0	2.0	1.0	1.0	4.0	4.0	7.0	8.0	8.0	5.0	1.0	0.0	3.0	3.0	5.0	4.0	0.0	4.0	6.0	8.0	6.0	4.0	2.0	4.0	2.0	3.0	4.0	0.0	3.0	0.0	7.0	7.0	5.0	7.0	4.0
MHP_F72C_genes	12.0	5.0	8.0	6.0	10.0	7.0	6.0	8.0	7.0	5.0	7.0	5.0	2.0	10.0	11.0	6.0	7.0	8.0	7.0	5.0	1.0	3.0	3.0	5.0	2.0	7.0	0.0	4.0	4.0	4.0	6.0	2.0	5.0	6.0	5.0	7.0	3.0	9.0	2.0	8.0	8.0	5.0	6.0	5.0
MHP_J_genes	11.0	6.0	6.0	6.0	8.0	7.0	5.0	9.0	6.0	6.0	3.0	4.0	2.0	5.0	7.0	6.0	6.0	5.0	5.0	4.0	3.0	3.0	4.0	2.0	4.0	7.0	4.0	0.0	5.0	5.0	5.0	2.0	4.0	1.0	3.0	3.0	1.0	3.0	1.0	6.0	7.0	6.0	7.0	7.0
MHP_KM014_genes	8.0	2.0	4.0	4.0	4.0	4.0	3.0	6.0	6.0	6.0	5.0	7.0	4.0	7.0	7.0	3.0	1.0	9.0	7.0	6.0	4.0	3.0	4.0	6.0	4.0	9.0	3.0	7.0	0.0	1.0	8.0	4.0	5.0	4.0	5.0	8.0	3.0	6.0	3.0	11.0	6.0	4.0	5.0	5.0
MHP_LH_genes	13.0	4.0	8.0	6.0	9.0	8.0	6.0	9.0	4.0	3.0	3.0	4.0	1.0	4.0	6.0	6.0	6.0	7.0	6.0	4.0	1.0	3.0	2.0	3.0	4.0	9.0	1.0	5.0	6.0	0.0	4.0	1.0	4.0	2.0	5.0	3.0	1.0	2.0	1.0	15.0	7.0	4.0	5.0	4.0
MHP_MHP650_genes	11.0	4.0	8.0	6.0	9.0	7.0	6.0	7.0	3.0	3.0	6.0	6.0	3.0	5.0	6.0	6.0	6.0	5.0	5.0	7.0	4.0	6.0	4.0	4.0	4.0	7.0	3.0	2.0	7.0	4.0	0.0	4.0	6.0	5.0	2.0	6.0	2.0	5.0	2.0	14.0	6.0	7.0	7.0	5.0
MHP_MHP653_genes	10.0	3.0	7.0	5.0	7.0	6.0	5.0	8.0	9.0	8.0	4.0	2.0	2.0	6.0	5.0	6.0	6.0	4.0	4.0	4.0	3.0	5.0	2.0	5.0	5.0	5.0	4.0	2.0	6.0	5.0	4.0	0.0	4.0	2.0	3.0	6.0	1.0	3.0	1.0	6.0	5.0	4.0	6.0	5.0
MHP_MHP679_genes	11.0	4.0	7.0	5.0	8.0	6.0	5.0	7.0	7.0	8.0	5.0	6.0	3.0	9.0	7.0	7.0	7.0	8.0	7.0	6.0	6.0	6.0	9.0	5.0	6.0	9.0	5.0	5.0	10.0	6.0	5.0	6.0	0.0	2.0	2.0	3.0	3.0	6.0	3.0	12.0	4.0	6.0	7.0	9.0
