#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP022714.1:749369-750325|+ -            319 1978at2085           -            276  2.1e-109  361.1  12.5   1   1  1.8e-111  3.2e-109  360.5  12.5     1   275     8   313     8   314 0.92 NZ_CP022714.1_725 # 749369 # 750325 # 1 # ID=1_725;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.315
NZ_CP022714.1:534605-536770|+ -            722 1978at2085           -            276   7.9e-07   24.6   9.4   1   2   4.4e-09   7.9e-07   24.6   9.4     1   226    15   259    15   307 0.57 NZ_CP022714.1_507 # 534605 # 536770 # 1 # ID=1_507;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.263
NZ_CP022714.1:534605-536770|+ -            722 1978at2085           -            276   7.9e-07   24.6   9.4   2   2      0.69   1.2e+02   -2.2   0.5   192   216   607   630   511   690 0.48 NZ_CP022714.1_507 # 534605 # 536770 # 1 # ID=1_507;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.263
NZ_CP022714.1:911762-912889|- -            376 1978at2085           -            276   1.2e-05   20.8   0.1   1   2   1.4e-06   0.00025   16.5   0.0     9    61    86   138    82   151 0.85 NZ_CP022714.1_859 # 911762 # 912889 # -1 # ID=1_859;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.350
NZ_CP022714.1:911762-912889|- -            376 1978at2085           -            276   1.2e-05   20.8   0.1   2   2     0.051       9.3    1.5   0.0   129   211   223   261   213   279 0.58 NZ_CP022714.1_859 # 911762 # 912889 # -1 # ID=1_859;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.350
NZ_CP022714.1:283625-284314|+ -            230 1978at2085           -            276     4e-05   19.1   2.2   1   2   0.00029     0.052    8.8   0.0    36    57     9    30     5    46 0.87 NZ_CP022714.1_260 # 283625 # 284314 # 1 # ID=1_260;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.303
NZ_CP022714.1:283625-284314|+ -            230 1978at2085           -            276     4e-05   19.1   2.2   2   2   0.00017     0.031    9.6   0.6    93   167   122   195    79   228 0.74 NZ_CP022714.1_260 # 283625 # 284314 # 1 # ID=1_260;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.303
NZ_CP022714.1:464799-466946|+ -            716 1978at2085           -            276   0.00014   17.3   0.0   1   2   2.7e-06   0.00049   15.5   0.0    30    96   260   334   226   337 0.73 NZ_CP022714.1_451 # 464799 # 466946 # 1 # ID=1_451;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.368
NZ_CP022714.1:464799-466946|+ -            716 1978at2085           -            276   0.00014   17.3   0.0   2   2       1.4   2.5e+02   -3.2   0.0   160   190   401   435   369   451 0.55 NZ_CP022714.1_451 # 464799 # 466946 # 1 # ID=1_451;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.368
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/KM014/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1978at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/KM014/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/KM014/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/1978at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/KM014/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1978at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/KM014/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/KM014/Use
# Date:            Thu Nov 28 19:25:17 2024
# [ok]
