#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP022714.1:52030-53769|-   -            580 539at2085            -            541  1.1e-245  812.1  14.7   1   1  5.5e-248  1.3e-245  811.9  14.7     1   541     8   574     8   574 0.97 NZ_CP022714.1_50 # 52030 # 53769 # -1 # ID=1_50;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.297
NZ_CP022714.1:707104-708543|- -            480 539at2085            -            541   2.2e-07   25.6   6.6   1   3     0.014       3.1    2.0   0.0   186   317    43   184    34   196 0.65 NZ_CP022714.1_674 # 707104 # 708543 # -1 # ID=1_674;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
NZ_CP022714.1:707104-708543|- -            480 539at2085            -            541   2.2e-07   25.6   6.6   2   3   1.6e-09   3.5e-07   24.9   2.3   408   525   237   366   226   382 0.78 NZ_CP022714.1_674 # 707104 # 708543 # -1 # ID=1_674;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
NZ_CP022714.1:707104-708543|- -            480 539at2085            -            541   2.2e-07   25.6   6.6   3   3      0.12        27   -1.1   0.1    29   128   366   470   360   473 0.52 NZ_CP022714.1_674 # 707104 # 708543 # -1 # ID=1_674;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
NZ_CP022714.1:262932-263738|+ -            269 539at2085            -            541   8.1e-07   23.7   2.0   1   2     1e-05    0.0023   12.3   0.2   266   346     2    81     1    85 0.86 NZ_CP022714.1_242 # 262932 # 263738 # 1 # ID=1_242;partial=00;start_type=TTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.309
NZ_CP022714.1:262932-263738|+ -            269 539at2085            -            541   8.1e-07   23.7   2.0   2   2   2.2e-05     0.005   11.2   0.1   451   540   167   262   161   263 0.83 NZ_CP022714.1_242 # 262932 # 263738 # 1 # ID=1_242;partial=00;start_type=TTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.309
NZ_CP022714.1:530415-531656|+ -            414 539at2085            -            541     6e-05   17.5   0.4   1   3      0.17        38   -1.6   0.2    99   142     9    52     3    89 0.64 NZ_CP022714.1_500 # 530415 # 531656 # 1 # ID=1_500;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.315
NZ_CP022714.1:530415-531656|+ -            414 539at2085            -            541     6e-05   17.5   0.4   2   3   1.7e-05    0.0038   11.6   0.0   153   362   133   347   128   352 0.80 NZ_CP022714.1_500 # 530415 # 531656 # 1 # ID=1_500;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.315
NZ_CP022714.1:530415-531656|+ -            414 539at2085            -            541     6e-05   17.5   0.4   3   3     0.007       1.6    3.0   0.0   409   458   359   406   353   409 0.82 NZ_CP022714.1_500 # 530415 # 531656 # 1 # ID=1_500;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.315
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/KM014/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/KM014/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/KM014/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/KM014/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/KM014/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/KM014/Use
# Date:            Thu Nov 28 19:25:19 2024
# [ok]
