Orthogroup	MHP_REF_protein	MFC_MF18_protein
OG0000000	WP_044272461.1	WP_220190244.1, WP_160583943.1, WP_308507119.1, WP_220190416.1
OG0000001	WP_044272444.1	WP_160584042.1
OG0000002	WP_228366099.1	WP_160583612.1, WP_258556248.1, WP_160593399.1
OG0000031	WP_011205867.1	WP_323749063.1
OG0000035	WP_044272427.1	WP_160593384.1
OG0000043	WP_011290432.1	WP_002557496.1
OG0000047	WP_225972996.1	WP_160583671.1
OG0000048	WP_044272567.1	WP_002557625.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000057	WP_011290028.1	WP_002557776.1
OG0000058	WP_011290048.1	WP_160583922.1
OG0000060	WP_011290055.1	WP_002557818.1
OG0000062	WP_020835608.1	WP_160583873.1
OG0000063	WP_014579535.1	WP_160583743.1
OG0000067	WP_011206493.1	WP_160583802.1
OG0000068	WP_020835906.1	WP_160583812.1
OG0000069	WP_044272542.1	WP_002557977.1
OG0000071	WP_044272563.1	WP_160583660.1
OG0000072	WP_044272653.1	WP_160583820.1
OG0000076	WP_228366125.1	WP_308507113.1
OG0000236	WP_044272642.1	WP_160593453.1
OG0000503	WP_228366107.1	WP_255454458.1
OG0000556	WP_044272437.1	WP_039387482.1
