Orthogroup	MHP_REF_protein	MHP_LH_protein
OG0000000	WP_044272461.1	WP_233688756.1, WP_233688434.1, WP_233688757.1
OG0000001	WP_044272444.1	WP_233688628.1, WP_233688427.1, WP_233688742.1
OG0000002	WP_228366099.1	WP_233688607.1, WP_233688454.1
OG0000031	WP_011205867.1	WP_135618462.1
OG0000035	WP_044272427.1	WP_233688734.1
OG0000043	WP_011290432.1	WP_233688571.1
OG0000047	WP_225972996.1	WP_228365394.1
OG0000048	WP_044272567.1	WP_044272567.1
OG0000053	WP_002557698.1	WP_094521497.1
OG0000057	WP_011290028.1	WP_233688645.1
OG0000058	WP_011290048.1	WP_233688659.1
OG0000060	WP_011290055.1	WP_011206046.1
OG0000062	WP_020835608.1	WP_233688675.1
OG0000063	WP_014579535.1	WP_014579535.1
OG0000067	WP_011206493.1	WP_011206493.1
OG0000068	WP_020835906.1	WP_233688558.1
OG0000069	WP_044272542.1	WP_020835790.1
OG0000071	WP_044272563.1	WP_233688499.1
OG0000072	WP_044272653.1	WP_233688554.1
OG0000076	WP_228366125.1	WP_233688649.1
OG0000236	WP_044272642.1	WP_233688549.1
OG0000503	WP_228366107.1	WP_228366107.1
OG0000545	WP_011290141.1	WP_011290141.1
OG0000556	WP_044272437.1	WP_011206170.1
OG0000559	WP_011290306.1	WP_233688491.1
OG0000623	WP_052269171.1	WP_233688750.1
