Orthogroup	MHP_REF_protein	MHP_168L_protein
OG0000000	WP_044272461.1	WP_014579809.1, WP_014579826.1, WP_233417363.1, WP_081632348.1
OG0000001	WP_044272444.1	WP_014579584.1, WP_014579780.1
OG0000002	WP_228366099.1	WP_233417357.1, WP_233417349.1
OG0000031	WP_011205867.1	WP_014579531.1
OG0000035	WP_044272427.1	WP_014579762.1
OG0000043	WP_011290432.1	WP_014580027.1
OG0000047	WP_225972996.1	WP_228365394.1
OG0000048	WP_044272567.1	WP_014579936.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000057	WP_011290028.1	WP_011206089.1
OG0000058	WP_011290048.1	WP_014579626.1
OG0000060	WP_011290055.1	WP_014579617.1
OG0000062	WP_020835608.1	WP_014579663.1
OG0000063	WP_014579535.1	WP_014579535.1
OG0000067	WP_011206493.1	WP_011206493.1
OG0000068	WP_020835906.1	WP_044278116.1
OG0000069	WP_044272542.1	WP_014579888.1
OG0000071	WP_044272563.1	WP_014579934.1
OG0000072	WP_044272653.1	WP_044278039.1
OG0000076	WP_228366125.1	WP_014579641.1
OG0000236	WP_044272642.1	WP_014579992.1
OG0000503	WP_228366107.1	WP_014579949.1
OG0000545	WP_011290141.1	WP_014579771.1
OG0000556	WP_044272437.1	WP_014579750.1
OG0000559	WP_011290306.1	WP_014579915.1
OG0000623	WP_052269171.1	WP_052293597.1
