Orthogroup	MHP_REF_protein	MFC_MF33_protein
OG0000000	WP_044272461.1	WP_220190083.1, WP_002557520.1, WP_308704744.1, WP_220190082.1
OG0000001	WP_044272444.1	WP_258556794.1, WP_308704745.1
OG0000002	WP_228366099.1	WP_160609295.1, WP_258556745.1, WP_160609296.1
OG0000035	WP_044272427.1	WP_160609283.1
OG0000043	WP_011290432.1	WP_160609398.1
OG0000047	WP_225972996.1	WP_160583671.1
OG0000048	WP_044272567.1	WP_160609268.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000057	WP_011290028.1	WP_002557776.1
OG0000058	WP_011290048.1	WP_160609339.1
OG0000060	WP_011290055.1	WP_160609313.1
OG0000062	WP_020835608.1	WP_160609319.1
OG0000063	WP_014579535.1	WP_002557882.1
OG0000067	WP_011206493.1	WP_160581384.1
OG0000068	WP_020835906.1	WP_160609413.1
OG0000069	WP_044272542.1	WP_002557977.1
OG0000071	WP_044272563.1	WP_160609272.1
OG0000072	WP_044272653.1	WP_160609415.1
OG0000076	WP_228366125.1	WP_308704737.1
OG0000236	WP_044272642.1	WP_160609338.1
OG0000503	WP_228366107.1	WP_258556752.1
OG0000545	WP_011290141.1	WP_258556750.1
OG0000556	WP_044272437.1	WP_160581075.1
