Orthogroup	MHP_UFV02_genes	MHP_ES2_genes
OG0000000	FEF31_RS01935	E5E95_RS02310
OG0000000	FEF31_RS01875	E5E95_RS02240
OG0000000	FEF31_RS04515	E5E95_RS04075
OG0000000	FEF31_RS01860	E5E95_RS02230
OG0000000	FEF31_RS02055	E5E95_RS02430
OG0000000	FEF31_RS01380, FEF31_RS01385	E5E95_RS01830
OG0000001	FEF31_RS00940	E5E95_RS01300
OG0000001	FEF31_RS00935	E5E95_RS01295
OG0000001	FEF31_RS02540	E5E95_RS03000
OG0000001	FEF31_RS02490	E5E95_RS04150
OG0000002	FEF31_RS01945	E5E95_RS02320
OG0000002	FEF31_RS01940	E5E95_RS02315
OG0000002	FEF31_RS04505	E5E95_RS02250
OG0000002	FEF31_RS04455	E5E95_RS01840
OG0000003	FEF31_RS01515	E5E95_RS01870
OG0000003	FEF31_RS04365	E5E95_RS01915
OG0000003	FEF31_RS04510	E5E95_RS04070
OG0000003	FEF31_RS01590	E5E95_RS03910
OG0000004	FEF31_RS03760	E5E95_RS03410
OG0000004	FEF31_RS03775	E5E95_RS03425
OG0000005	FEF31_RS03370	E5E95_RS00090
OG0000005	FEF31_RS04665	E5E95_RS00110
OG0000005	FEF31_RS04660	E5E95_RS00095
OG0000005	FEF31_RS03380	E5E95_RS00100
OG0000005	FEF31_RS04670	E5E95_RS00115
OG0000006	FEF31_RS02230	E5E95_RS02705
OG0000006	FEF31_RS02090	E5E95_RS04120, E5E95_RS04115
OG0000007	FEF31_RS01925	E5E95_RS02300
OG0000007	FEF31_RS01915	E5E95_RS02295
OG0000007	FEF31_RS01910	E5E95_RS02290
OG0000008	FEF31_RS02050	E5E95_RS03925, E5E95_RS04080
OG0000008	FEF31_RS01300	E5E95_RS03905
OG0000008	FEF31_RS02250	E5E95_RS03930, E5E95_RS04135
OG0000009	FEF31_RS00325	E5E95_RS00665
OG0000009	FEF31_RS00845	E5E95_RS01210
OG0000009	FEF31_RS00335	E5E95_RS00680
OG0000010	FEF31_RS01600	E5E95_RS01970
OG0000010	FEF31_RS04440	E5E95_RS01575
OG0000011	FEF31_RS01695	E5E95_RS02070
OG0000011	FEF31_RS01690	E5E95_RS02060
OG0000012	FEF31_RS02235	E5E95_RS02435, E5E95_RS03230
OG0000013	FEF31_RS02135	E5E95_RS02610
OG0000013	FEF31_RS03455	E5E95_RS03955
OG0000014	FEF31_RS00255	E5E95_RS00595
OG0000014	FEF31_RS00745	E5E95_RS01105
OG0000014	FEF31_RS04375	E5E95_RS00605
OG0000015	FEF31_RS01295	E5E95_RS01745
OG0000016	FEF31_RS02580	E5E95_RS03040
OG0000016	FEF31_RS03440	E5E95_RS00160
OG0000017	FEF31_RS03425	E5E95_RS00145
OG0000017	FEF31_RS02590	E5E95_RS03050
OG0000020	FEF31_RS03220	E5E95_RS03770
OG0000022	FEF31_RS01320	E5E95_RS01770
OG0000022	FEF31_RS04450	E5E95_RS01825
OG0000024	FEF31_RS02485	E5E95_RS02945
OG0000024	FEF31_RS00930	E5E95_RS01290
OG0000025	FEF31_RS04445	E5E95_RS01775
OG0000025	FEF31_RS01370	E5E95_RS01820
OG0000026	FEF31_RS01025	E5E95_RS01380
OG0000026	FEF31_RS01350	E5E95_RS01800
OG0000027	FEF31_RS03015	E5E95_RS03560
OG0000027	FEF31_RS04605	E5E95_RS03575
OG0000028	FEF31_RS02145, FEF31_RS04525	E5E95_RS02625
OG0000029	FEF31_RS00735	E5E95_RS01100
OG0000029	FEF31_RS00270	E5E95_RS00610
OG0000030	FEF31_RS04590	E5E95_RS03550
OG0000030	FEF31_RS04600	E5E95_RS03570
OG0000032	FEF31_RS03020	E5E95_RS03565
OG0000034	FEF31_RS01895	E5E95_RS04045
OG0000035	FEF31_RS03765	E5E95_RS03405
OG0000036	FEF31_RS03400	E5E95_RS00120
OG0000038	FEF31_RS01510	E5E95_RS01865
OG0000039	FEF31_RS01275	E5E95_RS01650, E5E95_RS01645
OG0000040	FEF31_RS03890	E5E95_RS03495
OG0000041	FEF31_RS00330	E5E95_RS00670
OG0000042	FEF31_RS02675	E5E95_RS03140
OG0000043	FEF31_RS01660, FEF31_RS01455	E5E95_RS02030
OG0000044	FEF31_RS04775	E5E95_RS04290
OG0000045	FEF31_RS01280, FEF31_RS01285	E5E95_RS01655
OG0000046	FEF31_RS02960, FEF31_RS02245	E5E95_RS03505
OG0000048	FEF31_RS01845	E5E95_RS02215
OG0000049	FEF31_RS03620	E5E95_RS03260
OG0000050	FEF31_RS02180	E5E95_RS02655
OG0000051	FEF31_RS02395	E5E95_RS02855
OG0000052	FEF31_RS03360	E5E95_RS00075
OG0000053	FEF31_RS04425	E5E95_RS01465
OG0000054	FEF31_RS02205	E5E95_RS02680
OG0000055	FEF31_RS03405	E5E95_RS00125
OG0000056	FEF31_RS03205	E5E95_RS03750
OG0000057	FEF31_RS02660	E5E95_RS03125
OG0000058	FEF31_RS01470	E5E95_RS01660, E5E95_RS02525, E5E95_RS02530
OG0000059	FEF31_RS01460	E5E95_RS02510
OG0000060	FEF31_RS00850	E5E95_RS01215
OG0000061	FEF31_RS01245	E5E95_RS01980
OG0000062	FEF31_RS03250	E5E95_RS03805
OG0000063	FEF31_RS04645	E5E95_RS03800
OG0000064	FEF31_RS03235	E5E95_RS03790
OG0000065	FEF31_RS01990	E5E95_RS02365
OG0000066	FEF31_RS01015	E5E95_RS01370
OG0000067	FEF31_RS00185	E5E95_RS00525
OG0000068	FEF31_RS00305	E5E95_RS00645
OG0000069	FEF31_RS02555	E5E95_RS03015
OG0000070	FEF31_RS02210	E5E95_RS02685
OG0000071	FEF31_RS03835	E5E95_RS03485
OG0000072	FEF31_RS04700	E5E95_RS03490
OG0000073	FEF31_RS00360	E5E95_RS00705
OG0000074	FEF31_RS04395	E5E95_RS00900
OG0000076	FEF31_RS00020	E5E95_RS00355
OG0000077	FEF31_RS00105	E5E95_RS00445
OG0000079	FEF31_RS02300	E5E95_RS02760
OG0000080	FEF31_RS02345	E5E95_RS03935
OG0000081	FEF31_RS03610	E5E95_RS00335
OG0000082	FEF31_RS02130	E5E95_RS02605
OG0000083	FEF31_RS01765	E5E95_RS02140
OG0000084	FEF31_RS01795	E5E95_RS02165
OG0000085	FEF31_RS01800	E5E95_RS02170
OG0000086	FEF31_RS01810	E5E95_RS02180
OG0000087	FEF31_RS01825	E5E95_RS02195
OG0000088	FEF31_RS01830	E5E95_RS02200
OG0000089	FEF31_RS01840	E5E95_RS02210
OG0000090	FEF31_RS03355	E5E95_RS00070
OG0000091	FEF31_RS03340	E5E95_RS00055
OG0000092	FEF31_RS03325	E5E95_RS00040
OG0000093	FEF31_RS03320	E5E95_RS00035
OG0000094	FEF31_RS03315	E5E95_RS00030
OG0000095	FEF31_RS03290	E5E95_RS00005
OG0000096	FEF31_RS03285	E5E95_RS03840
OG0000097	FEF31_RS03265	E5E95_RS03820
OG0000098	FEF31_RS03255	E5E95_RS03810
OG0000099	FEF31_RS04640	E5E95_RS03760
OG0000100	FEF31_RS03195	E5E95_RS03740
OG0000101	FEF31_RS03190	E5E95_RS03735
