Orthogroup	MHP_UFV02_genes	MHP_UFV01_genes
OG0000000	FEF31_RS01935	FEF30_RS02570
OG0000000	FEF31_RS01875	FEF30_RS02505
OG0000000	FEF31_RS01865	FEF30_RS02500
OG0000000	FEF31_RS01860	FEF30_RS02495
OG0000000	FEF31_RS02055	FEF30_RS02690
OG0000000	FEF31_RS01385	FEF30_RS02035
OG0000001	FEF31_RS00940	FEF30_RS01595
OG0000001	FEF31_RS00935	FEF30_RS01590
OG0000001	FEF31_RS02540	FEF30_RS03180
OG0000001	FEF31_RS02495	FEF30_RS03130
OG0000001	FEF31_RS02490	FEF30_RS03125
OG0000002	FEF31_RS01945	FEF30_RS02580
OG0000002	FEF31_RS01940	FEF30_RS02575
OG0000002	FEF31_RS04505	FEF30_RS04340
OG0000002	FEF31_RS04455	FEF30_RS04295
OG0000003	FEF31_RS01515	FEF30_RS02165
OG0000003	FEF31_RS04365	FEF30_RS04200
OG0000003	FEF31_RS04510	FEF30_RS04345
OG0000004	FEF31_RS03760	FEF30_RS03540
OG0000004	FEF31_RS03775	FEF30_RS03550
OG0000005	FEF31_RS03370	FEF30_RS00415
OG0000005	FEF31_RS04665	FEF30_RS00435
OG0000005	FEF31_RS04660	FEF30_RS04180
OG0000005	FEF31_RS03380	FEF30_RS00425
OG0000005	FEF31_RS04670	FEF30_RS04185
OG0000006	FEF31_RS02230	FEF30_RS02880
OG0000006	FEF31_RS02090	FEF30_RS02730
OG0000006	FEF31_RS02060	FEF30_RS02700
OG0000007	FEF31_RS01925	FEF30_RS02555
OG0000007	FEF31_RS01915	FEF30_RS02545
OG0000007	FEF31_RS01910	FEF30_RS02540
OG0000008	FEF31_RS02050	FEF30_RS02685
OG0000008	FEF31_RS01300	FEF30_RS01955
OG0000008	FEF31_RS02250	FEF30_RS02885
OG0000009	FEF31_RS00325	FEF30_RS00980
OG0000009	FEF31_RS00845	FEF30_RS01500
OG0000009	FEF31_RS00335	FEF30_RS00990
