Orthogroup	MHP_UFV02_genes	MHP_7448_genes
OG0000000	FEF31_RS01935	MHP7448_RS02135
OG0000000	FEF31_RS04515	MHP7448_RS03990
OG0000000	FEF31_RS02055	MHP7448_RS02245
OG0000000	FEF31_RS01380, FEF31_RS01385	MHP7448_RS01735
OG0000001	FEF31_RS00940	MHP7448_RS01300
OG0000001	FEF31_RS00935	MHP7448_RS01295
OG0000001	FEF31_RS02540	MHP7448_RS02820
OG0000001	FEF31_RS02495	MHP7448_RS03920
OG0000001	FEF31_RS02490	MHP7448_RS04045
OG0000002	FEF31_RS01945	MHP7448_RS03995
OG0000002	FEF31_RS04455	MHP7448_RS01745
OG0000003	FEF31_RS04365	MHP7448_RS01830, MHP7448_RS01785, MHP7448_RS00505
OG0000003	FEF31_RS04510, FEF31_RS01590	MHP7448_RS03870
OG0000004	FEF31_RS03760	MHP7448_RS03230
OG0000004	FEF31_RS03775	MHP7448_RS03245
OG0000005	FEF31_RS03370	MHP7448_RS00100
OG0000005	FEF31_RS04665	MHP7448_RS00120
OG0000005	FEF31_RS04660	MHP7448_RS00105
OG0000005	FEF31_RS03380	MHP7448_RS00110
OG0000005	FEF31_RS04670	MHP7448_RS00125
OG0000006	FEF31_RS02230	MHP7448_RS04025
OG0000006	FEF31_RS02090	MHP7448_RS02380
OG0000006	FEF31_RS02060	MHP7448_RS02255
OG0000008	FEF31_RS02050	MHP7448_RS02240
OG0000008	FEF31_RS01300	MHP7448_RS01665
OG0000008	FEF31_RS02250	MHP7448_RS04030
OG0000009	FEF31_RS00325	MHP7448_RS00675
OG0000009	FEF31_RS00335	MHP7448_RS00690
OG0000010	FEF31_RS01600	MHP7448_RS01885
OG0000011	FEF31_RS01695	MHP7448_RS01970
OG0000011	FEF31_RS01690	MHP7448_RS01965
OG0000012	FEF31_RS02235	MHP7448_RS03435, MHP7448_RS02690
OG0000013	FEF31_RS02135	MHP7448_RS02430
OG0000013	FEF31_RS03455	MHP7448_RS03945
OG0000014	FEF31_RS00745	MHP7448_RS01090
OG0000014	FEF31_RS04375	MHP7448_RS00605
OG0000015	FEF31_RS01295	MHP7448_RS03965
OG0000015	FEF31_RS01395	MHP7448_RS04005, MHP7448_RS04000
OG0000016	FEF31_RS02580	MHP7448_RS02865
OG0000016	FEF31_RS03440	MHP7448_RS00170
OG0000017	FEF31_RS03425	MHP7448_RS00155
OG0000017	FEF31_RS02590	MHP7448_RS02875
OG0000018	FEF31_RS01415, FEF31_RS01420	MHP7448_RS02275
OG0000019	FEF31_RS04805	MHP7448_RS04070
OG0000020	FEF31_RS03220	MHP7448_RS03580
OG0000020	FEF31_RS04270	MHP7448_RS03585
OG0000022	FEF31_RS01320	MHP7448_RS01680
OG0000022	FEF31_RS04450	MHP7448_RS01730
OG0000023	FEF31_RS01405	MHP7448_RS04010
OG0000024	FEF31_RS02485	MHP7448_RS02765
OG0000024	FEF31_RS00930	MHP7448_RS01290
OG0000025	FEF31_RS04445	MHP7448_RS01685
OG0000025	FEF31_RS01370	MHP7448_RS01725
OG0000026	FEF31_RS01025	MHP7448_RS01380
OG0000026	FEF31_RS01350	MHP7448_RS01705
OG0000027	FEF31_RS03015	MHP7448_RS03845
OG0000027	FEF31_RS04605	MHP7448_RS03390
OG0000029	FEF31_RS00735	MHP7448_RS01085
OG0000029	FEF31_RS00270	MHP7448_RS00610
OG0000030	FEF31_RS04590	MHP7448_RS03370
OG0000030	FEF31_RS04600	MHP7448_RS03385
OG0000031	FEF31_RS01265	MHP7448_RS01620
OG0000031	FEF31_RS01450	MHP7448_RS02310
OG0000032	FEF31_RS03020	MHP7448_RS03380
OG0000035	FEF31_RS03765	MHP7448_RS03240
OG0000036	FEF31_RS03385	MHP7448_RS00115
OG0000036	FEF31_RS03400	MHP7448_RS00130
OG0000038	FEF31_RS00160	MHP7448_RS00500
OG0000039	FEF31_RS01275	MHP7448_RS01635
OG0000040	FEF31_RS03890	MHP7448_RS03315
OG0000041	FEF31_RS00330	MHP7448_RS00680
OG0000042	FEF31_RS02675	MHP7448_RS02965
OG0000043	FEF31_RS01455	MHP7448_RS02315
OG0000044	FEF31_RS04775	MHP7448_RS04120
OG0000045	FEF31_RS01280, FEF31_RS01285	MHP7448_RS01640
OG0000046	FEF31_RS02960, FEF31_RS02245	MHP7448_RS03325
OG0000047	FEF31_RS01435	MHP7448_RS02290
OG0000048	FEF31_RS01845	MHP7448_RS02115
OG0000049	FEF31_RS03620	MHP7448_RS03085
OG0000050	FEF31_RS02180	MHP7448_RS02470
OG0000051	FEF31_RS02395	MHP7448_RS02675
OG0000052	FEF31_RS03360	MHP7448_RS00075
OG0000053	FEF31_RS04425	MHP7448_RS01465
OG0000054	FEF31_RS02205	MHP7448_RS02495
OG0000055	FEF31_RS03405	MHP7448_RS00135
OG0000056	FEF31_RS03205	MHP7448_RS03565
OG0000057	FEF31_RS02660	MHP7448_RS02950
OG0000058	FEF31_RS01470	MHP7448_RS02335
OG0000059	FEF31_RS01460	MHP7448_RS02320
OG0000061	FEF31_RS01610	MHP7448_RS01895
OG0000062	FEF31_RS03250	MHP7448_RS03615
OG0000063	FEF31_RS04645	MHP7448_RS03610
OG0000064	FEF31_RS03235	MHP7448_RS03600
OG0000065	FEF31_RS01990	MHP7448_RS02180
OG0000066	FEF31_RS01015	MHP7448_RS01370
OG0000067	FEF31_RS00185	MHP7448_RS00525
OG0000068	FEF31_RS00305	MHP7448_RS00655
OG0000069	FEF31_RS02555	MHP7448_RS02835
OG0000070	FEF31_RS02210	MHP7448_RS02500
OG0000071	FEF31_RS03835	MHP7448_RS03305
OG0000072	FEF31_RS04700	MHP7448_RS03310
OG0000073	FEF31_RS00360	MHP7448_RS00715
OG0000074	FEF31_RS04395	MHP7448_RS03660
OG0000075	FEF31_RS00005	MHP7448_RS00340
OG0000076	FEF31_RS00020	MHP7448_RS00355
OG0000077	FEF31_RS00105	MHP7448_RS00445
OG0000078	FEF31_RS01340	MHP7448_RS01695
OG0000079	FEF31_RS02300	MHP7448_RS02580
OG0000080	FEF31_RS02345	MHP7448_RS03915
OG0000081	FEF31_RS03610	MHP7448_RS00335
OG0000082	FEF31_RS02130	MHP7448_RS02425
OG0000083	FEF31_RS01765	MHP7448_RS02040
OG0000084	FEF31_RS01795	MHP7448_RS02065
OG0000085	FEF31_RS01800	MHP7448_RS02070
OG0000086	FEF31_RS01810	MHP7448_RS02080
OG0000087	FEF31_RS01825	MHP7448_RS02095
OG0000088	FEF31_RS01830	MHP7448_RS02100
OG0000089	FEF31_RS01840	MHP7448_RS02110
OG0000090	FEF31_RS03355	MHP7448_RS00070
OG0000091	FEF31_RS03340	MHP7448_RS00055
OG0000092	FEF31_RS03325	MHP7448_RS00040
OG0000093	FEF31_RS03320	MHP7448_RS00035
OG0000094	FEF31_RS03315	MHP7448_RS00030
OG0000095	FEF31_RS03290	MHP7448_RS00005
OG0000096	FEF31_RS03285	MHP7448_RS03655
OG0000097	FEF31_RS03265	MHP7448_RS03635
OG0000098	FEF31_RS03255	MHP7448_RS03620
OG0000099	FEF31_RS04640	MHP7448_RS03570
OG0000100	FEF31_RS03195	MHP7448_RS03555
OG0000101	FEF31_RS03190	MHP7448_RS03550
OG0000102	FEF31_RS01365	MHP7448_RS01720
OG0000103	FEF31_RS01955	MHP7448_RS02145
OG0000104	FEF31_RS01960	MHP7448_RS02150
OG0000105	FEF31_RS01975	MHP7448_RS02165
OG0000106	FEF31_RS01985	MHP7448_RS02175
OG0000107	FEF31_RS01995	MHP7448_RS02185
OG0000108	FEF31_RS02000	MHP7448_RS02190
OG0000109	FEF31_RS02005	MHP7448_RS02195
OG0000110	FEF31_RS02120	MHP7448_RS02410
OG0000111	FEF31_RS02115	MHP7448_RS02405
OG0000112	FEF31_RS02105	MHP7448_RS02395
OG0000113	FEF31_RS02085	MHP7448_RS02375
OG0000114	FEF31_RS02075	MHP7448_RS02365
OG0000115	FEF31_RS02065	MHP7448_RS02355
OG0000116	FEF31_RS00955	MHP7448_RS01315
OG0000117	FEF31_RS00960	MHP7448_RS01320
OG0000118	FEF31_RS00995	MHP7448_RS01355
OG0000119	FEF31_RS01000	MHP7448_RS01360
OG0000120	FEF31_RS01020	MHP7448_RS01375
OG0000121	FEF31_RS01045	MHP7448_RS01400
OG0000122	FEF31_RS01050	MHP7448_RS01405
OG0000123	FEF31_RS01070	MHP7448_RS01425
OG0000124	FEF31_RS01075	MHP7448_RS01430
OG0000125	FEF31_RS01080	MHP7448_RS01435
OG0000126	FEF31_RS01090	MHP7448_RS01445
OG0000127	FEF31_RS01100	MHP7448_RS01455
OG0000128	FEF31_RS01115	MHP7448_RS01470
OG0000129	FEF31_RS01120	MHP7448_RS01475
OG0000130	FEF31_RS01130	MHP7448_RS01485
OG0000131	FEF31_RS01160	MHP7448_RS01515
OG0000132	FEF31_RS04430	MHP7448_RS01530
OG0000133	FEF31_RS00190	MHP7448_RS00530
OG0000134	FEF31_RS00195	MHP7448_RS00535
OG0000135	FEF31_RS00210	MHP7448_RS00550
OG0000136	FEF31_RS00215	MHP7448_RS00555
OG0000137	FEF31_RS00245	MHP7448_RS00590
OG0000138	FEF31_RS00280	MHP7448_RS00630
OG0000139	FEF31_RS00310	MHP7448_RS00660
OG0000140	FEF31_RS00315	MHP7448_RS00665
OG0000141	FEF31_RS02670	MHP7448_RS02960
OG0000142	FEF31_RS04555	MHP7448_RS02955
OG0000143	FEF31_RS02645	MHP7448_RS02930
OG0000144	FEF31_RS02635	MHP7448_RS02920
OG0000145	FEF31_RS02625	MHP7448_RS02910
OG0000146	FEF31_RS02615	MHP7448_RS02900
OG0000147	FEF31_RS02610	MHP7448_RS02895
OG0000148	FEF31_RS02595	MHP7448_RS02880
OG0000149	FEF31_RS02585	MHP7448_RS02870
OG0000150	FEF31_RS02570	MHP7448_RS02850
OG0000151	FEF31_RS02525	MHP7448_RS02805
OG0000152	FEF31_RS02520	MHP7448_RS02800
OG0000153	FEF31_RS02515	MHP7448_RS02795
OG0000154	FEF31_RS02505	MHP7448_RS02785
OG0000155	FEF31_RS02465	MHP7448_RS02745
OG0000156	FEF31_RS02455	MHP7448_RS02735
OG0000157	FEF31_RS04545	MHP7448_RS02730
OG0000158	FEF31_RS04540	MHP7448_RS04110
OG0000159	FEF31_RS02195	MHP7448_RS02485
OG0000160	FEF31_RS02190	MHP7448_RS02480
OG0000161	FEF31_RS02185	MHP7448_RS02475
OG0000162	FEF31_RS02175	MHP7448_RS02465
OG0000163	FEF31_RS02170	MHP7448_RS02460
OG0000164	FEF31_RS01270	MHP7448_RS01625
OG0000165	FEF31_RS01685	MHP7448_RS01960
OG0000166	FEF31_RS01705	MHP7448_RS01980
OG0000167	FEF31_RS01720	MHP7448_RS01995
OG0000168	FEF31_RS01725	MHP7448_RS02000
OG0000169	FEF31_RS03615	MHP7448_RS03080
OG0000170	FEF31_RS04785, FEF31_RS04795	MHP7448_RS03095
OG0000171	FEF31_RS03640	MHP7448_RS03105
OG0000172	FEF31_RS03645	MHP7448_RS03115
OG0000173	FEF31_RS03650	MHP7448_RS03120
OG0000174	FEF31_RS03655	MHP7448_RS03125
OG0000175	FEF31_RS03670	MHP7448_RS03140
OG0000176	FEF31_RS03715	MHP7448_RS03190
OG0000177	FEF31_RS03720	MHP7448_RS03195
OG0000178	FEF31_RS03725	MHP7448_RS03200
OG0000179	FEF31_RS03735	MHP7448_RS03210
OG0000180	FEF31_RS03740	MHP7448_RS03215
OG0000181	FEF31_RS04690	MHP7448_RS03255
OG0000182	FEF31_RS03795	MHP7448_RS03265
OG0000183	FEF31_RS03830	MHP7448_RS03300
OG0000184	FEF31_RS02980	MHP7448_RS03345
OG0000185	FEF31_RS02965	MHP7448_RS03330
OG0000186	FEF31_RS04435	MHP7448_RS01540
OG0000187	FEF31_RS01200	MHP7448_RS01555
OG0000188	FEF31_RS01210	MHP7448_RS01565
OG0000189	FEF31_RS04520	MHP7448_RS02230
OG0000190	FEF31_RS02035	MHP7448_RS02225
OG0000191	FEF31_RS02015	MHP7448_RS02205
OG0000192	FEF31_RS00875	MHP7448_RS01230
OG0000193	FEF31_RS00860	MHP7448_RS01210
OG0000194	FEF31_RS00345	MHP7448_RS00700
OG0000195	FEF31_RS00350	MHP7448_RS00705
OG0000196	FEF31_RS00370	MHP7448_RS00725
OG0000197	FEF31_RS00375	MHP7448_RS00730
OG0000198	FEF31_RS00390	MHP7448_RS00745
OG0000199	FEF31_RS00395	MHP7448_RS00750
OG0000200	FEF31_RS00410	MHP7448_RS00760
OG0000201	FEF31_RS00420	MHP7448_RS00770
OG0000202	FEF31_RS00475	MHP7448_RS00825
OG0000203	FEF31_RS00480	MHP7448_RS00830
OG0000204	FEF31_RS00485	MHP7448_RS00835
OG0000205	FEF31_RS00490	MHP7448_RS00840
OG0000206	FEF31_RS00510	MHP7448_RS00860
OG0000207	FEF31_RS00525	MHP7448_RS00875
OG0000208	FEF31_RS00530	MHP7448_RS00880
OG0000209	FEF31_RS00535	MHP7448_RS00885
OG0000210	FEF31_RS00580	MHP7448_RS00930
OG0000211	FEF31_RS00590	MHP7448_RS00940
OG0000212	FEF31_RS00600	MHP7448_RS00950
OG0000213	FEF31_RS00605	MHP7448_RS00955
OG0000214	FEF31_RS00610	MHP7448_RS00960
OG0000215	FEF31_RS00615	MHP7448_RS00965
OG0000216	FEF31_RS00620	MHP7448_RS00970
OG0000217	FEF31_RS00625	MHP7448_RS00975
OG0000218	FEF31_RS00635	MHP7448_RS00985
OG0000219	FEF31_RS00640	MHP7448_RS00990
OG0000220	FEF31_RS00645	MHP7448_RS00995
OG0000221	FEF31_RS00650	MHP7448_RS01000
OG0000222	FEF31_RS00655	MHP7448_RS01005
OG0000223	FEF31_RS00660	MHP7448_RS01010
OG0000224	FEF31_RS00670	MHP7448_RS01020
OG0000225	FEF31_RS00680	MHP7448_RS01030
OG0000226	FEF31_RS00685	MHP7448_RS01035
OG0000227	FEF31_RS00690	MHP7448_RS01040
OG0000228	FEF31_RS04770	MHP7448_RS04115
OG0000229	FEF31_RS00700	MHP7448_RS01050
OG0000230	FEF31_RS00705	MHP7448_RS01055
OG0000231	FEF31_RS00715	MHP7448_RS01065
OG0000232	FEF31_RS00725	MHP7448_RS01075
OG0000233	FEF31_RS00750	MHP7448_RS01095
OG0000234	FEF31_RS00785	MHP7448_RS01130
OG0000235	FEF31_RS00795	MHP7448_RS01140
OG0000236	FEF31_RS00800	MHP7448_RS01145
OG0000237	FEF31_RS00805	MHP7448_RS01150
OG0000238	FEF31_RS00810	MHP7448_RS01160
OG0000239	FEF31_RS02680	MHP7448_RS02970
OG0000240	FEF31_RS02685	MHP7448_RS02975
OG0000241	FEF31_RS02695	MHP7448_RS02985
OG0000242	FEF31_RS02700	MHP7448_RS02990
OG0000243	FEF31_RS02705	MHP7448_RS02995
OG0000244	FEF31_RS02715	MHP7448_RS03005
OG0000245	FEF31_RS02720	MHP7448_RS04055
OG0000246	FEF31_RS03410	MHP7448_RS00140
OG0000247	FEF31_RS03420	MHP7448_RS00150
OG0000248	FEF31_RS03430	MHP7448_RS00160
OG0000249	FEF31_RS03435	MHP7448_RS00165
OG0000250	FEF31_RS03450	MHP7448_RS00180
OG0000251	FEF31_RS03480	MHP7448_RS00205
OG0000252	FEF31_RS03490	MHP7448_RS00215
OG0000253	FEF31_RS03495	MHP7448_RS00220
OG0000254	FEF31_RS03505	MHP7448_RS00230
OG0000255	FEF31_RS03510	MHP7448_RS00240
OG0000256	FEF31_RS03515	MHP7448_RS00245
OG0000257	FEF31_RS03540	MHP7448_RS00270
OG0000258	FEF31_RS03550	MHP7448_RS00280
OG0000259	FEF31_RS03580	MHP7448_RS00310
OG0000260	FEF31_RS03590	MHP7448_RS00320
OG0000261	FEF31_RS04680	MHP7448_RS00330
OG0000262	FEF31_RS00010	MHP7448_RS00345
OG0000263	FEF31_RS00025	MHP7448_RS00360
OG0000264	FEF31_RS00040	MHP7448_RS00375
OG0000265	FEF31_RS00050	MHP7448_RS00385
OG0000266	FEF31_RS00065	MHP7448_RS00400
OG0000267	FEF31_RS00080	MHP7448_RS00415
OG0000268	FEF31_RS00085	MHP7448_RS00420
OG0000269	FEF31_RS00100	MHP7448_RS00435
OG0000270	FEF31_RS04635	MHP7448_RS03525
OG0000271	FEF31_RS03160	MHP7448_RS03520
OG0000272	FEF31_RS03155	MHP7448_RS03515
OG0000273	FEF31_RS03150	MHP7448_RS03510
OG0000274	FEF31_RS03130	MHP7448_RS03490
OG0000275	FEF31_RS04625	MHP7448_RS03485
OG0000276	FEF31_RS03120	MHP7448_RS03480
OG0000277	FEF31_RS03110	MHP7448_RS03470
OG0000278	FEF31_RS03105	MHP7448_RS03465
OG0000279	FEF31_RS03095	MHP7448_RS03455
OG0000280	FEF31_RS03090	MHP7448_RS03450
OG0000281	FEF31_RS03085	MHP7448_RS03795
OG0000282	FEF31_RS04615	MHP7448_RS03420
OG0000283	FEF31_RS03055	MHP7448_RS03415
OG0000284	FEF31_RS03050	MHP7448_RS03410
OG0000285	FEF31_RS04610	MHP7448_RS03405
OG0000286	FEF31_RS02155	MHP7448_RS02445
OG0000287	FEF31_RS02260	MHP7448_RS02540
OG0000288	FEF31_RS02270	MHP7448_RS02550
OG0000289	FEF31_RS02275	MHP7448_RS02555
OG0000290	FEF31_RS02385	MHP7448_RS02665
OG0000291	FEF31_RS02375	MHP7448_RS02655
OG0000292	FEF31_RS02370	MHP7448_RS02650
OG0000293	FEF31_RS02365	MHP7448_RS02645
OG0000294	FEF31_RS02355	MHP7448_RS02635
OG0000295	FEF31_RS02350	MHP7448_RS02630
OG0000296	FEF31_RS02310	MHP7448_RS02590
OG0000297	FEF31_RS02305	MHP7448_RS02585
OG0000298	FEF31_RS03445	MHP7448_RS00175
OG0000299	FEF31_RS03465	MHP7448_RS03685
OG0000300	FEF31_RS00035	MHP7448_RS00370
OG0000301	FEF31_RS00070	MHP7448_RS00405
OG0000302	FEF31_RS00075	MHP7448_RS00410
OG0000303	FEF31_RS00220	MHP7448_RS00560
OG0000304	FEF31_RS00730	MHP7448_RS01080
OG0000305	FEF31_RS02620	MHP7448_RS02905
OG0000306	FEF31_RS02545	MHP7448_RS02825
OG0000307	FEF31_RS02510	MHP7448_RS02790
OG0000308	FEF31_RS02405	MHP7448_RS02685
OG0000309	FEF31_RS02340	MHP7448_RS02620
OG0000310	FEF31_RS02265	MHP7448_RS02545
OG0000311	FEF31_RS02215	MHP7448_RS02505
OG0000312	FEF31_RS02200	MHP7448_RS02490
OG0000313	FEF31_RS01260	MHP7448_RS01615
OG0000314	FEF31_RS01700	MHP7448_RS01975
OG0000315	FEF31_RS01730	MHP7448_RS02005
OG0000316	FEF31_RS01740	MHP7448_RS02015
OG0000317	FEF31_RS01835	MHP7448_RS02105
OG0000318	FEF31_RS04480	MHP7448_RS02020
OG0000319	FEF31_RS01970	MHP7448_RS02160
OG0000320	FEF31_RS02095	MHP7448_RS02385
OG0000321	FEF31_RS00990	MHP7448_RS01350
OG0000322	FEF31_RS01040	MHP7448_RS01395
OG0000323	FEF31_RS01170	MHP7448_RS01525
OG0000324	FEF31_RS02010	MHP7448_RS02200
OG0000325	FEF31_RS00355	MHP7448_RS00710
OG0000326	FEF31_RS00450	MHP7448_RS00800
OG0000327	FEF31_RS00455	MHP7448_RS00805
OG0000328	FEF31_RS00540	MHP7448_RS00890
OG0000329	FEF31_RS00560	MHP7448_RS00910
OG0000330	FEF31_RS00760	MHP7448_RS01105
OG0000331	FEF31_RS02710	MHP7448_RS03000
OG0000332	FEF31_RS03680	MHP7448_RS03150
OG0000333	FEF31_RS03690	MHP7448_RS03160
OG0000334	FEF31_RS03790	MHP7448_RS03260
OG0000335	FEF31_RS03800	MHP7448_RS03270
OG0000336	FEF31_RS04620	MHP7448_RS03440
OG0000337	FEF31_RS03240	MHP7448_RS03605
OG0000338	FEF31_RS03280	MHP7448_RS03650
OG0000339	FEF31_RS02070	MHP7448_RS02360
OG0000340	FEF31_RS00970	MHP7448_RS01330
OG0000341	FEF31_RS02030	MHP7448_RS02220
OG0000342	FEF31_RS00385	MHP7448_RS00740
OG0000343	FEF31_RS03700	MHP7448_RS03170
OG0000344	FEF31_RS00235	MHP7448_RS00575
OG0000345	FEF31_RS00675	MHP7448_RS01025
OG0000346	FEF31_RS03080	MHP7448_RS04140
OG0000347	FEF31_RS01065	MHP7448_RS01420
OG0000348	FEF31_RS00460	MHP7448_RS00810
OG0000349	FEF31_RS04630	MHP7448_RS03500
OG0000350	FEF31_RS02500	MHP7448_RS03675
OG0000351	FEF31_RS00155	MHP7448_RS00495
OG0000352	FEF31_RS01680	MHP7448_RS01955
OG0000353	FEF31_RS01035	MHP7448_RS01390
OG0000354	FEF31_RS00295	MHP7448_RS00645
