Orthogroup	MHP_UFV02_genes	MHP_MHP682_genes
OG0000000	FEF31_RS01935	DR097_RS02690
OG0000000	FEF31_RS04515, FEF31_RS01860, FEF31_RS02055	DR097_RS04740
OG0000001	FEF31_RS02540	DR097_RS04145
OG0000002	FEF31_RS01945	DR097_RS02700
OG0000002	FEF31_RS01940	DR097_RS02695
OG0000002	FEF31_RS04505	DR097_RS04855
OG0000002	FEF31_RS04455	DR097_RS04675
OG0000003	FEF31_RS04365	DR097_RS04955
OG0000003	FEF31_RS04510	DR097_RS04840
OG0000003	FEF31_RS01590	DR097_RS03830
OG0000004	FEF31_RS03760	DR097_RS01330
OG0000004	FEF31_RS03775	DR097_RS01325
OG0000005	FEF31_RS03370	DR097_RS02455
OG0000005	FEF31_RS04665	DR097_RS04720
OG0000005	FEF31_RS04660	DR097_RS02445
OG0000005	FEF31_RS03380	DR097_RS02440
OG0000005	FEF31_RS04670	DR097_RS04715
OG0000007	FEF31_RS01925	DR097_RS03435
OG0000007	FEF31_RS01915	DR097_RS03440
OG0000007	FEF31_RS01910	DR097_RS03450
OG0000008	FEF31_RS02250	DR097_RS03625
OG0000009	FEF31_RS00845	DR097_RS00430
OG0000009	FEF31_RS00335	DR097_RS01140
OG0000010	FEF31_RS01600	DR097_RS02510
OG0000010	FEF31_RS04440	DR097_RS04755
OG0000011	FEF31_RS01695	DR097_RS00820
OG0000011	FEF31_RS01690	DR097_RS00825
OG0000013	FEF31_RS02135	DR097_RS02175
OG0000013	FEF31_RS03455	DR097_RS03895
OG0000014	FEF31_RS00255	DR097_RS03860
OG0000014	FEF31_RS04375	DR097_RS03370
OG0000016	FEF31_RS02580	DR097_RS01165
OG0000016	FEF31_RS03440	DR097_RS00270
OG0000017	FEF31_RS03425	DR097_RS00285
OG0000017	FEF31_RS02590	DR097_RS01175
OG0000019	FEF31_RS04805	DR097_RS03615
OG0000020	FEF31_RS03220	DR097_RS04835
OG0000020	FEF31_RS04270	DR097_RS04830
OG0000021	FEF31_RS01520, FEF31_RS00170	DR097_RS03390
OG0000022	FEF31_RS01320	DR097_RS01895
OG0000022	FEF31_RS04450	DR097_RS04680
OG0000024	FEF31_RS02485	DR097_RS01795
OG0000024	FEF31_RS00930	DR097_RS00345
OG0000025	FEF31_RS04445	DR097_RS04685
OG0000025	FEF31_RS01370	DR097_RS01845
OG0000026	FEF31_RS01025	DR097_RS01665
OG0000026	FEF31_RS01350	DR097_RS01865
OG0000027	FEF31_RS03015	DR097_RS02965
OG0000027	FEF31_RS04605	DR097_RS04560
OG0000028	FEF31_RS02145, FEF31_RS04525	DR097_RS04690
OG0000029	FEF31_RS00735	DR097_RS02335
OG0000030	FEF31_RS04590	DR097_RS04775
OG0000030	FEF31_RS04600	DR097_RS04565
OG0000032	FEF31_RS03020	DR097_RS00730
OG0000034	FEF31_RS01895	DR097_RS03640
OG0000036	FEF31_RS03385	DR097_RS02435
OG0000036	FEF31_RS03400	DR097_RS02415
OG0000039	FEF31_RS01275	DR097_RS04950
OG0000040	FEF31_RS03890	DR097_RS03560
OG0000041	FEF31_RS00330	DR097_RS03645
OG0000042	FEF31_RS02675	DR097_RS01265
OG0000043	FEF31_RS01660, FEF31_RS01455	DR097_RS00855
OG0000044	FEF31_RS04775	DR097_RS04900
OG0000045	FEF31_RS01280, FEF31_RS01285	DR097_RS03525
OG0000046	FEF31_RS02960, FEF31_RS02245	DR097_RS04785
OG0000048	FEF31_RS01845	DR097_RS02830
OG0000049	FEF31_RS03620	DR097_RS01470
OG0000050	FEF31_RS02180	DR097_RS01960
OG0000051	FEF31_RS02395	DR097_RS01545
OG0000052	FEF31_RS03360	DR097_RS02480
OG0000053	FEF31_RS04425	DR097_RS04845
OG0000054	FEF31_RS02205	DR097_RS01935
OG0000055	FEF31_RS03405	DR097_RS00305
OG0000056	FEF31_RS03205	DR097_RS00545
OG0000057	FEF31_RS02660	DR097_RS01250
OG0000058	FEF31_RS01470	DR097_RS02085
OG0000059	FEF31_RS01460	DR097_RS04190
OG0000060	FEF31_RS00850	DR097_RS00425
OG0000061	FEF31_RS01245	DR097_RS02500
OG0000062	FEF31_RS03250	DR097_RS02590
OG0000063	FEF31_RS04645	DR097_RS04735
