Orthogroup	MHP_UFV02_genes	MHP_MHP653_genes
OG0000000	FEF31_RS01935	DR096_RS03590
OG0000000	FEF31_RS01875	DR096_RS04410
OG0000000	FEF31_RS02055	DR096_RS03550
OG0000000	FEF31_RS01385	DR096_RS02065
OG0000001	FEF31_RS00940	DR096_RS01680
OG0000001	FEF31_RS00935	DR096_RS01685
OG0000001	FEF31_RS02540	DR096_RS01190
OG0000002	FEF31_RS01945	DR096_RS04275
OG0000002	FEF31_RS01940	DR096_RS02905
OG0000002	FEF31_RS04505	DR096_RS04810
OG0000002	FEF31_RS04455	DR096_RS04795
OG0000003	FEF31_RS04365	DR096_RS03690, DR096_RS03695
OG0000003	FEF31_RS04510	DR096_RS04820
OG0000003	FEF31_RS01590	DR096_RS04825
OG0000005	FEF31_RS03370	DR096_RS02575
OG0000005	FEF31_RS04665	DR096_RS04720
OG0000005	FEF31_RS04660	DR096_RS02565
OG0000005	FEF31_RS03380	DR096_RS02560
OG0000005	FEF31_RS04670	DR096_RS04715
OG0000007	FEF31_RS01925	DR096_RS03505
OG0000007	FEF31_RS01915	DR096_RS03510
OG0000007	FEF31_RS01910	DR096_RS00630
OG0000008	FEF31_RS02250	DR096_RS04360
OG0000009	FEF31_RS00845	DR096_RS02300
OG0000010	FEF31_RS01600	DR096_RS00395
OG0000011	FEF31_RS01695	DR096_RS00490
OG0000011	FEF31_RS01690	DR096_RS00485
OG0000012	FEF31_RS02235	DR096_RS03685
OG0000013	FEF31_RS02135	DR096_RS04100
OG0000013	FEF31_RS03455	DR096_RS03875
OG0000014	FEF31_RS00255	DR096_RS03315
OG0000014	FEF31_RS04375	DR096_RS04790
OG0000015	FEF31_RS01295, FEF31_RS01395	DR096_RS01405
OG0000016	FEF31_RS02580	DR096_RS01150
OG0000016	FEF31_RS03440	DR096_RS00345
OG0000017	FEF31_RS03425	DR096_RS00360
OG0000017	FEF31_RS02590	DR096_RS01140
OG0000019	FEF31_RS04805	DR096_RS03940
OG0000020	FEF31_RS03220	DR096_RS03230
OG0000020	FEF31_RS04270	DR096_RS04775
OG0000022	FEF31_RS01320	DR096_RS01995
OG0000022	FEF31_RS04450	DR096_RS04665
OG0000024	FEF31_RS02485	DR096_RS01490
OG0000024	FEF31_RS00930	DR096_RS01690
OG0000025	FEF31_RS04445	DR096_RS04660
OG0000025	FEF31_RS01370	DR096_RS02045
OG0000026	FEF31_RS01025	DR096_RS01600
OG0000026	FEF31_RS01350	DR096_RS02025
OG0000027	FEF31_RS03015	DR096_RS04770
OG0000027	FEF31_RS04605	DR096_RS04540
OG0000029	FEF31_RS00270	DR096_RS03330
OG0000030	FEF31_RS04590	DR096_RS04765
OG0000030	FEF31_RS04600	DR096_RS04535
OG0000032	FEF31_RS03020	DR096_RS00860
OG0000034	FEF31_RS01895	DR096_RS03570
OG0000036	FEF31_RS03385	DR096_RS02555
OG0000036	FEF31_RS03400	DR096_RS02535
OG0000038	FEF31_RS00160	DR096_RS00005
OG0000039	FEF31_RS01275	DR096_RS01385
OG0000041	FEF31_RS00330	DR096_RS03595
OG0000042	FEF31_RS02675	DR096_RS00855
OG0000043	FEF31_RS01660, FEF31_RS01455	DR096_RS00455
OG0000044	FEF31_RS04775	DR096_RS04875
OG0000045	FEF31_RS01280, FEF31_RS01285	DR096_RS01390
OG0000046	FEF31_RS02960, FEF31_RS02245	DR096_RS04310
OG0000048	FEF31_RS01845	DR096_RS03530
OG0000049	FEF31_RS03620	DR096_RS00770
OG0000050	FEF31_RS02180	DR096_RS03020
OG0000051	FEF31_RS02395	DR096_RS02440
OG0000052	FEF31_RS03360	DR096_RS02830
OG0000053	FEF31_RS04425	DR096_RS04590
OG0000054	FEF31_RS02205	DR096_RS02995
OG0000055	FEF31_RS03405	DR096_RS02530
OG0000056	FEF31_RS03205	DR096_RS01045
OG0000057	FEF31_RS02660	DR096_RS01065
OG0000060	FEF31_RS00850	DR096_RS02295
OG0000061	FEF31_RS01245	DR096_RS00405
OG0000062	FEF31_RS03250	DR096_RS01775
OG0000063	FEF31_RS04645	DR096_RS04645
OG0000064	FEF31_RS03235	DR096_RS01760
OG0000065	FEF31_RS01990	DR096_RS02855
OG0000066	FEF31_RS01015	DR096_RS01610
OG0000067	FEF31_RS00185	DR096_RS03370
OG0000068	FEF31_RS00305	DR096_RS03280
OG0000069	FEF31_RS02555	DR096_RS01175
OG0000070	FEF31_RS02210	DR096_RS02990
OG0000071	FEF31_RS03835	DR096_RS03055
OG0000072	FEF31_RS04700	DR096_RS04730
OG0000073	FEF31_RS00360	DR096_RS02090
OG0000074	FEF31_RS04395	DR096_RS04705
OG0000075	FEF31_RS00005	DR096_RS00165
OG0000077	FEF31_RS00105	DR096_RS00060
OG0000078	FEF31_RS01340	DR096_RS04150
OG0000079	FEF31_RS02300	DR096_RS02960
OG0000080	FEF31_RS02345	DR096_RS04245
OG0000081	FEF31_RS03610	DR096_RS00170
OG0000082	FEF31_RS02130	DR096_RS01735
OG0000083	FEF31_RS01765	DR096_RS00560
OG0000084	FEF31_RS01795	DR096_RS00585
OG0000085	FEF31_RS01800	DR096_RS00590
OG0000086	FEF31_RS01810	DR096_RS00600
OG0000087	FEF31_RS01825	DR096_RS00615
OG0000088	FEF31_RS01830	DR096_RS00620
OG0000089	FEF31_RS01840	DR096_RS03525
OG0000090	FEF31_RS03355	DR096_RS02835
OG0000091	FEF31_RS03340	DR096_RS01865
OG0000092	FEF31_RS03325	DR096_RS01850
OG0000093	FEF31_RS03320	DR096_RS01845
OG0000094	FEF31_RS03315	DR096_RS01840
OG0000095	FEF31_RS03290	DR096_RS01815
OG0000096	FEF31_RS03285	DR096_RS01810
OG0000097	FEF31_RS03265	DR096_RS01790
OG0000098	FEF31_RS03255	DR096_RS01780
OG0000099	FEF31_RS04640	DR096_RS03485
OG0000100	FEF31_RS03195	DR096_RS01035
OG0000101	FEF31_RS03190	DR096_RS01030
OG0000102	FEF31_RS01365	DR096_RS02040
OG0000103	FEF31_RS01955	DR096_RS02890
OG0000104	FEF31_RS01960	DR096_RS02885
OG0000105	FEF31_RS01975	DR096_RS02870
OG0000106	FEF31_RS01985	DR096_RS02860
OG0000107	FEF31_RS01995	DR096_RS02850
OG0000108	FEF31_RS02000	DR096_RS02845
OG0000109	FEF31_RS02005	DR096_RS02840
OG0000110	FEF31_RS02120	DR096_RS01725
OG0000111	FEF31_RS02115	DR096_RS01720
OG0000112	FEF31_RS02105	DR096_RS01710
OG0000113	FEF31_RS02085	DR096_RS04785
