Orthogroup	MHP_11_genes	MHP_MHP679_genes
OG0000000	B5C39_RS02595	DR086_RS04585
OG0000000	B5C39_RS03750	DR086_RS04250
OG0000000	B5C39_RS03235	DR086_RS04245
OG0000001	B5C39_RS03070	DR086_RS01010
OG0000002	B5C39_RS03825	DR086_RS04310
OG0000002	B5C39_RS03240	DR086_RS04880
OG0000003	B5C39_RS03345	DR086_RS05085
OG0000004	B5C39_RS00380, B5C39_RS00390	DR086_RS03630
OG0000004	B5C39_RS00400	DR086_RS03555
OG0000005	B5C39_RS00915	DR086_RS03245
OG0000005	B5C39_RS00920	DR086_RS03255
OG0000005	B5C39_RS00925, B5C39_RS00940	DR086_RS05035
OG0000008	B5C39_RS03850	DR086_RS02140
OG0000009	B5C39_RS03820	DR086_RS04375
OG0000010	B5C39_RS03350	DR086_RS00810
OG0000011	B5C39_RS03455	DR086_RS00450
OG0000011	B5C39_RS03450	DR086_RS00445
OG0000012	B5C39_RS01220	DR086_RS03775, DR086_RS03950
OG0000013	B5C39_RS02685	DR086_RS03105
OG0000013	B5C39_RS03780	DR086_RS04005
OG0000014	B5C39_RS01820	DR086_RS03610
OG0000014	B5C39_RS02290	DR086_RS04970
OG0000015	B5C39_RS03085, B5C39_RS03915	DR086_RS03700
OG0000016	B5C39_RS00060	DR086_RS01050
OG0000016	B5C39_RS00985	DR086_RS00030
OG0000017	B5C39_RS00970	DR086_RS00015
OG0000017	B5C39_RS00070	DR086_RS01060
OG0000019	B5C39_RS03765	DR086_RS04570
OG0000020	B5C39_RS00740	DR086_RS02470
OG0000022	B5C39_RS03170	DR086_RS01645
OG0000022	B5C39_RS03225	DR086_RS04885
OG0000024	B5C39_RS03015	DR086_RS03190
OG0000025	B5C39_RS03175	DR086_RS04890
OG0000025	B5C39_RS03220	DR086_RS01595
OG0000026	B5C39_RS01535	DR086_RS01970
OG0000026	B5C39_RS03200	DR086_RS01615
OG0000027	B5C39_RS00530	DR086_RS05030
OG0000027	B5C39_RS00545	DR086_RS04870
OG0000029	B5C39_RS01825	DR086_RS02730
OG0000030	B5C39_RS00520	DR086_RS05025
OG0000030	B5C39_RS00540	DR086_RS04875
OG0000031	B5C39_RS01325	DR086_RS00745
OG0000032	B5C39_RS03770	DR086_RS03870
OG0000036	B5C39_RS00930, B5C39_RS00945	DR086_RS03265
OG0000037	B5C39_RS03745	DR086_RS04510
OG0000039	B5C39_RS03875, B5C39_RS03130	DR086_RS03295
OG0000040	B5C39_RS00465	DR086_RS02360
OG0000042	B5C39_RS00160	DR086_RS02970
OG0000043	B5C39_RS03420	DR086_RS00750, DR086_RS00415
OG0000044	B5C39_RS03955	DR086_RS05095
OG0000045	B5C39_RS03140	DR086_RS03290
OG0000047	B5C39_RS03620, B5C39_RS00010	DR086_RS00730
OG0000048	B5C39_RS03615	DR086_RS00610
OG0000049	B5C39_RS00240	DR086_RS01430
OG0000050	B5C39_RS02725	DR086_RS02195
OG0000051	B5C39_RS02930	DR086_RS00855
OG0000052	B5C39_RS00890	DR086_RS01150
OG0000053	B5C39_RS01450	DR086_RS04905
OG0000054	B5C39_RS02750	DR086_RS02170
OG0000055	B5C39_RS00950	DR086_RS03270
OG0000056	B5C39_RS00720	DR086_RS02455
OG0000057	B5C39_RS00145	DR086_RS01130
OG0000061	B5C39_RS03360	DR086_RS00820
OG0000062	B5C39_RS00780	DR086_RS01260
OG0000063	B5C39_RS00775	DR086_RS04835
OG0000064	B5C39_RS00765	DR086_RS01275
OG0000065	B5C39_RS02530	DR086_RS02080
OG0000066	B5C39_RS01545	DR086_RS01980
OG0000067	B5C39_RS02370	DR086_RS02240
OG0000068	B5C39_RS02250	DR086_RS01570
OG0000069	B5C39_RS00035	DR086_RS01025
OG0000070	B5C39_RS02755	DR086_RS02165
OG0000071	B5C39_RS00455	DR086_RS02350
OG0000072	B5C39_RS00460	DR086_RS04935
OG0000073	B5C39_RS02200	DR086_RS03040
OG0000074	B5C39_RS02005	DR086_RS04990
OG0000075	B5C39_RS01170	DR086_RS03840
OG0000076	B5C39_RS01185	DR086_RS00225
OG0000077	B5C39_RS02455	DR086_RS00315
OG0000078	B5C39_RS03190	DR086_RS01625
OG0000079	B5C39_RS02835	DR086_RS00950
OG0000080	B5C39_RS03700	DR086_RS04145
OG0000081	B5C39_RS01165	DR086_RS00205
OG0000082	B5C39_RS02680	DR086_RS03110
OG0000083	B5C39_RS03525	DR086_RS00520
OG0000084	B5C39_RS03550	DR086_RS00545
OG0000085	B5C39_RS03555	DR086_RS00550
OG0000086	B5C39_RS03565	DR086_RS00560
OG0000087	B5C39_RS03580	DR086_RS00575
OG0000088	B5C39_RS03585	DR086_RS00580
OG0000089	B5C39_RS03595	DR086_RS00590
OG0000090	B5C39_RS00885	DR086_RS01155
OG0000091	B5C39_RS00870	DR086_RS01170
OG0000092	B5C39_RS00855	DR086_RS01185
OG0000093	B5C39_RS00850	DR086_RS01190
OG0000094	B5C39_RS00845	DR086_RS01195
OG0000095	B5C39_RS00820	DR086_RS01220
OG0000096	B5C39_RS00815	DR086_RS01225
OG0000097	B5C39_RS00795	DR086_RS01245
OG0000098	B5C39_RS00785	DR086_RS01255
OG0000099	B5C39_RS00725	DR086_RS04950
OG0000100	B5C39_RS00710	DR086_RS02445
OG0000101	B5C39_RS00705	DR086_RS02440
OG0000102	B5C39_RS03215	DR086_RS01600
OG0000103	B5C39_RS02495	DR086_RS02115
OG0000104	B5C39_RS02500	DR086_RS02110
OG0000105	B5C39_RS02515	DR086_RS02095
OG0000106	B5C39_RS02525	DR086_RS02085
OG0000107	B5C39_RS02535	DR086_RS02075
OG0000108	B5C39_RS02540	DR086_RS02070
OG0000109	B5C39_RS02545	DR086_RS02065
OG0000110	B5C39_RS02670	DR086_RS03120
OG0000111	B5C39_RS02665	DR086_RS03125
OG0000112	B5C39_RS02655	DR086_RS03135
OG0000113	B5C39_RS02635	DR086_RS05050
OG0000114	B5C39_RS02625	DR086_RS03455
OG0000115	B5C39_RS02610	DR086_RS03475
OG0000116	B5C39_RS01600	DR086_RS03410
OG0000117	B5C39_RS01595	DR086_RS03405
OG0000118	B5C39_RS01560	DR086_RS01995
OG0000119	B5C39_RS01555	DR086_RS01990
OG0000120	B5C39_RS01540	DR086_RS01975
OG0000121	B5C39_RS01515	DR086_RS01950
OG0000122	B5C39_RS01510	DR086_RS01945
OG0000123	B5C39_RS01490	DR086_RS01925
OG0000124	B5C39_RS01485	DR086_RS01920
OG0000125	B5C39_RS01480	DR086_RS01915
OG0000126	B5C39_RS01470	DR086_RS01900
OG0000127	B5C39_RS01460	DR086_RS01890
OG0000128	B5C39_RS01445	DR086_RS01875
OG0000129	B5C39_RS01440	DR086_RS01870
OG0000130	B5C39_RS01430	DR086_RS01860
OG0000131	B5C39_RS01400	DR086_RS01830
OG0000132	B5C39_RS01385	DR086_RS04900
OG0000133	B5C39_RS02365	DR086_RS02245
OG0000134	B5C39_RS02360	DR086_RS02250
OG0000135	B5C39_RS02345	DR086_RS02265
OG0000136	B5C39_RS02340	DR086_RS02270
OG0000137	B5C39_RS02310	DR086_RS02310
OG0000138	B5C39_RS02275	DR086_RS02775
OG0000139	B5C39_RS02245	DR086_RS02745
OG0000140	B5C39_RS02240	DR086_RS02740
OG0000141	B5C39_RS00155	DR086_RS03720
OG0000142	B5C39_RS00150	DR086_RS04820
OG0000143	B5C39_RS00125	DR086_RS01115
OG0000144	B5C39_RS00115	DR086_RS01105
OG0000145	B5C39_RS00105	DR086_RS01095
OG0000146	B5C39_RS00095	DR086_RS01085
OG0000147	B5C39_RS00090	DR086_RS01080
OG0000148	B5C39_RS00075	DR086_RS01065
OG0000149	B5C39_RS00065	DR086_RS01055
OG0000150	B5C39_RS00050	DR086_RS01040
OG0000151	B5C39_RS03055	DR086_RS03230
OG0000152	B5C39_RS03050	DR086_RS03225
OG0000153	B5C39_RS03045	DR086_RS03220
OG0000154	B5C39_RS03035	DR086_RS03210
OG0000155	B5C39_RS02995	DR086_RS03005
OG0000156	B5C39_RS02985	DR086_RS02995
OG0000157	B5C39_RS02980	DR086_RS05005
OG0000158	B5C39_RS03905	DR086_RS05000
OG0000159	B5C39_RS03950	DR086_RS05100
OG0000160	B5C39_RS02735	DR086_RS02185
OG0000161	B5C39_RS02730	DR086_RS02190
OG0000162	B5C39_RS02720	DR086_RS02200
OG0000163	B5C39_RS02715	DR086_RS02205
OG0000164	B5C39_RS03120	DR086_RS03305
OG0000165	B5C39_RS03445	DR086_RS00440
OG0000166	B5C39_RS03465	DR086_RS00460
OG0000167	B5C39_RS03480	DR086_RS00475
OG0000168	B5C39_RS03485	DR086_RS00480
OG0000169	B5C39_RS00235	DR086_RS01435
OG0000170	B5C39_RS00250	DR086_RS01420
OG0000171	B5C39_RS00260	DR086_RS01410
OG0000172	B5C39_RS00265	DR086_RS01405
OG0000173	B5C39_RS00270	DR086_RS01400
OG0000174	B5C39_RS00275	DR086_RS01395
OG0000175	B5C39_RS00290	DR086_RS01380
OG0000176	B5C39_RS00340	DR086_RS01330
OG0000177	B5C39_RS00345	DR086_RS01325
OG0000178	B5C39_RS00350	DR086_RS01320
OG0000179	B5C39_RS00360	DR086_RS01310
OG0000180	B5C39_RS00365	DR086_RS01305
OG0000181	B5C39_RS00405	DR086_RS05065
OG0000182	B5C39_RS00415	DR086_RS03535
OG0000183	B5C39_RS00450	DR086_RS02345
OG0000184	B5C39_RS00495	DR086_RS02390
OG0000185	B5C39_RS00480	DR086_RS02375
OG0000186	B5C39_RS01375	DR086_RS04895
OG0000187	B5C39_RS01360	DR086_RS01790
OG0000188	B5C39_RS01350	DR086_RS01780
OG0000189	B5C39_RS02580	DR086_RS04920
OG0000190	B5C39_RS02575	DR086_RS02035
OG0000191	B5C39_RS02555	DR086_RS02055
OG0000192	B5C39_RS01685	DR086_RS02515
OG0000193	B5C39_RS01695	DR086_RS02500
OG0000194	B5C39_RS02215	DR086_RS03025
OG0000195	B5C39_RS02210	DR086_RS03030
OG0000196	B5C39_RS02190	DR086_RS03050
OG0000197	B5C39_RS02185	DR086_RS03055
OG0000198	B5C39_RS02170	DR086_RS03070
OG0000199	B5C39_RS02165	DR086_RS03075
OG0000200	B5C39_RS02150	DR086_RS03090
OG0000201	B5C39_RS02140	DR086_RS03100
OG0000202	B5C39_RS02085	DR086_RS03345
OG0000203	B5C39_RS02080	DR086_RS03340
OG0000204	B5C39_RS02075	DR086_RS04975
OG0000205	B5C39_RS02070	DR086_RS02805
OG0000206	B5C39_RS02050	DR086_RS02825
OG0000207	B5C39_RS02035	DR086_RS02840
OG0000208	B5C39_RS02030	DR086_RS02845
OG0000209	B5C39_RS02025	DR086_RS02850
OG0000210	B5C39_RS01980	DR086_RS02895
OG0000211	B5C39_RS01970	DR086_RS02580
OG0000212	B5C39_RS01960	DR086_RS02590
OG0000213	B5C39_RS01955	DR086_RS02595
OG0000214	B5C39_RS01950	DR086_RS02600
OG0000215	B5C39_RS01945	DR086_RS02605
OG0000216	B5C39_RS01940	DR086_RS02610
OG0000217	B5C39_RS01935	DR086_RS02615
OG0000218	B5C39_RS01925	DR086_RS02625
OG0000219	B5C39_RS01920	DR086_RS02630
