Orthogroup	MHP_11_genes	MHP_7422_genes
OG0000000	B5C39_RS02595	MHL_RS02380
OG0000000	B5C39_RS03835	MHL_RS04190
OG0000000	B5C39_RS03235	MHL_RS03710
OG0000001	B5C39_RS03070	MHL_RS02845
OG0000001	B5C39_RS03865	MHL_RS03875
OG0000001	B5C39_RS03020	MHL_RS04080
OG0000002	B5C39_RS03825	MHL_RS04055
OG0000002	B5C39_RS03240	MHL_RS01800
OG0000003	B5C39_RS03345	MHL_RS03835
OG0000004	B5C39_RS00380	MHL_RS03205
OG0000004	B5C39_RS00400	MHL_RS03215
OG0000005	B5C39_RS00915	MHL_RS00105
OG0000005	B5C39_RS00935	MHL_RS00125
OG0000005	B5C39_RS00920	MHL_RS04205
OG0000005	B5C39_RS00925	MHL_RS00115
OG0000005	B5C39_RS00940	MHL_RS00130
OG0000006	B5C39_RS03845	MHL_RS03635
OG0000006	B5C39_RS02605, B5C39_RS02640	MHL_RS02420
OG0000008	B5C39_RS03740, B5C39_RS03830	MHL_RS02375
OG0000008	B5C39_RS03850	MHL_RS04065
OG0000009	B5C39_RS00900	MHL_RS00090
OG0000009	B5C39_RS02225	MHL_RS00770
OG0000010	B5C39_RS03350	MHL_RS01930
OG0000010	B5C39_RS00910	MHL_RS00100
OG0000011	B5C39_RS03455	MHL_RS04185
OG0000011	B5C39_RS03450	MHL_RS02020
OG0000012	B5C39_RS01220	MHL_RS03845
OG0000013	B5C39_RS02685	MHL_RS02470
OG0000013	B5C39_RS03780	MHL_RS03925
OG0000014	B5C39_RS02300	MHL_RS00590
OG0000014	B5C39_RS01820	MHL_RS01170
OG0000014	B5C39_RS02290	MHL_RS00695
OG0000016	B5C39_RS00060	MHL_RS02885
OG0000016	B5C39_RS00985	MHL_RS00175
OG0000017	B5C39_RS00970	MHL_RS00160
OG0000017	B5C39_RS00070	MHL_RS02895
OG0000020	B5C39_RS00735	MHL_RS03545
OG0000020	B5C39_RS00740	MHL_RS03550
OG0000022	B5C39_RS03170	MHL_RS01740
OG0000022	B5C39_RS03225	MHL_RS01790
OG0000024	B5C39_RS03015	MHL_RS02790
OG0000024	B5C39_RS01625	MHL_RS01355
OG0000025	B5C39_RS03175	MHL_RS01745
OG0000025	B5C39_RS03220	MHL_RS01785
OG0000026	B5C39_RS01535	MHL_RS01445
OG0000027	B5C39_RS00530	MHL_RS03755
OG0000027	B5C39_RS00545	MHL_RS03360
OG0000029	B5C39_RS01825	MHL_RS01165
OG0000029	B5C39_RS02285	MHL_RS00700
OG0000030	B5C39_RS00520	MHL_RS03335
OG0000030	B5C39_RS00540	MHL_RS03355
OG0000032	B5C39_RS03770	MHL_RS03350
OG0000035	B5C39_RS00395	MHL_RS03210
OG0000035	B5C39_RS00375	MHL_RS03195
OG0000036	B5C39_RS00930	MHL_RS00120
OG0000036	B5C39_RS00945	MHL_RS00135
OG0000039	B5C39_RS03875, B5C39_RS03130	MHL_RS01705
OG0000042	B5C39_RS00160	MHL_RS02985
OG0000043	B5C39_RS03420	MHL_RS00625
OG0000044	B5C39_RS03955	MHL_RS04220
OG0000045	B5C39_RS03140	MHL_RS01710
OG0000046	B5C39_RS00475	MHL_RS04100
OG0000047	B5C39_RS00010	MHL_RS01655
OG0000048	B5C39_RS03615	MHL_RS02170
OG0000049	B5C39_RS00240	MHL_RS03060
OG0000050	B5C39_RS02725	MHL_RS02510
OG0000052	B5C39_RS00890	MHL_RS00080
OG0000053	B5C39_RS01450	MHL_RS01530
OG0000054	B5C39_RS02750	MHL_RS02535
OG0000055	B5C39_RS00950	MHL_RS00140
OG0000056	B5C39_RS00720	MHL_RS03530
OG0000057	B5C39_RS00145	MHL_RS02970
OG0000061	B5C39_RS03095	MHL_RS01940
OG0000062	B5C39_RS00780	MHL_RS03580
OG0000063	B5C39_RS00775	MHL_RS03575
OG0000064	B5C39_RS00765	MHL_RS03565
OG0000065	B5C39_RS02530	MHL_RS02310
OG0000066	B5C39_RS01545	MHL_RS01435
OG0000067	B5C39_RS02370	MHL_RS00525
OG0000068	B5C39_RS02250	MHL_RS00735
OG0000069	B5C39_RS00035	MHL_RS02860
OG0000070	B5C39_RS02755	MHL_RS02540
OG0000071	B5C39_RS00455	MHL_RS03275
OG0000072	B5C39_RS00460	MHL_RS03280
OG0000073	B5C39_RS02200	MHL_RS00795
OG0000074	B5C39_RS02005	MHL_RS03950, MHL_RS04210
OG0000075	B5C39_RS01170	MHL_RS00345
OG0000076	B5C39_RS01185	MHL_RS00360
OG0000077	B5C39_RS02455	MHL_RS00450
OG0000078	B5C39_RS03190	MHL_RS01755
OG0000079	B5C39_RS02835	MHL_RS02615
OG0000080	B5C39_RS03700	MHL_RS03870
OG0000081	B5C39_RS01165	MHL_RS00340
OG0000082	B5C39_RS02680	MHL_RS02460
