Orthogroup	MHP_11_genes	MHP_TB1_genes
OG0000000	B5C39_RS02485	B5M19_RS04470
OG0000000	B5C39_RS02595	B5M19_RS03770
OG0000000	B5C39_RS03750	B5M19_RS02095
OG0000000	B5C39_RS03235	B5M19_RS02100
OG0000001	B5C39_RS01615, B5C39_RS01620	B5M19_RS02595
OG0000001	B5C39_RS03070	B5M19_RS02555
OG0000001	B5C39_RS03020	B5M19_RS02510
OG0000002	B5C39_RS03825	B5M19_RS04465
OG0000002	B5C39_RS03650	B5M19_RS04625
OG0000002	B5C39_RS03240	B5M19_RS02105
OG0000003	B5C39_RS03345	B5M19_RS03885
OG0000004	B5C39_RS00400	B5M19_RS04240
OG0000005	B5C39_RS00915	B5M19_RS00020
OG0000005	B5C39_RS00920	B5M19_RS00030
OG0000005	B5C39_RS00925, B5C39_RS00940	B5M19_RS04010, B5M19_RS04005
OG0000006	B5C39_RS03845	B5M19_RS03635
OG0000006	B5C39_RS02605	B5M19_RS03605
OG0000006	B5C39_RS02640	B5M19_RS02695
OG0000008	B5C39_RS03740, B5C39_RS03830	B5M19_RS03790
OG0000008	B5C39_RS03850	B5M19_RS04540
OG0000009	B5C39_RS02225	B5M19_RS04265
OG0000010	B5C39_RS03350	B5M19_RS00670
OG0000010	B5C39_RS03795, B5C39_RS01340	B5M19_RS03275
OG0000010	B5C39_RS00910	B5M19_RS00015
OG0000011	B5C39_RS03455	B5M19_RS04080
OG0000011	B5C39_RS03450	B5M19_RS00765
OG0000012	B5C39_RS01220	B5M19_RS03815
OG0000013	B5C39_RS02685	B5M19_RS02640
OG0000013	B5C39_RS03780	B5M19_RS00100
OG0000014	B5C39_RS01820	B5M19_RS03715
OG0000014	B5C39_RS02290	B5M19_RS03505
OG0000015	B5C39_RS03085	B5M19_RS02855
OG0000016	B5C39_RS00060	B5M19_RS01425
OG0000016	B5C39_RS00985	B5M19_RS00080, B5M19_RS04015
OG0000017	B5C39_RS00970	B5M19_RS00065
OG0000017	B5C39_RS00070	B5M19_RS01415
OG0000018	B5C39_RS03790, B5C39_RS03785	B5M19_RS04450
OG0000020	B5C39_RS00735	B5M19_RS04305
