Orthogroup	MHP_11_genes	MHP_168L_genes
OG0000000	B5C39_RS02485	MHP168L_RS02190
OG0000000	B5C39_RS03935	MHP168L_RS03890
OG0000000	B5C39_RS02595	MHP168L_RS02335
OG0000000	B5C39_RS03835	MHP168L_RS02340
OG0000000	B5C39_RS03750	MHP168L_RS03865
OG0000000	B5C39_RS03235	MHP168L_RS01715
OG0000001	B5C39_RS01615, B5C39_RS01620	MHP168L_RS01370
OG0000001	B5C39_RS03070	MHP168L_RS02830
OG0000001	B5C39_RS03020	MHP168L_RS02785
OG0000002	B5C39_RS03825	MHP168L_RS04010
OG0000002	B5C39_RS03240	MHP168L_RS01710
OG0000003	B5C39_RS03270, B5C39_RS02395	MHP168L_RS01860
OG0000003	B5C39_RS03345	MHP168L_RS03875
OG0000004	B5C39_RS00380	MHP168L_RS03190
OG0000004	B5C39_RS00400	MHP168L_RS03205
OG0000004	B5C39_RS03760	MHP168L_RS03030
OG0000005	B5C39_RS00915	MHP168L_RS00090
OG0000005	B5C39_RS00920	MHP168L_RS00100
OG0000005	B5C39_RS00925, B5C39_RS00940	MHP168L_RS00105
OG0000006	B5C39_RS03845	MHP168L_RS02535
OG0000006	B5C39_RS02605	MHP168L_RS02345
OG0000006	B5C39_RS02640	MHP168L_RS02380
OG0000008	B5C39_RS03740, B5C39_RS03830	MHP168L_RS02330
OG0000008	B5C39_RS03850	MHP168L_RS04025
OG0000009	B5C39_RS02225	MHP168L_RS03915
OG0000010	B5C39_RS03350	MHP168L_RS01950
OG0000010	B5C39_RS03795, B5C39_RS01340	MHP168L_RS01650
OG0000010	B5C39_RS00910	MHP168L_RS00085
OG0000011	B5C39_RS03455	MHP168L_RS03995
OG0000011	B5C39_RS03450	MHP168L_RS02035
OG0000012	B5C39_RS01220	MHP168L_RS01405, MHP168L_RS02220, MHP168L_RS03040
OG0000013	B5C39_RS02685	MHP168L_RS02430
OG0000013	B5C39_RS03780	MHP168L_RS03905
OG0000014	B5C39_RS01820	MHP168L_RS01070
OG0000014	B5C39_RS02290	MHP168L_RS01055
OG0000015	B5C39_RS03085	MHP168L_RS03530
OG0000016	B5C39_RS00060	MHP168L_RS02870
OG0000016	B5C39_RS00985	MHP168L_RS00150
OG0000017	B5C39_RS00970	MHP168L_RS00135
OG0000017	B5C39_RS00070	MHP168L_RS02880
OG0000018	B5C39_RS03790, B5C39_RS03785	MHP168L_RS04065
OG0000019	B5C39_RS03765	MHP168L_RS04055
OG0000020	B5C39_RS00735	MHP168L_RS03590
OG0000020	B5C39_RS00740	MHP168L_RS03595
OG0000021	B5C39_RS03275	MHP168L_RS01865
OG0000022	B5C39_RS03170	MHP168L_RS01775
OG0000022	B5C39_RS03225	MHP168L_RS01725
OG0000023	B5C39_RS01320	MHP168L_RS03545
OG0000024	B5C39_RS03015	MHP168L_RS02775
OG0000024	B5C39_RS01625	MHP168L_RS03940
OG0000025	B5C39_RS03175	MHP168L_RS01770
OG0000025	B5C39_RS03220	MHP168L_RS01730
OG0000026	B5C39_RS01535	MHP168L_RS01455
OG0000026	B5C39_RS03200	MHP168L_RS01750
OG0000027	B5C39_RS00530	MHP168L_RS03825
OG0000027	B5C39_RS00545	MHP168L_RS03345
OG0000028	B5C39_RS02695	MHP168L_RS02445, MHP168L_RS02440
OG0000029	B5C39_RS01825	MHP168L_RS00580
OG0000029	B5C39_RS02285	MHP168L_RS01050
OG0000030	B5C39_RS00520	MHP168L_RS03325
OG0000030	B5C39_RS00540	MHP168L_RS03340
OG0000031	B5C39_RS01325	MHP168L_RS03575
OG0000031	B5C39_RS03115	MHP168L_RS01830
OG0000032	B5C39_RS03770	MHP168L_RS03335
OG0000033	B5C39_RS02690	MHP168L_RS02435
OG0000035	B5C39_RS00395	MHP168L_RS03200
OG0000035	B5C39_RS00375	MHP168L_RS03185
OG0000036	B5C39_RS00930, B5C39_RS00945	MHP168L_RS00110
OG0000038	B5C39_RS03265	MHP168L_RS00480, MHP168L_RS01855
OG0000039	B5C39_RS03875, B5C39_RS03130	MHP168L_RS01815
OG0000040	B5C39_RS00465	MHP168L_RS03275
OG0000042	B5C39_RS00160	MHP168L_RS02970
OG0000043	B5C39_RS03420	MHP168L_RS01210
OG0000044	B5C39_RS03955	MHP168L_RS04140
OG0000044	B5C39_RS03305	MHP168L_RS01900
OG0000045	B5C39_RS03140	MHP168L_RS01810
OG0000047	B5C39_RS03620	MHP168L_RS03540
OG0000047	B5C39_RS00010	MHP168L_RS01680
OG0000048	B5C39_RS03615	MHP168L_RS02210
OG0000049	B5C39_RS00240	MHP168L_RS03050
OG0000050	B5C39_RS02725	MHP168L_RS02475
OG0000051	B5C39_RS02930	MHP168L_RS04035
OG0000052	B5C39_RS00890	MHP168L_RS00075
OG0000053	B5C39_RS01450	MHP168L_RS01540
OG0000054	B5C39_RS02750	MHP168L_RS02500
OG0000055	B5C39_RS00950	MHP168L_RS00115
OG0000056	B5C39_RS00720	MHP168L_RS03515
OG0000057	B5C39_RS00145	MHP168L_RS02955
OG0000058	B5C39_RS01330	MHP168L_RS03580
OG0000060	B5C39_RS03815	MHP168L_RS01280
OG0000061	B5C39_RS03095	MHP168L_RS01660
OG0000062	B5C39_RS00780	MHP168L_RS03630
OG0000063	B5C39_RS00775	MHP168L_RS03625
OG0000064	B5C39_RS00765	MHP168L_RS03615
OG0000065	B5C39_RS02530	MHP168L_RS04005
OG0000066	B5C39_RS01545	MHP168L_RS01445
OG0000067	B5C39_RS02370	MHP168L_RS00510
OG0000068	B5C39_RS02250	MHP168L_RS04135
OG0000069	B5C39_RS00035	MHP168L_RS02845
OG0000070	B5C39_RS02755	MHP168L_RS02505
OG0000071	B5C39_RS00455	MHP168L_RS03265
OG0000072	B5C39_RS00460	MHP168L_RS03270
OG0000073	B5C39_RS02200	MHP168L_RS00955
OG0000074	B5C39_RS02005	MHP168L_RS00765
OG0000075	B5C39_RS01170	MHP168L_RS00320
OG0000076	B5C39_RS01185	MHP168L_RS00335
OG0000077	B5C39_RS02455	MHP168L_RS00425
OG0000078	B5C39_RS03190	MHP168L_RS01760
OG0000079	B5C39_RS02835	MHP168L_RS02590
OG0000080	B5C39_RS03700	MHP168L_RS03895
OG0000081	B5C39_RS01165	MHP168L_RS00315
OG0000082	B5C39_RS02680	MHP168L_RS04015, MHP168L_RS04020
OG0000083	B5C39_RS03525	MHP168L_RS02110
OG0000084	B5C39_RS03550	MHP168L_RS02265
OG0000085	B5C39_RS03555	MHP168L_RS02260
OG0000086	B5C39_RS03565	MHP168L_RS02250
OG0000087	B5C39_RS03580	MHP168L_RS02235
OG0000088	B5C39_RS03585	MHP168L_RS02230
OG0000089	B5C39_RS03595	MHP168L_RS02215
OG0000090	B5C39_RS00885	MHP168L_RS00070
OG0000091	B5C39_RS00870	MHP168L_RS00055
OG0000092	B5C39_RS00855	MHP168L_RS00040
OG0000093	B5C39_RS00850	MHP168L_RS00035
OG0000094	B5C39_RS00845	MHP168L_RS00030
OG0000095	B5C39_RS00820	MHP168L_RS00005
OG0000096	B5C39_RS00815	MHP168L_RS03665
OG0000097	B5C39_RS00795	MHP168L_RS03645
OG0000098	B5C39_RS00785	MHP168L_RS03635
OG0000099	B5C39_RS00725	MHP168L_RS03520
OG0000100	B5C39_RS00710	MHP168L_RS03505
OG0000101	B5C39_RS00705	MHP168L_RS03500
OG0000102	B5C39_RS03215	MHP168L_RS01735
OG0000103	B5C39_RS02495	MHP168L_RS02175
OG0000104	B5C39_RS02500	MHP168L_RS02170
OG0000105	B5C39_RS02515	MHP168L_RS02155
OG0000106	B5C39_RS02525	MHP168L_RS02145
OG0000107	B5C39_RS02535	MHP168L_RS02135
OG0000108	B5C39_RS02540	MHP168L_RS02130
OG0000109	B5C39_RS02545	MHP168L_RS02125
OG0000110	B5C39_RS02670	MHP168L_RS02410
OG0000111	B5C39_RS02665	MHP168L_RS02405
OG0000112	B5C39_RS02655	MHP168L_RS02395
OG0000113	B5C39_RS02635	MHP168L_RS02375
OG0000114	B5C39_RS02625	MHP168L_RS02365
OG0000115	B5C39_RS02610	MHP168L_RS02350
OG0000116	B5C39_RS01600	MHP168L_RS01385
OG0000117	B5C39_RS01595	MHP168L_RS01390
OG0000118	B5C39_RS01560	MHP168L_RS01430
OG0000119	B5C39_RS01555	MHP168L_RS01435
