Orthogroup	MHP_MHP709_protein	MFC_MF30_protein
OG0000000	WP_146379632.1	WP_160583943.1
OG0000000	WP_160587900.1	WP_160605422.1
OG0000002	WP_308507056.1	WP_160605385.1, WP_258555096.1
OG0000002	WP_258555342.1	WP_160605387.1
OG0000005	WP_334199370.1	WP_308705464.1
OG0000006	WP_160587966.1, WP_160587971.1	WP_220190749.1
OG0000009	WP_160588297.1, WP_160588329.1	WP_220190754.1
OG0000010	WP_258555237.1	WP_002557631.1
OG0000016	WP_160588215.1	WP_160605396.1
OG0000018	WP_160588323.1	WP_160605324.1, WP_160605340.1
OG0000022	WP_258555344.1, WP_258555343.1	WP_220190753.1
OG0000023	WP_160588136.1	WP_258555133.1, WP_160605352.1
OG0000025	WP_225973032.1	WP_002557601.1
OG0000026	WP_160588301.1	WP_160605404.1
OG0000027	WP_220191127.1	WP_220190801.1
OG0000029	WP_160588346.1	WP_160605326.1
OG0000030	WP_160587825.1	WP_160581217.1
OG0000031	WP_146379455.1	WP_323749063.1, WP_002557874.1
OG0000034	WP_160588303.1	WP_160605400.1
OG0000035	WP_160588203.1	WP_160605360.1
OG0000036	WP_041361671.1	WP_160605402.1
OG0000039	WP_160587914.1	WP_308705462.1, WP_258555149.1
OG0000040	WP_011206223.1	WP_002557452.1
OG0000041	WP_220191087.1	WP_308705457.1
OG0000042	WP_160588163.1	WP_160605586.1
OG0000043	WP_160585575.1	WP_160605582.1
OG0000044	WP_160588193.1	WP_160605578.1
OG0000045	WP_011290219.1	WP_002557517.1
OG0000046	WP_160587949.1	WP_002557593.1
OG0000047	WP_225972996.1	WP_002557611.1
OG0000048	WP_160587850.1	WP_002557625.1
OG0000049	WP_011284269.1	WP_002557626.1
OG0000050	WP_146379657.1	WP_160605398.1
OG0000051	WP_135619210.1	WP_160605651.1, WP_160581406.1
OG0000052	WP_160588299.1	WP_160581408.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000054	WP_160588047.1	WP_160603210.1
OG0000055	WP_160588054.1	WP_160605541.1
OG0000056	WP_160585219.1	WP_160581282.1
OG0000057	WP_011290028.1	WP_002557776.1
OG0000058	WP_135618593.1	WP_002557805.1
OG0000059	WP_044284596.1	WP_236681775.1
OG0000060	WP_011290055.1	WP_002557818.1
OG0000061	WP_011206035.1	WP_002557829.1
OG0000062	WP_146379532.1	WP_160605491.1
OG0000063	WP_052259122.1	WP_160583743.1
OG0000064	WP_160588044.1	WP_160605570.1
OG0000065	WP_014579568.1	WP_160605306.1
OG0000066	WP_160588013.1	WP_160605308.1
OG0000067	WP_258555327.1	WP_160581384.1
OG0000068	WP_020835906.1	WP_160605601.1
OG0000069	WP_160588321.1	WP_002557977.1
OG0000070	WP_011206305.1	WP_160580968.1
OG0000071	WP_044272563.1	WP_160583660.1
OG0000072	WP_160588144.1	WP_160605607.1
OG0000073	WP_179695988.1	WP_196792423.1
OG0000074	WP_160587863.1	WP_258555107.1
OG0000075	WP_160588003.1	WP_258555110.1
OG0000076	WP_308507100.1	WP_308705450.1
OG0000077	WP_160588023.1	WP_308705447.1
OG0000079	WP_220191052.1	WP_052234586.1
OG0000080	WP_160587916.1	WP_160581474.1
OG0000081	WP_160587917.1	WP_002557446.1
OG0000082	WP_160587919.1	WP_160605631.1
OG0000083	WP_160587923.1	WP_160581452.1
OG0000084	WP_011284142.1	WP_002557451.1
OG0000085	WP_011206224.1	WP_160581449.1
OG0000086	WP_160587925.1	WP_160605611.1
OG0000087	WP_220190703.1	WP_160605613.1
OG0000088	WP_160587927.1	WP_236681783.1
OG0000089	WP_044272480.1	WP_002557458.1
OG0000090	WP_011206231.1	WP_160605617.1
OG0000091	WP_146379447.1	WP_002557464.1
OG0000092	WP_160588122.1	WP_002557465.1
OG0000093	WP_160588120.1	WP_160605564.1
OG0000094	WP_160588118.1	WP_160605562.1
OG0000095	WP_011205849.1	WP_160581091.1
OG0000096	WP_160588116.1	WP_160605560.1
OG0000097	WP_011205847.1	WP_002557471.1
OG0000098	WP_160588114.1	WP_002557472.1
OG0000099	WP_014579519.1	WP_002557473.1
OG0000100	WP_160588108.1	WP_002557477.1
OG0000101	WP_160588106.1	WP_002557478.1
OG0000102	WP_044272251.1	WP_160605558.1
OG0000103	WP_011206529.1	WP_002557480.1
OG0000104	WP_160588104.1	WP_160605556.1
OG0000105	WP_258555298.1	WP_002557483.1
