#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_021831.1:8024-9025|+     -            334 1633at2085           -            266   4.3e-99  326.6  14.3   1   1   3.7e-99   5.2e-97  319.8  14.3     9   265    21   326    16   327 0.86 NC_021831.1_8 # 8024 # 9025 # 1 # ID=1_8;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.322
NC_021831.1:68320-69642|+   -            441 1633at2085           -            266   1.2e-42  141.6   9.3   1   3      0.23        32   -0.8   0.4    11    62    14    62     5    91 0.40 NC_021831.1_62 # 68320 # 69642 # 1 # ID=1_62;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.313
NC_021831.1:68320-69642|+   -            441 1633at2085           -            266   1.2e-42  141.6   9.3   2   3   8.4e-45   1.2e-42  141.6   9.3    52   257    74   287    27   294 0.86 NC_021831.1_62 # 68320 # 69642 # 1 # ID=1_62;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.313
NC_021831.1:68320-69642|+   -            441 1633at2085           -            266   1.2e-42  141.6   9.3   3   3      0.67        94   -2.3   0.1    56    72   362   378   326   385 0.51 NC_021831.1_62 # 68320 # 69642 # 1 # ID=1_62;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.313
NC_021831.1:91640-91984|+   -            115 1633at2085           -            266    0.0011   13.8   3.1   1   2    0.0011      0.16    6.7   0.8    77   104     2    29     1    32 0.92 NC_021831.1_76 # 91640 # 91984 # 1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.313
NC_021831.1:91640-91984|+   -            115 1633at2085           -            266    0.0011   13.8   3.1   2   2   0.00052     0.073    7.8   0.1   142   193    45    93    29   102 0.78 NC_021831.1_76 # 91640 # 91984 # 1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.313
NC_021831.1:329564-330466|+ -            301 1633at2085           -            266    0.0018   13.1   2.4   1   2   1.9e-05    0.0026   12.6   0.3    52    97     8    53     1    58 0.85 NC_021831.1_291 # 329564 # 330466 # 1 # ID=1_291;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.306
NC_021831.1:329564-330466|+ -            301 1633at2085           -            266    0.0018   13.1   2.4   2   2      0.14        19   -0.1   0.1    19    60    87   129    73   147 0.74 NC_021831.1_291 # 329564 # 330466 # 1 # ID=1_291;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.306
NC_021831.1:799197-799616|- -            140 1633at2085           -            266     0.002   12.9   1.4   1   1   2.5e-05    0.0035   12.2   1.4    60   100    17    59     4    67 0.73 NC_021831.1_640 # 799197 # 799616 # -1 # ID=1_640;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.245
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/7422/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1633at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/7422/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/7422/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/1633at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/7422/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1633at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/7422/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/7422/Use
# Date:            Thu Nov 28 19:24:42 2024
# [ok]
