#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000008:5909-6910|-   -            334 1633at2085           -            266   5.1e-99  326.5  14.4   1   1   4.1e-99   6.3e-97  319.6  14.4     9   265    21   326    16   327 0.87 scf00000008_9 # 5909 # 6910 # -1 # ID=9_9;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.320
scf00000000:45843-47165|+ -            441 1633at2085           -            266   1.3e-42  141.6   9.3   1   3      0.23        35   -0.8   0.4    11    62    14    62     5    91 0.40 scf00000000_43 # 45843 # 47165 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.311
scf00000000:45843-47165|+ -            441 1633at2085           -            266   1.3e-42  141.6   9.3   2   3   8.4e-45   1.3e-42  141.6   9.3    52   257    74   287    27   294 0.86 scf00000000_43 # 45843 # 47165 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.311
scf00000000:45843-47165|+ -            441 1633at2085           -            266   1.3e-42  141.6   9.3   3   3      0.67     1e+02   -2.3   0.1    56    72   362   378   326   385 0.51 scf00000000_43 # 45843 # 47165 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.311
seq00000162:9207-9626|+   -            140 1633at2085           -            266    0.0015   13.5   0.9   1   1   1.6e-05    0.0025   12.8   0.9    60   100    17    59     3    67 0.72 seq00000162_5 # 9207 # 9626 # 1 # ID=41_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.245
scf00000000:69143-69679|+ -            179 1633at2085           -            266    0.0018   13.3   1.3   1   2    0.0016      0.24    6.3   0.3    77   104     2    29     1    33 0.92 scf00000000_57 # 69143 # 69679 # 1 # ID=1_57;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.520
scf00000000:69143-69679|+ -            179 1633at2085           -            266    0.0018   13.3   1.3   2   2    0.0016      0.25    6.2   0.0   146   193    46    93    35   101 0.78 scf00000000_57 # 69143 # 69679 # 1 # ID=1_57;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.520
scf00000004:21886-22788|- -            301 1633at2085           -            266     0.002   13.1   2.4   1   2   1.9e-05    0.0029   12.6   0.3    52    97     8    53     1    58 0.85 scf00000004_18 # 21886 # 22788 # -1 # ID=5_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.308
scf00000004:21886-22788|- -            301 1633at2085           -            266     0.002   13.1   2.4   2   2      0.14        21   -0.1   0.1    19    60    87   129    73   147 0.74 scf00000004_18 # 21886 # 22788 # -1 # ID=5_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.308
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/TB1/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1633at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/TB1/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/TB1/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/1633at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/TB1/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1633at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/TB1/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/TB1/Use
# Date:            Thu Nov 28 19:41:01 2024
# [ok]
