HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N30.HOG0000000	OG0000000	n5																		MHP168L_RS02190	MHP168_RS02175									MHJ_RS02155													B5M19_RS04470			
N30.HOG0000001	OG0000000	n58																												MHJ_RS02070																
N30.HOG0000002	OG0000000	n203																		MHP168L_RS03890										MHJ_RS02065, MHJ_RS03895																
N30.HOG0000003	OG0000000	n217																		MHP168L_RS02335	MHP168_RS02315									MHJ_RS02265													B5M19_RS03770			
N30.HOG0000004	OG0000000	n239																		MHP168L_RS02340																										
N30.HOG0000005	OG0000000	n279																												MHJ_RS01665													B5M19_RS02095			
N30.HOG0000006	OG0000000	n283																		MHP168L_RS03865																										
N30.HOG0000007	OG0000000	n317																		MHP168L_RS01715	MHP168_RS01690									MHJ_RS01670													B5M19_RS02100			
N30.HOG0000008	OG0000001	n12																		MHP168L_RS01370	MHP168_RS01365																						B5M19_RS02595			
N30.HOG0000009	OG0000001	n25																												MHJ_RS01255																
N30.HOG0000010	OG0000001	n37																		MHP168L_RS03950	MHP168_RS03950									MHJ_RS01250													B5M19_RS04385			
N30.HOG0000011	OG0000001	n57																		MHP168L_RS02830	MHP168_RS02805									MHJ_RS02765													B5M19_RS02555			
N30.HOG0000012	OG0000001	n78																												MHJ_RS03940																
N30.HOG0000013	OG0000001	n91																		MHP168L_RS02780	MHP168_RS02755																						B5M19_RS02505			
N30.HOG0000014	OG0000001	n97																		MHP168L_RS02785	MHP168_RS02760									MHJ_RS02710													B5M19_RS02510			
N30.HOG0000015	OG0000002	n16																		MHP168L_RS04010	MHP168_RS03985									MHJ_RS03585													B5M19_RS04465			
N30.HOG0000016	OG0000002	n32																		MHP168L_RS03840																										
N30.HOG0000017	OG0000002	n38																			MHP168_RS03895									MHJ_RS03670													B5M19_RS04625			
N30.HOG0000018	OG0000002	n64																												MHJ_RS02080																
N30.HOG0000019	OG0000002	n95																		MHP168L_RS01710	MHP168_RS01665, MHP168_RS01685									MHJ_RS01675													B5M19_RS02105			
N30.HOG0000020	OG0000003	n25																		MHP168L_RS01860	MHP168_RS01845																									
N30.HOG0000021	OG0000003	n30																												MHJ_RS01710																
N30.HOG0000022	OG0000003	n37																		MHP168L_RS00485	MHP168_RS00480									MHJ_RS00485													B5M19_RS04550			
N30.HOG0000023	OG0000003	n80																												MHJ_RS03880																
N30.HOG0000024	OG0000003	n85																												MHJ_RS03890																
N30.HOG0000025	OG0000003	n110																												MHJ_RS03885																
N30.HOG0000026	OG0000003	n118																		MHP168L_RS03875	MHP168_RS03875									MHJ_RS01795													B5M19_RS03885			
N30.HOG0000027	OG0000004	n5																		MHP168L_RS03190	MHP168_RS03180									MHJ_RS03175																
N30.HOG0000028	OG0000004	n25																												MHJ_RS03165																
N30.HOG0000029	OG0000004	n36																		MHP168L_RS03195										MHJ_RS03180																
N30.HOG0000030	OG0000004	n51																		MHP168L_RS03205	MHP168_RS03190									MHJ_RS03190													B5M19_RS04240			
N30.HOG0000031	OG0000004	n97																		MHP168L_RS03030										MHJ_RS02980																
N30.HOG0000032	OG0000004	n102																												MHJ_RS02995																
N30.HOG0000033	OG0000005	n1																		MHP168L_RS00090	MHP168_RS00085									MHJ_RS00090													B5M19_RS00020			
N30.HOG0000034	OG0000005	n52																		MHP168L_RS00100	MHP168_RS00095									MHJ_RS00095													B5M19_RS00030			
N30.HOG0000035	OG0000005	n83																		MHP168L_RS00105	MHP168_RS00100, MHP168_RS03905																						B5M19_RS04005, B5M19_RS04010			
N30.HOG0000036	OG0000005	n92																												MHJ_RS00100																
N30.HOG0000037	OG0000006	n11																		MHP168L_RS02535	MHP168_RS02510									MHJ_RS03920													B5M19_RS03635			
N30.HOG0000038	OG0000006	n25																		MHP168L_RS02530	MHP168_RS02505									MHJ_RS03915													B5M19_RS03630			
N30.HOG0000039	OG0000006	n58																		MHP168L_RS02345	MHP168_RS02320																						B5M19_RS03605			
N30.HOG0000040	OG0000006	n87																		MHP168L_RS02380	MHP168_RS02355									MHJ_RS02300													B5M19_RS02695			
N30.HOG0000041	OG0000006	n104																												MHJ_RS02270																
N30.HOG0000042	OG0000006	n110																		MHP168L_RS02525	MHP168_RS02500									MHJ_RS03910																
N30.HOG0000043	OG0000007	n13																												MHJ_RS02140																
N30.HOG0000044	OG0000007	n32																												MHJ_RS02135																
N30.HOG0000045	OG0000007	n45																												MHJ_RS02130																
N30.HOG0000046	OG0000008	n2																		MHP168L_RS02330	MHP168_RS02310									MHJ_RS03790													B5M19_RS03790			
N30.HOG0000047	OG0000008	n35																		MHP168L_RS01795	MHP168_RS01780									MHJ_RS03850													B5M19_RS03340			
N30.HOG0000048	OG0000008	n71																												MHJ_RS03925																
N30.HOG0000049	OG0000008	n89																		MHP168L_RS04025	MHP168_RS04005																						B5M19_RS04540			
N30.HOG0000050	OG0000009	n2																		MHP168L_RS00990	MHP168_RS00985									MHJ_RS00650													B5M19_RS04475			
N30.HOG0000051	OG0000009	n25																												MHJ_RS03830																
N30.HOG0000052	OG0000009	n38																		MHP168L_RS03915	MHP168_RS00975									MHJ_RS00660													B5M19_RS04265			
N30.HOG0000053	OG0000009	n57																		MHP168L_RS03920																										
N30.HOG0000054	OG0000010	n3																		MHP168L_RS01950	MHP168_RS01930									MHJ_RS01805													B5M19_RS00670			
N30.HOG0000055	OG0000010	n38																		MHP168L_RS01650	MHP168_RS01645																						B5M19_RS03275			
N30.HOG0000056	OG0000010	n44																												MHJ_RS01530																
N30.HOG0000057	OG0000010	n72																		MHP168L_RS00085	MHP168_RS00080									MHJ_RS00085													B5M19_RS00015			
N30.HOG0000058	OG0000011	n10																		MHP168L_RS03995	MHP168_RS04085									MHJ_RS04005													B5M19_RS04080			
N30.HOG0000059	OG0000011	n37																		MHP168L_RS03990	MHP168_RS02020									MHJ_RS01900													B5M19_RS00770			
N30.HOG0000060	OG0000011	n51																		MHP168L_RS02035	MHP168_RS02015									MHJ_RS01895													B5M19_RS00765			
N30.HOG0000061	OG0000012	n4																												MHJ_RS02915																
N30.HOG0000062	OG0000012	n26																												MHJ_RS01680, MHJ_RS02630, MHJ_RS02860																
N30.HOG0000063	OG0000012	n31																		MHP168L_RS01405, MHP168L_RS02220, MHP168L_RS03040	MHP168_RS01400, MHP168_RS02105, MHP168_RS03590									MHJ_RS02345													B5M19_RS03815			
N30.HOG0000064	OG0000012	n41																												MHJ_RS01775																
N30.HOG0000065	OG0000013	n1																		MHP168L_RS02430	MHP168_RS02405									MHJ_RS02355													B5M19_RS02640			
N30.HOG0000066	OG0000013	n47																		MHP168L_RS03905	MHP168_RS03910									MHJ_RS03825													B5M19_RS00100			
N30.HOG0000067	OG0000014	n30																		MHP168L_RS01070	MHP168_RS01070									MHJ_RS01060													B5M19_RS03715			
N30.HOG0000068	OG0000014	n57																		MHP168L_RS01055	MHP168_RS01055									MHJ_RS00590													B5M19_RS03505			
N30.HOG0000069	OG0000015	n6																		MHP168L_RS04080	MHP168_RS04045									MHJ_RS03980																
N30.HOG0000070	OG0000015	n11																		MHP168L_RS03530	MHP168_RS03520																						B5M19_RS02855			
N30.HOG0000071	OG0000015	n24																		MHP168L_RS01270	MHP168_RS01265																						B5M19_RS02335			
N30.HOG0000072	OG0000015	n36																		MHP168L_RS01665	MHP168_RS03815																						B5M19_RS03260			
N30.HOG0000073	OG0000016	n1																		MHP168L_RS02870	MHP168_RS02850									MHJ_RS02810													B5M19_RS01425			
N30.HOG0000074	OG0000016	n36																		MHP168L_RS00150	MHP168_RS00145									MHJ_RS00145													B5M19_RS00080, B5M19_RS04015			
N30.HOG0000075	OG0000017	n1																		MHP168L_RS00135	MHP168_RS00130									MHJ_RS00130													B5M19_RS00065			
N30.HOG0000076	OG0000017	n16																		MHP168L_RS02880	MHP168_RS02860									MHJ_RS02820													B5M19_RS01415			
N30.HOG0000077	OG0000018	n26																		MHP168L_RS01250	MHP168_RS01245																						B5M19_RS02315			
N30.HOG0000078	OG0000018	n37																		MHP168L_RS04065	MHP168_RS04035																						B5M19_RS04450			
N30.HOG0000079	OG0000018	n54																		MHP168L_RS04060	MHP168_RS04030																						B5M19_RS04445			
N30.HOG0000080	OG0000018	n68																		MHP168L_RS01415	MHP168_RS01410																						B5M19_RS04150			
N30.HOG0000081	OG0000019	n4																			MHP168_RS03020																									
N30.HOG0000082	OG0000019	n26																		MHP168L_RS04055										MHJ_RS03950																
N30.HOG0000083	OG0000019	n82																			MHP168_RS03015																									
N30.HOG0000084	OG0000020	n1																		MHP168L_RS03590	MHP168_RS03580									MHJ_RS03515													B5M19_RS04305			
N30.HOG0000085	OG0000020	n60																		MHP168L_RS03595	MHP168_RS03585									MHJ_RS03995													B5M19_RS02010			
N30.HOG0000086	OG0000021	n11																		MHP168L_RS01865	MHP168_RS01850																						B5M19_RS00590			
N30.HOG0000087	OG0000021	n24																		MHP168L_RS00495, MHP168L_RS01790	MHP168_RS00490, MHP168_RS01775									MHJ_RS00495																
N30.HOG0000088	OG0000021	n33																		MHP168L_RS00490	MHP168_RS00485									MHJ_RS00490																
N30.HOG0000089	OG0000021	n51																		MHP168L_RS02360	MHP168_RS02335																									
N30.HOG0000090	OG0000022	n1																		MHP168L_RS01775	MHP168_RS01760									MHJ_RS01610													B5M19_RS02040			
N30.HOG0000091	OG0000022	n33																		MHP168L_RS01725	MHP168_RS01710									MHJ_RS01660													B5M19_RS02090			
N30.HOG0000092	OG0000023	n21																												MHJ_RS01290																
N30.HOG0000093	OG0000023	n33																		MHP168L_RS01410	MHP168_RS01405																						B5M19_RS01255			
N30.HOG0000094	OG0000023	n37																		MHP168L_RS03930	MHP168_RS03930																						B5M19_RS04365			
N30.HOG0000095	OG0000023	n52																		MHP168L_RS03545	MHP168_RS03535																									
N30.HOG0000096	OG0000024	n8																		MHP168L_RS02775	MHP168_RS02750									MHJ_RS02705													B5M19_RS02500			
N30.HOG0000097	OG0000024	n33																		MHP168L_RS03940, MHP168L_RS03945	MHP168_RS03940, MHP168_RS03945									MHJ_RS01245													B5M19_RS04390, B5M19_RS04395			
N30.HOG0000098	OG0000025	n1																		MHP168L_RS01770	MHP168_RS01755									MHJ_RS01615													B5M19_RS04315			
N30.HOG0000099	OG0000025	n32																		MHP168L_RS01730	MHP168_RS01715									MHJ_RS01655													B5M19_RS02085			
N30.HOG0000100	OG0000026	n5																		MHP168L_RS01455	MHP168_RS01450									MHJ_RS01335													B5M19_RS01210			
N30.HOG0000101	OG0000026	n19																		MHP168L_RS01750	MHP168_RS01735									MHJ_RS01635													B5M19_RS02065			
N30.HOG0000102	OG0000027	n1																		MHP168L_RS03825	MHP168_RS03845									MHJ_RS03750													B5M19_RS00565			
N30.HOG0000103	OG0000027	n21																		MHP168L_RS03345	MHP168_RS03330									MHJ_RS03330													B5M19_RS00550			
N30.HOG0000104	OG0000028	n8																		MHP168L_RS02440, MHP168L_RS02445	MHP168_RS02415, MHP168_RS02420									MHJ_RS02365, MHJ_RS02370													B5M19_RS02460, B5M19_RS02465, B5M19_RS02470, B5M19_RS02475, B5M19_RS04380			
N30.HOG0000105	OG0000029	n9																		MHP168L_RS00580	MHP168_RS00575									MHJ_RS01055													B5M19_RS03200			
N30.HOG0000106	OG0000029	n41																		MHP168L_RS01050	MHP168_RS01050									MHJ_RS00595													B5M19_RS03510, B5M19_RS04520			
N30.HOG0000107	OG0000030	n8																		MHP168L_RS03325	MHP168_RS03310									MHJ_RS03310													B5M19_RS00570			
N30.HOG0000108	OG0000030	n33																		MHP168L_RS03340	MHP168_RS03325									MHJ_RS03325													B5M19_RS00555			
N30.HOG0000109	OG0000031	n10																																									B5M19_RS04360			
N30.HOG0000110	OG0000031	n12																		MHP168L_RS03575	MHP168_RS03565																									
N30.HOG0000111	OG0000031	n22																		MHP168L_RS01215	MHP168_RS01210																									
N30.HOG0000112	OG0000031	n23																		MHP168L_RS01830	MHP168_RS01815									MHJ_RS01560													B5M19_RS03305			
N30.HOG0000113	OG0000032	n25																		MHP168L_RS03335	MHP168_RS03320									MHJ_RS03320													B5M19_RS00560			
N30.HOG0000114	OG0000033	n5																												MHJ_RS03900																
N30.HOG0000115	OG0000033	n7																		MHP168L_RS02435	MHP168_RS02410									MHJ_RS03905													B5M19_RS02455, B5M19_RS04375			
N30.HOG0000116	OG0000035	n1																		MHP168L_RS03200	MHP168_RS03185									MHJ_RS03170													B5M19_RS01610			
N30.HOG0000117	OG0000035	n34																		MHP168L_RS03185	MHP168_RS03170																						B5M19_RS04235			
N30.HOG0000118	OG0000035	n36																												MHJ_RS03160																
N30.HOG0000119	OG0000036	n2																		MHP168L_RS00110	MHP168_RS00105																						B5M19_RS00040			
N30.HOG0000120	OG0000037	n3																												MHJ_RS03820																
N30.HOG0000121	OG0000037	n39																		MHP168L_RS01845	MHP168_RS01830																						B5M19_RS04485, B5M19_RS04490			
N30.HOG0000122	OG0000038	n39																		MHP168L_RS00480										MHJ_RS00480																
N30.HOG0000123	OG0000038	n40																		MHP168L_RS01855	MHP168_RS01840									MHJ_RS01705																
N30.HOG0000124	OG0000039	n43																		MHP168L_RS01815	MHP168_RS01800																						B5M19_RS03320			
