HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N7.HOG0000000	OG0000000	n3													ABKJ22_RS02270																															
N7.HOG0000001	OG0000000	n5													ABKJ22_RS02210								ABLE99_RS02150																							
N7.HOG0000002	OG0000000	n41																					ABLE99_RS02030																							
N7.HOG0000003	OG0000000	n94													ABKJ22_RS02260, ABKJ22_RS02265								ABLE99_RS02215																							
N7.HOG0000004	OG0000000	n110													ABKJ22_RS02255																															
N7.HOG0000005	OG0000000	n139																					ABLE99_RS02220																							
N7.HOG0000006	OG0000000	n154																					ABLE99_RS02225																							
N7.HOG0000007	OG0000000	n254													ABKJ22_RS02275																															
N7.HOG0000008	OG0000000	n262													ABKJ22_RS02095																															
N7.HOG0000009	OG0000001	n11																					ABLE99_RS01250																							
N7.HOG0000010	OG0000001	n37													ABKJ22_RS01295																															
N7.HOG0000011	OG0000001	n50													ABKJ22_RS01300																															
N7.HOG0000012	OG0000001	n57																					ABLE99_RS02690																							
N7.HOG0000013	OG0000001	n78													ABKJ22_RS02690																															
N7.HOG0000014	OG0000001	n97													ABKJ22_RS02685																															
N7.HOG0000015	OG0000001	n118																					ABLE99_RS02645																							
N7.HOG0000016	OG0000002	n16													ABKJ22_RS02205								ABLE99_RS02040																							
N7.HOG0000017	OG0000002	n32																					ABLE99_RS02035																							
N7.HOG0000018	OG0000002	n64													ABKJ22_RS02250								ABLE99_RS02210																							
N7.HOG0000019	OG0000002	n95													ABKJ22_RS01720								ABLE99_RS01675																							
N7.HOG0000020	OG0000003	n12																					ABLE99_RS00505																							
N7.HOG0000021	OG0000003	n30																					ABLE99_RS01690																							
N7.HOG0000022	OG0000003	n37													ABKJ22_RS01780																															
N7.HOG0000023	OG0000003	n65													ABKJ22_RS00770																															
N7.HOG0000024	OG0000003	n85													ABKJ22_RS02215								ABLE99_RS02155																							
N7.HOG0000025	OG0000003	n133													ABKJ22_RS01825								ABLE99_RS01760																							
N7.HOG0000026	OG0000004	n5																					ABLE99_RS03080																							
N7.HOG0000027	OG0000004	n36																					ABLE99_RS03085																							
N7.HOG0000028	OG0000004	n51																					ABLE99_RS03095																							
N7.HOG0000029	OG0000004	n76																					ABLE99_RS02895																							
N7.HOG0000030	OG0000004	n106																					ABLE99_RS02925																							
N7.HOG0000031	OG0000004	n127																					ABLE99_RS02905																							
N7.HOG0000032	OG0000005	n1													ABKJ22_RS00095								ABLE99_RS00100																							
N7.HOG0000033	OG0000005	n32													ABKJ22_RS00115								ABLE99_RS00120																							
N7.HOG0000034	OG0000005	n52													ABKJ22_RS00100								ABLE99_RS00105																							
N7.HOG0000035	OG0000005	n92													ABKJ22_RS00105								ABLE99_RS00110																							
N7.HOG0000036	OG0000005	n113													ABKJ22_RS00120								ABLE99_RS00125																							
N7.HOG0000037	OG0000006	n20																					ABLE99_RS02400																							
N7.HOG0000038	OG0000006	n22													ABKJ22_RS02450																															
N7.HOG0000039	OG0000006	n48													ABKJ22_RS02445																															
N7.HOG0000040	OG0000006	n70													ABKJ22_RS02310								ABLE99_RS02260																							
N7.HOG0000041	OG0000006	n104													ABKJ22_RS02280								ABLE99_RS02230																							
N7.HOG0000042	OG0000007	n2													ABKJ22_RS00765																															
N7.HOG0000043	OG0000007	n13													ABKJ22_RS02220								ABLE99_RS02160																							
N7.HOG0000044	OG0000007	n32													ABKJ22_RS02225								ABLE99_RS02165																							
N7.HOG0000045	OG0000007	n45													ABKJ22_RS02230								ABLE99_RS02170																							
N7.HOG0000046	OG0000008	n2													ABKJ22_RS02100								ABLE99_RS02145																							
N7.HOG0000047	OG0000008	n35													ABKJ22_RS01635								ABLE99_RS01590																							
N7.HOG0000048	OG0000008	n73																					ABLE99_RS02405																							
N7.HOG0000049	OG0000008	n89													ABKJ22_RS02455																															
N7.HOG0000050	OG0000009	n2													ABKJ22_RS01035																															
N7.HOG0000051	OG0000009	n16													ABKJ22_RS00085								ABLE99_RS00085																							
N7.HOG0000052	OG0000009	n25													ABKJ22_RS01210																															
N7.HOG0000053	OG0000009	n35													ABKJ22_RS01020								ABLE99_RS00995																							
N7.HOG0000054	OG0000010	n3													ABKJ22_RS01835								ABLE99_RS01770																							
N7.HOG0000055	OG0000011	n10													ABKJ22_RS01925								ABLE99_RS01865																							
N7.HOG0000056	OG0000011	n51													ABKJ22_RS01920								ABLE99_RS01860																							
N7.HOG0000057	OG0000012	n31																					ABLE99_RS02305																							
N7.HOG0000058	OG0000012	n59													ABKJ22_RS01200																															
N7.HOG0000059	OG0000012	n71													ABKJ22_RS03420																															
N7.HOG0000060	OG0000013	n1													ABKJ22_RS02355								ABLE99_RS02310																							
N7.HOG0000061	OG0000013	n47													ABKJ22_RS00180																															
N7.HOG0000062	OG0000014	n10													ABKJ22_RS00595								ABLE99_RS00590																							
N7.HOG0000063	OG0000014	n30													ABKJ22_RS01105																															
N7.HOG0000064	OG0000014	n57													ABKJ22_RS01095								ABLE99_RS01060																							
N7.HOG0000065	OG0000015	n22													ABKJ22_RS01630																															
N7.HOG0000066	OG0000015	n36													ABKJ22_RS01575								ABLE99_RS01525																							
N7.HOG0000067	OG0000015	n50																					ABLE99_RS01585																							
N7.HOG0000068	OG0000016	n1													ABKJ22_RS02785								ABLE99_RS02735																							
N7.HOG0000069	OG0000016	n33													ABKJ22_RS00165								ABLE99_RS00170																							
N7.HOG0000070	OG0000017	n1													ABKJ22_RS00150								ABLE99_RS00155																							
N7.HOG0000071	OG0000017	n16													ABKJ22_RS02795								ABLE99_RS02745																							
N7.HOG0000072	OG0000018	n18													ABKJ22_RS01340								ABLE99_RS01290																							
N7.HOG0000073	OG0000019	n8													ABKJ22_RS02945																															
N7.HOG0000074	OG0000019	n33																					ABLE99_RS02920																							
N7.HOG0000075	OG0000019	n42																					ABLE99_RS02915																							
N7.HOG0000076	OG0000019	n46																					ABLE99_RS02900																							
N7.HOG0000077	OG0000019	n75																					ABLE99_RS02930																							
N7.HOG0000078	OG0000020	n1													ABKJ22_RS03435								ABLE99_RS03410																							
N7.HOG0000079	OG0000020	n37													ABKJ22_RS03440								ABLE99_RS03415																							
N7.HOG0000080	OG0000021	n11																					ABLE99_RS01695																							
N7.HOG0000081	OG0000021	n33													ABKJ22_RS01740																															
N7.HOG0000082	OG0000021	n46													ABKJ22_RS00510																															
N7.HOG0000083	OG0000022	n1													ABKJ22_RS01655								ABLE99_RS01610																							
N7.HOG0000084	OG0000022	n33													ABKJ22_RS01710								ABLE99_RS01665																							
N7.HOG0000085	OG0000023	n21													ABKJ22_RS01335																															
N7.HOG0000086	OG0000024	n8													ABKJ22_RS02680								ABLE99_RS02635																							
N7.HOG0000087	OG0000024	n33													ABKJ22_RS01290								ABLE99_RS01245																							
N7.HOG0000088	OG0000025	n1													ABKJ22_RS01660								ABLE99_RS01615																							
N7.HOG0000089	OG0000025	n32													ABKJ22_RS01705								ABLE99_RS01660																							
N7.HOG0000090	OG0000026	n5													ABKJ22_RS01380								ABLE99_RS01330																							
N7.HOG0000091	OG0000026	n19													ABKJ22_RS01685								ABLE99_RS01640																							
N7.HOG0000092	OG0000027	n1													ABKJ22_RS03225								ABLE99_RS03220																							
N7.HOG0000093	OG0000027	n21													ABKJ22_RS03240																															
N7.HOG0000094	OG0000028	n46																					ABLE99_RS02320																							
N7.HOG0000095	OG0000028	n66													ABKJ22_RS02365																															
N7.HOG0000096	OG0000029	n9													ABKJ22_RS00600								ABLE99_RS00595																							
N7.HOG0000097	OG0000029	n41													ABKJ22_RS01090																															
N7.HOG0000098	OG0000030	n8													ABKJ22_RS03215								ABLE99_RS03215																							
N7.HOG0000099	OG0000030	n33													ABKJ22_RS03235																															
N7.HOG0000100	OG0000031	n23													ABKJ22_RS01605								ABLE99_RS01555																							
N7.HOG0000101	OG0000032	n3													ABKJ22_RS01585								ABLE99_RS01535																							
N7.HOG0000102	OG0000032	n24													ABKJ22_RS03230																															
N7.HOG0000103	OG0000033	n53													ABKJ22_RS02360								ABLE99_RS02315																							
N7.HOG0000104	OG0000034	n1																					ABLE99_RS02185																							
N7.HOG0000105	OG0000034	n8													ABKJ22_RS02240																															
N7.HOG0000106	OG0000034	n11																					ABLE99_RS02190																							
N7.HOG0000107	OG0000034	n32													ABKJ22_RS02235								ABLE99_RS02175																							
N7.HOG0000108	OG0000035	n1																					ABLE99_RS03090																							
N7.HOG0000109	OG0000035	n36													ABKJ22_RS03095																															
N7.HOG0000110	OG0000036	n21													ABKJ22_RS00110								ABLE99_RS00115																							
N7.HOG0000111	OG0000036	n27													ABKJ22_RS00125								ABLE99_RS00130																							
N7.HOG0000112	OG0000037	n3																					ABLE99_RS01540																							
N7.HOG0000113	OG0000038	n8													ABKJ22_RS01775																															
N7.HOG0000114	OG0000038	n17																					ABLE99_RS00495																							
N7.HOG0000115	OG0000038	n25													ABKJ22_RS00505																															
N7.HOG0000116	OG0000038	n27													ABKJ22_RS01735								ABLE99_RS01685																							
N7.HOG0000117	OG0000039	n29																					ABLE99_RS01570																							
N7.HOG0000118	OG0000039	n36																					ABLE99_RS01565																							
N7.HOG0000119	OG0000040	n0													ABKJ22_RS03165								ABLE99_RS03165																							
N7.HOG0000120	OG0000041	n9													ABKJ22_RS01030																															
N7.HOG0000121	OG0000041	n22																					ABLE99_RS01155																							
N7.HOG0000122	OG0000042	n43													ABKJ22_RS02880								ABLE99_RS02830																							
N7.HOG0000123	OG0000043	n0													ABKJ22_RS01890								ABLE99_RS01830																							
N7.HOG0000124	OG0000044	n1													ABKJ22_RS01670								ABLE99_RS01625																							
N7.HOG0000125	OG0000044	n6																					ABLE99_RS01720																							
N7.HOG0000126	OG0000045	n0													ABKJ22_RS01620								ABLE99_RS01575																							
N7.HOG0000127	OG0000046	n36																					ABLE99_RS03195																							
N7.HOG0000128	OG0000048	n0													ABKJ22_RS02075								ABLE99_RS02015																							
N7.HOG0000129	OG0000049	n0													ABKJ22_RS02955								ABLE99_RS02940																							
N7.HOG0000130	OG0000050	n0													ABKJ22_RS02395								ABLE99_RS02350																							
N7.HOG0000131	OG0000051	n9													ABKJ22_RS02600								ABLE99_RS02550																							
N7.HOG0000132	OG0000052	n0													ABKJ22_RS00075								ABLE99_RS00075																							
N7.HOG0000133	OG0000053	n0													ABKJ22_RS01465								ABLE99_RS01415																							
N7.HOG0000134	OG0000054	n0													ABKJ22_RS02420								ABLE99_RS02375																							
N7.HOG0000135	OG0000055	n0													ABKJ22_RS00130								ABLE99_RS00135																							
N7.HOG0000136	OG0000056	n0													ABKJ22_RS03415								ABLE99_RS03395																							
N7.HOG0000137	OG0000057	n0													ABKJ22_RS02865								ABLE99_RS02815																							
N7.HOG0000138	OG0000060	n11																					ABLE99_RS01160																							
N7.HOG0000139	OG0000060	n21													ABKJ22_RS00080																															
N7.HOG0000140	OG0000061	n7													ABKJ22_RS01845								ABLE99_RS01780																							
N7.HOG0000141	OG0000062	n0													ABKJ22_RS03470								ABLE99_RS03445																							
N7.HOG0000142	OG0000063	n0													ABKJ22_RS03465								ABLE99_RS03440																							
N7.HOG0000143	OG0000064	n0													ABKJ22_RS03455								ABLE99_RS03430																							
N7.HOG0000144	OG0000065	n0													ABKJ22_RS02160								ABLE99_RS02085																							
N7.HOG0000145	OG0000066	n7													ABKJ22_RS01370								ABLE99_RS01320																							
N7.HOG0000146	OG0000067	n13													ABKJ22_RS00525								ABLE99_RS00520																							
N7.HOG0000147	OG0000068	n0													ABKJ22_RS01055								ABLE99_RS01015																							
N7.HOG0000148	OG0000069	n0													ABKJ22_RS02760								ABLE99_RS02710																							
N7.HOG0000149	OG0000070	n0													ABKJ22_RS02425								ABLE99_RS02380																							
N7.HOG0000150	OG0000071	n0													ABKJ22_RS03155								ABLE99_RS03155																							
N7.HOG0000151	OG0000072	n0													ABKJ22_RS03160								ABLE99_RS03160																							
N7.HOG0000152	OG0000073	n0													ABKJ22_RS00995								ABLE99_RS00970																							
N7.HOG0000153	OG0000074	n6													ABKJ22_RS00800								ABLE99_RS00775																							
N7.HOG0000154	OG0000076	n3													ABKJ22_RS00350								ABLE99_RS00355																							
N7.HOG0000155	OG0000077	n0													ABKJ22_RS00445								ABLE99_RS00440																							
N7.HOG0000156	OG0000078	n40																					ABLE99_RS01630																							
