HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N21.HOG0000000	OG0000000	n2																																		DR097_RS02690										
N21.HOG0000001	OG0000000	n58																																						DR100_RS02520						
N21.HOG0000002	OG0000000	n139																																						DR100_RS02515						
N21.HOG0000003	OG0000000	n203																																						DR100_RS04325						
N21.HOG0000004	OG0000000	n227																																						DR100_RS03595						
N21.HOG0000005	OG0000000	n238																																						DR100_RS04515						
N21.HOG0000006	OG0000000	n262																																		DR097_RS03725										
N21.HOG0000007	OG0000000	n274																																						DR100_RS04215						
N21.HOG0000008	OG0000000	n317																																		DR097_RS01835				DR100_RS04210						
N21.HOG0000009	OG0000001	n35																																						DR100_RS03930						
N21.HOG0000010	OG0000001	n50																																		DR097_RS00335										
N21.HOG0000011	OG0000001	n57																																		DR097_RS04145				DR100_RS01790						
N21.HOG0000012	OG0000001	n113																																		DR097_RS04155				DR100_RS03285						
N21.HOG0000013	OG0000001	n118																																						DR100_RS03280						
N21.HOG0000014	OG0000002	n14																																						DR100_RS04380						
N21.HOG0000015	OG0000002	n16																																		DR097_RS02700										
N21.HOG0000016	OG0000002	n38																																		DR097_RS02695										
N21.HOG0000017	OG0000002	n64																																		DR097_RS04855				DR100_RS04890						
N21.HOG0000018	OG0000002	n95																																		DR097_RS04675				DR100_RS04740						
N21.HOG0000019	OG0000003	n42																																		DR097_RS04955				DR100_RS03640						
N21.HOG0000020	OG0000003	n65																																		DR097_RS04850				DR100_RS04610						
N21.HOG0000021	OG0000003	n80																																						DR100_RS04485						
N21.HOG0000022	OG0000003	n88																																		DR097_RS04840				DR100_RS04885						
N21.HOG0000023	OG0000003	n118																																		DR097_RS03830				DR100_RS03840						
N21.HOG0000024	OG0000004	n5																																		DR097_RS01330										
N21.HOG0000025	OG0000004	n25																																						DR100_RS03655						
N21.HOG0000026	OG0000004	n36																																						DR100_RS03585						
N21.HOG0000027	OG0000004	n51																																		DR097_RS01325				DR100_RS03555						
N21.HOG0000028	OG0000005	n1																																		DR097_RS02455				DR100_RS01100						
N21.HOG0000029	OG0000005	n32																																		DR097_RS04720				DR100_RS04620						
N21.HOG0000030	OG0000005	n52																																		DR097_RS02445				DR100_RS04630						
N21.HOG0000031	OG0000005	n92																																		DR097_RS02440				DR100_RS04625						
N21.HOG0000032	OG0000005	n113																																		DR097_RS04715				DR100_RS04615						
N21.HOG0000033	OG0000006	n22																																						DR100_RS04235						
N21.HOG0000034	OG0000006	n25																																						DR100_RS04230						
N21.HOG0000035	OG0000006	n45																																		DR097_RS04440										
N21.HOG0000036	OG0000006	n48																																						DR100_RS04240						
N21.HOG0000037	OG0000006	n81																																		DR097_RS02125										
N21.HOG0000038	OG0000007	n5																																		DR097_RS03480				DR100_RS01035						
N21.HOG0000039	OG0000007	n13																																		DR097_RS03435				DR100_RS03495, DR100_RS04495						
N21.HOG0000040	OG0000007	n28																																		DR097_RS03835				DR100_RS03820						
N21.HOG0000041	OG0000007	n32																																		DR097_RS03440				DR100_RS03500						
N21.HOG0000042	OG0000007	n45																																		DR097_RS03450				DR100_RS03510						
N21.HOG0000043	OG0000008	n35																																						DR100_RS03845						
N21.HOG0000044	OG0000008	n89																																		DR097_RS03625				DR100_RS03680						
N21.HOG0000045	OG0000009	n16																																		DR097_RS02470										
N21.HOG0000046	OG0000009	n25																																		DR097_RS00430				DR100_RS00110						
N21.HOG0000047	OG0000009	n35																																		DR097_RS01140				DR100_RS00780						
N21.HOG0000048	OG0000010	n3																																		DR097_RS02510				DR100_RS04925						
N21.HOG0000049	OG0000010	n37																																		DR097_RS04755				DR100_RS04770						
N21.HOG0000050	OG0000010	n58																																		DR097_RS04280				DR100_RS04285						
N21.HOG0000051	OG0000010	n62																																		DR097_RS02420										
N21.HOG0000052	OG0000010	n66																																		DR097_RS02450										
N21.HOG0000053	OG0000011	n10																																		DR097_RS00820				DR100_RS01970						
N21.HOG0000054	OG0000011	n51																																		DR097_RS00825				DR100_RS01975						
N21.HOG0000055	OG0000012	n53																																						DR100_RS01800						
N21.HOG0000056	OG0000012	n57																																		DR097_RS03825				DR100_RS03830						
N21.HOG0000057	OG0000013	n1																																		DR097_RS02175				DR100_RS02295						
N21.HOG0000058	OG0000013	n47																																		DR097_RS03895				DR100_RS03970						
N21.HOG0000059	OG0000014	n10																																		DR097_RS03860										
N21.HOG0000060	OG0000014	n30																																						DR100_RS03645						
N21.HOG0000061	OG0000014	n57																																		DR097_RS03370				DR100_RS04585						
N21.HOG0000062	OG0000015	n36																																		DR097_RS02000				DR100_RS01650						
N21.HOG0000063	OG0000016	n1																																		DR097_RS01165				DR100_RS01750						
N21.HOG0000064	OG0000016	n33																																		DR097_RS00270				DR100_RS00685						
N21.HOG0000065	OG0000017	n1																																		DR097_RS00285				DR100_RS00700						
N21.HOG0000066	OG0000017	n16																																		DR097_RS01175				DR100_RS01740						
N21.HOG0000067	OG0000018	n4																																		DR097_RS04665										
N21.HOG0000068	OG0000018	n18																																						DR100_RS04570						
N21.HOG0000069	OG0000018	n54																																		DR097_RS04695				DR100_RS04715						
N21.HOG0000070	OG0000019	n21																																						DR100_RS03760						
N21.HOG0000071	OG0000019	n68																																						DR100_RS03785						
N21.HOG0000072	OG0000019	n72																																						DR100_RS03745						
N21.HOG0000073	OG0000019	n82																																						DR100_RS03750						
N21.HOG0000074	OG0000019	n84																																		DR097_RS03615										
N21.HOG0000075	OG0000020	n1																																		DR097_RS04835				DR100_RS03705						
N21.HOG0000076	OG0000020	n37																																		DR097_RS04830				DR100_RS04650						
N21.HOG0000077	OG0000021	n51																																						DR100_RS03700						
N21.HOG0000078	OG0000022	n1																																		DR097_RS01895				DR100_RS02220						
N21.HOG0000079	OG0000022	n33																																		DR097_RS04680				DR100_RS04745						
N21.HOG0000080	OG0000023	n16																																		DR097_RS01710										
N21.HOG0000081	OG0000023	n21																																						DR100_RS00240						
N21.HOG0000082	OG0000023	n60																																		DR097_RS02020				DR100_RS01625						
N21.HOG0000083	OG0000024	n8																																		DR097_RS01795				DR100_RS03275						
N21.HOG0000084	OG0000024	n33																																		DR097_RS00345				DR100_RS00195						
N21.HOG0000085	OG0000025	n1																																		DR097_RS04685				DR100_RS04750						
N21.HOG0000086	OG0000025	n32																																		DR097_RS01845				DR100_RS02170						
N21.HOG0000087	OG0000026	n5																																		DR097_RS01665				DR100_RS00285						
N21.HOG0000088	OG0000026	n19																																		DR097_RS01865				DR100_RS02190						
N21.HOG0000089	OG0000027	n1																																		DR097_RS02965				DR100_RS04850						
N21.HOG0000090	OG0000027	n21																																		DR097_RS04560				DR100_RS04690						
N21.HOG0000091	OG0000028	n1																																		DR097_RS04690										
N21.HOG0000092	OG0000028	n47																																						DR100_RS02685						
N21.HOG0000093	OG0000028	n60																																						DR100_RS02310						
N21.HOG0000094	OG0000028	n72																																		DR097_RS01995, DR097_RS02880										
N21.HOG0000095	OG0000029	n9																																		DR097_RS02335				DR100_RS03520						
N21.HOG0000096	OG0000029	n41																																						DR100_RS00725						
N21.HOG0000097	OG0000030	n8																																		DR097_RS04775				DR100_RS04855						
N21.HOG0000098	OG0000030	n33																																		DR097_RS04565				DR100_RS04695						
N21.HOG0000099	OG0000031	n12																																		DR097_RS02075				DR100_RS01570						
N21.HOG0000100	OG0000031	n23																																		DR097_RS03120				DR100_RS03415						
N21.HOG0000101	OG0000032	n3																																		DR097_RS04795				DR100_RS03450						
N21.HOG0000102	OG0000032	n24																																		DR097_RS00730				DR100_RS03775						
N21.HOG0000103	OG0000033	n39																																		DR097_RS02885										
