HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N39.HOG0000000	OG0000000	n5	MFC_RS01410						DR085_RS03035	MYF_RS01330																																				
N39.HOG0000001	OG0000000	n43							DR085_RS03945	MYF_RS01525																																				
N39.HOG0000002	OG0000000	n53	MFC_RS01420																																											
N39.HOG0000003	OG0000000	n77								MYF_RS03375																																				
N39.HOG0000004	OG0000000	n94							DR085_RS02920																																					
N39.HOG0000005	OG0000000	n110								MYF_RS03215																																				
N39.HOG0000006	OG0000000	n139							DR085_RS03105																																					
N39.HOG0000007	OG0000000	n147							DR085_RS03010, DR085_RS03020																																					
N39.HOG0000008	OG0000000	n155							DR085_RS03040																																					
N39.HOG0000009	OG0000000	n159	MFC_RS00010							MYF_RS01460																																				
N39.HOG0000010	OG0000000	n184								MYF_RS01520, MYF_RS03370																																				
N39.HOG0000011	OG0000000	n186								MYF_RS01870, MYF_RS03435																																				
N39.HOG0000012	OG0000000	n294	MFC_RS00365						DR085_RS02470	MYF_RS03295																																				
N39.HOG0000013	OG0000001	n2	MFC_RS03350							MYF_RS03415																																				
N39.HOG0000014	OG0000001	n4							DR085_RS03235																																					
N39.HOG0000015	OG0000002	n2	MFC_RS03355						DR085_RS02740	MYF_RS03430																																				
N39.HOG0000016	OG0000002	n9	MFC_RS00395							MYF_RS01530																																				
N39.HOG0000017	OG0000002	n56							DR085_RS01945																																					
N39.HOG0000018	OG0000002	n64	MFC_RS02940						DR085_RS03895	MYF_RS01475																																				
N39.HOG0000019	OG0000002	n95	MFC_RS00370						DR085_RS03805	MYF_RS03010																																				
N39.HOG0000020	OG0000003	n85	MFC_RS02995						DR085_RS03550	MYF_RS01515																																				
N39.HOG0000021	OG0000003	n110							DR085_RS03885																																					
N39.HOG0000022	OG0000004	n76								MYF_RS02520																																				
N39.HOG0000023	OG0000004	n120	MFC_RS00155							MYF_RS02535, MYF_RS02545																																				
N39.HOG0000024	OG0000007	n13	MFC_RS02975						DR085_RS02890	MYF_RS01510																																				
N39.HOG0000025	OG0000007	n32	MFC_RS02970						DR085_RS02895	MYF_RS01505																																				
N39.HOG0000026	OG0000007	n45	MFC_RS02965						DR085_RS03890	MYF_RS01500																																				
