HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N15.HOG0000000	OG0000000	n2										NBX26_RS01900																																		
N15.HOG0000001	OG0000000	n94									NB623_RS01020	NBX26_RS01015																																		
N15.HOG0000002	OG0000000	n125										NBX26_RS01025																																		
N15.HOG0000003	OG0000000	n154									NB623_RS01025	NBX26_RS01020, NBX26_RS01030																																		
N15.HOG0000004	OG0000000	n177									NB623_RS01030	NBX26_RS01035																																		
N15.HOG0000005	OG0000000	n199									NB623_RS01855																																			
N15.HOG0000006	OG0000000	n203										NBX26_RS01905																																		
N15.HOG0000007	OG0000000	n217									NB623_RS02460	NBX26_RS02470																																		
N15.HOG0000008	OG0000000	n283									NB623_RS01845																																			
N15.HOG0000009	OG0000000	n294									NB623_RS01850																																			
N15.HOG0000010	OG0000000	n317									NB623_RS01865	NBX26_RS01860																																		
N15.HOG0000011	OG0000001	n31									NB623_RS01400	NBX26_RS01405																																		
N15.HOG0000012	OG0000001	n57									NB623_RS02960	NBX26_RS02970																																		
N15.HOG0000013	OG0000001	n91									NB623_RS02915	NBX26_RS02925																																		
N15.HOG0000014	OG0000001	n97									NB623_RS02910	NBX26_RS02920																																		
N15.HOG0000015	OG0000002	n16									NB623_RS02345	NBX26_RS02355																																		
N15.HOG0000016	OG0000002	n38									NB623_RS01905	NBX26_RS01895																																		
N15.HOG0000017	OG0000002	n64									NB623_RS01015	NBX26_RS01010																																		
N15.HOG0000018	OG0000003	n12									NB623_RS00495	NBX26_RS00500																																		
N15.HOG0000019	OG0000003	n20									NB623_RS00505	NBX26_RS00510																																		
N15.HOG0000020	OG0000003	n65									NB623_RS00940	NBX26_RS00940																																		
N15.HOG0000021	OG0000003	n77									NB623_RS00945	NBX26_RS00945																																		
N15.HOG0000022	OG0000003	n92									NB623_RS01040	NBX26_RS01045																																		
N15.HOG0000023	OG0000003	n93									NB623_RS01035	NBX26_RS01040																																		
N15.HOG0000024	OG0000003	n132									NB623_RS02255	NBX26_RS02265																																		
N15.HOG0000025	OG0000004	n5									NB623_RS03360	NBX26_RS03380																																		
N15.HOG0000026	OG0000004	n25									NB623_RS03350	NBX26_RS03370																																		
N15.HOG0000027	OG0000004	n51									NB623_RS03365	NBX26_RS03385																																		
N15.HOG0000028	OG0000004	n76									NB623_RS03170	NBX26_RS03185																																		
N15.HOG0000029	OG0000004	n127									NB623_RS03180	NBX26_RS03195																																		
N15.HOG0000030	OG0000004	n134									NB623_RS03190	NBX26_RS03205																																		
N15.HOG0000031	OG0000005	n1									NB623_RS00105	NBX26_RS00105																																		
N15.HOG0000032	OG0000005	n52									NB623_RS00110	NBX26_RS00110																																		
N15.HOG0000033	OG0000005	n92									NB623_RS00115	NBX26_RS00115																																		
N15.HOG0000034	OG0000006	n3									NB623_RS02650	NBX26_RS02660																																		
N15.HOG0000035	OG0000006	n70									NB623_RS02495	NBX26_RS02505																																		
N15.HOG0000036	OG0000006	n104									NB623_RS02465	NBX26_RS02475																																		
N15.HOG0000037	OG0000007	n10									NB623_RS00955																																			
N15.HOG0000038	OG0000007	n11									NB623_RS00950																																			
N15.HOG0000039	OG0000007	n12										NBX26_RS00950																																		
N15.HOG0000040	OG0000007	n13									NB623_RS01045	NBX26_RS01050																																		
N15.HOG0000041	OG0000007	n28									NB623_RS00970	NBX26_RS00965																																		
N15.HOG0000042	OG0000007	n32									NB623_RS01050	NBX26_RS01055																																		
N15.HOG0000043	OG0000007	n45									NB623_RS01060	NBX26_RS01065																																		
N15.HOG0000044	OG0000008	n2									NB623_RS02455	NBX26_RS02465																																		
N15.HOG0000045	OG0000008	n35									NB623_RS01760	NBX26_RS01765																																		
N15.HOG0000046	OG0000008	n87									NB623_RS02665	NBX26_RS02670																																		
N15.HOG0000047	OG0000008	n89									NB623_RS02660	NBX26_RS02665																																		
N15.HOG0000048	OG0000009	n2									NB623_RS00660, NB623_RS00665	NBX26_RS00665																																		
N15.HOG0000049	OG0000009	n16									NB623_RS00090	NBX26_RS00090																																		
N15.HOG0000050	OG0000009	n35									NB623_RS00680	NBX26_RS00685																																		
N15.HOG0000051	OG0000010	n3									NB623_RS02245	NBX26_RS02250																																		
N15.HOG0000052	OG0000011	n10									NB623_RS02145	NBX26_RS02155																																		
N15.HOG0000053	OG0000011	n51									NB623_RS02150																																			
N15.HOG0000054	OG0000012	n15									NB623_RS01890	NBX26_RS01885																																		
N15.HOG0000055	OG0000012	n26									NB623_RS01710	NBX26_RS01715																																		
N15.HOG0000056	OG0000012	n42									NB623_RS01005	NBX26_RS01000																																		
N15.HOG0000057	OG0000012	n52									NB623_RS02340	NBX26_RS02350																																		
N15.HOG0000058	OG0000012	n57									NB623_RS02230	NBX26_RS02235																																		
N15.HOG0000059	OG0000013	n1									NB623_RS02540	NBX26_RS02550																																		
N15.HOG0000060	OG0000014	n30									NB623_RS01220																																			
N15.HOG0000061	OG0000014	n57									NB623_RS00600	NBX26_RS00605																																		
N15.HOG0000062	OG0000015	n6									NB623_RS01750	NBX26_RS01755																																		
N15.HOG0000063	OG0000015	n7									NB623_RS01925	NBX26_RS01925																																		
