HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N16.HOG0000000	OG0000000	n2																NB625_RS02335	NB624_RS02330																											
N16.HOG0000001	OG0000000	n58																NB625_RS02230	NB624_RS02240																											
N16.HOG0000002	OG0000000	n94																NB625_RS02220	NB624_RS02230																											
N16.HOG0000003	OG0000000	n137																NB625_RS02215	NB624_RS02225																											
N16.HOG0000004	OG0000000	n138																NB625_RS02225	NB624_RS02235																											
N16.HOG0000005	OG0000000	n154																NB625_RS02210	NB624_RS02220																											
N16.HOG0000006	OG0000000	n177																NB625_RS02330	NB624_RS02325																											
N16.HOG0000007	OG0000000	n254																	NB624_RS02460																											
N16.HOG0000008	OG0000000	n260																NB625_RS02465																												
N16.HOG0000009	OG0000000	n283																	NB624_RS01720																											
N16.HOG0000010	OG0000000	n294																NB625_RS01725	NB624_RS01725																											
N16.HOG0000011	OG0000001	n30																NB625_RS01285	NB624_RS01275																											
N16.HOG0000012	OG0000001	n31																NB625_RS01280	NB624_RS01270																											
N16.HOG0000013	OG0000001	n57																NB625_RS02955	NB624_RS02960																											
N16.HOG0000014	OG0000001	n97																NB625_RS02910	NB624_RS02915																											
N16.HOG0000015	OG0000002	n16																NB625_RS02350	NB624_RS02340																											
N16.HOG0000016	OG0000002	n32																NB625_RS02345	NB624_RS02335																											
N16.HOG0000017	OG0000002	n38																NB625_RS02340																												
N16.HOG0000018	OG0000002	n64																NB625_RS02235	NB624_RS02245																											
N16.HOG0000019	OG0000002	n95																NB625_RS01730	NB624_RS01730																											
N16.HOG0000020	OG0000003	n12																	NB624_RS01755																											
N16.HOG0000021	OG0000003	n54																NB625_RS01750	NB624_RS01750																											
N16.HOG0000022	OG0000003	n59																NB625_RS00510	NB624_RS00505																											
N16.HOG0000023	OG0000003	n65																NB625_RS02310	NB624_RS02310																											
N16.HOG0000024	OG0000003	n133																NB625_RS01830	NB624_RS01835																											
N16.HOG0000025	OG0000004	n5																NB625_RS03355	NB624_RS03355																											
N16.HOG0000026	OG0000004	n36																NB625_RS03360	NB624_RS03360																											
N16.HOG0000027	OG0000004	n51																NB625_RS03370																												
N16.HOG0000028	OG0000004	n76																NB625_RS03170	NB624_RS03175																											
N16.HOG0000029	OG0000004	n106																NB625_RS03190	NB624_RS03195																											
N16.HOG0000030	OG0000004	n134																NB625_RS03180	NB624_RS03185																											
N16.HOG0000031	OG0000005	n1																NB625_RS00100	NB624_RS00100																											
N16.HOG0000032	OG0000005	n32																NB625_RS00125																												
N16.HOG0000033	OG0000005	n92																NB625_RS00105	NB624_RS00105																											
N16.HOG0000034	OG0000006	n25																NB625_RS02650	NB624_RS02650																											
N16.HOG0000035	OG0000006	n70																NB625_RS02500	NB624_RS02495																											
N16.HOG0000036	OG0000006	n87																NB625_RS02645	NB624_RS02645																											
N16.HOG0000037	OG0000006	n104																NB625_RS02470	NB624_RS02465																											
N16.HOG0000038	OG0000007	n3																NB625_RS02315																												
N16.HOG0000039	OG0000007	n13																NB625_RS02325																												
N16.HOG0000040	OG0000007	n32																NB625_RS02305	NB624_RS02305																											
N16.HOG0000041	OG0000008	n2																NB625_RS02460	NB624_RS02450																											
N16.HOG0000042	OG0000008	n34																	NB624_RS01630																											
N16.HOG0000043	OG0000008	n65																NB625_RS01635	NB624_RS01625																											
N16.HOG0000044	OG0000008	n66																NB625_RS01640	NB624_RS01635																											
N16.HOG0000045	OG0000008	n73																NB625_RS02660	NB624_RS02665																											
N16.HOG0000046	OG0000009	n2																NB625_RS01020	NB624_RS01015																											
N16.HOG0000047	OG0000009	n16																NB625_RS00085	NB624_RS00085																											
N16.HOG0000048	OG0000009	n35																NB625_RS01005	NB624_RS01000																											
N16.HOG0000049	OG0000010	n1																NB625_RS01850	NB624_RS01855																											
N16.HOG0000050	OG0000011	n10																NB625_RS01950	NB624_RS01955																											
N16.HOG0000051	OG0000011	n51																	NB624_RS01950																											
N16.HOG0000052	OG0000012	n21																NB625_RS02890	NB624_RS02895																											
N16.HOG0000053	OG0000012	n22																NB625_RS01075	NB624_RS01075																											
N16.HOG0000054	OG0000012	n57																NB625_RS01865	NB624_RS01870																											
N16.HOG0000055	OG0000013	n1																NB625_RS02545	NB624_RS02540																											
N16.HOG0000056	OG0000013	n47																NB625_RS00190	NB624_RS00185																											
N16.HOG0000057	OG0000014	n10																	NB624_RS00595																											
N16.HOG0000058	OG0000014	n30																NB625_RS01095	NB624_RS01090																											
N16.HOG0000059	OG0000014	n57																NB625_RS01085	NB624_RS01080																											
N16.HOG0000060	OG0000015	n7																NB625_RS02065	NB624_RS02070																											
N16.HOG0000061	OG0000015	n22																NB625_RS01630	NB624_RS01620																											
N16.HOG0000062	OG0000015	n36																NB625_RS01580	NB624_RS01565																											
N16.HOG0000063	OG0000016	n1																NB625_RS02995	NB624_RS03000																											
N16.HOG0000064	OG0000016	n33																NB625_RS00175	NB624_RS00170																											
N16.HOG0000065	OG0000017	n1																NB625_RS00160	NB624_RS00155																											
N16.HOG0000066	OG0000017	n16																NB625_RS03005	NB624_RS03010																											
N16.HOG0000067	OG0000018	n18																NB625_RS01325	NB624_RS01315																											
N16.HOG0000068	OG0000018	n37																NB625_RS02090	NB624_RS02095																											
N16.HOG0000069	OG0000019	n33																NB625_RS03185	NB624_RS03190																											
N16.HOG0000070	OG0000019	n46																NB625_RS03175	NB624_RS03180																											
N16.HOG0000071	OG0000019	n75																NB625_RS03195	NB624_RS03200																											
N16.HOG0000072	OG0000020	n1																	NB624_RS03690																											
