HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N37.HOG0000000	OG0000000	n5	MFC_RS01410	DR093_RS02920	DR082_RS03155	DR094_RS03000		DR084_RS02900	DR085_RS03035	MYF_RS01330																																				
N37.HOG0000001	OG0000000	n43			DR082_RS03040	DR094_RS00005		DR084_RS02925	DR085_RS03945	MYF_RS01525																																				
N37.HOG0000002	OG0000000	n53	MFC_RS01420																																											
N37.HOG0000003	OG0000000	n55			DR082_RS03055	DR094_RS02980																																								
N37.HOG0000004	OG0000000	n77				DR094_RS03840				MYF_RS03375																																				
N37.HOG0000005	OG0000000	n94							DR085_RS02920																																					
N37.HOG0000006	OG0000000	n110		DR093_RS03030, DR093_RS03040		DR094_RS02820				MYF_RS03215																																				
N37.HOG0000007	OG0000000	n125		DR093_RS03700	DR082_RS03005																																									
N37.HOG0000008	OG0000000	n139				DR094_RS03835			DR085_RS03105																																					
N37.HOG0000009	OG0000000	n147		DR093_RS03705					DR085_RS03010, DR085_RS03020																																					
N37.HOG0000010	OG0000000	n155							DR085_RS03040																																					
N37.HOG0000011	OG0000000	n159	MFC_RS00010	DR093_RS03035	DR082_RS03150	DR094_RS02970				MYF_RS01460																																				
N37.HOG0000012	OG0000000	n170				DR094_RS03035																																								
N37.HOG0000013	OG0000000	n184								MYF_RS01520, MYF_RS03370																																				
N37.HOG0000014	OG0000000	n186								MYF_RS01870, MYF_RS03435																																				
N37.HOG0000015	OG0000000	n283		DR093_RS03435																																										
N37.HOG0000016	OG0000000	n294	MFC_RS00365	DR093_RS03440	DR082_RS03455	DR094_RS01215		DR084_RS02480	DR085_RS02470	MYF_RS03295																																				
N37.HOG0000017	OG0000001	n2	MFC_RS03350					DR084_RS03095		MYF_RS03415																																				
N37.HOG0000018	OG0000001	n4		DR093_RS00830	DR082_RS00825	DR094_RS00325			DR085_RS03235																																					
N37.HOG0000019	OG0000001	n7		DR093_RS00825	DR082_RS00820	DR094_RS00330																																								
N37.HOG0000020	OG0000002	n2	MFC_RS03355	DR093_RS02915	DR082_RS02685	DR094_RS02955		DR084_RS01115	DR085_RS02740	MYF_RS03430																																				
N37.HOG0000021	OG0000002	n9	MFC_RS00395					DR084_RS03505		MYF_RS01530																																				
N37.HOG0000022	OG0000002	n38			DR082_RS03795	DR094_RS02550																																								
N37.HOG0000023	OG0000002	n56		DR093_RS03015	DR082_RS03780	DR094_RS02030, DR094_RS02975		DR084_RS01770, DR084_RS02910	DR085_RS01945																																					
N37.HOG0000024	OG0000002	n64	MFC_RS02940	DR093_RS04025	DR082_RS02920	DR094_RS03815			DR085_RS03895	MYF_RS01475																																				
N37.HOG0000025	OG0000002	n95	MFC_RS00370	DR093_RS03845	DR082_RS03830	DR094_RS03610		DR084_RS03620	DR085_RS03805	MYF_RS03010																																				
N37.HOG0000026	OG0000003	n85	MFC_RS02995	DR093_RS04030	DR082_RS03925	DR094_RS03820			DR085_RS03550	MYF_RS01515																																				
N37.HOG0000027	OG0000003	n110							DR085_RS03885																																					
N37.HOG0000028	OG0000004	n76								MYF_RS02520																																				
N37.HOG0000029	OG0000004	n94		DR093_RS01845	DR082_RS01625			DR084_RS02890																																						
N37.HOG0000030	OG0000004	n120	MFC_RS00155			DR094_RS01820				MYF_RS02535, MYF_RS02545																																				
N37.HOG0000031	OG0000007	n13	MFC_RS02975	DR093_RS02845	DR082_RS02890	DR094_RS02850			DR085_RS02890	MYF_RS01510																																				
N37.HOG0000032	OG0000007	n32	MFC_RS02970	DR093_RS02840	DR082_RS02895	DR094_RS02845			DR085_RS02895	MYF_RS01505																																				
N37.HOG0000033	OG0000007	n45	MFC_RS02965	DR093_RS02835	DR082_RS03930	DR094_RS02840			DR085_RS03890	MYF_RS01500																																				
N37.HOG0000034	OG0000008	n35	MFC_RS03380	DR093_RS03250					DR085_RS03145	MYF_RS01875																																				
N37.HOG0000035	OG0000011	n42						DR084_RS03145		MYF_RS03310																																				
N37.HOG0000036	OG0000011	n44	MFC_RS03510		DR082_RS03895				DR085_RS03875																																					
N37.HOG0000037	OG0000011	n47	MFC_RS03505		DR082_RS03545				DR085_RS02795																																					
N37.HOG0000038	OG0000011	n50		DR093_RS03025		DR094_RS03520																																								
N37.HOG0000039	OG0000011	n51	MFC_RS01350	DR093_RS03260	DR082_RS02625	DR094_RS02895		DR084_RS01055	DR085_RS02805	MYF_RS01270																																				
N37.HOG0000040	OG0000013	n3	MFC_RS03175	DR093_RS01095	DR082_RS01090	DR094_RS00075		DR084_RS00890	DR085_RS00915	MYF_RS03170																																				
N37.HOG0000041	OG0000013	n10	MFC_RS02880	DR093_RS01090	DR082_RS01085	DR094_RS00080		DR084_RS00885	DR085_RS00910	MYF_RS01100																																				
N37.HOG0000042	OG0000013	n47	MFC_RS03420	DR093_RS03220	DR082_RS03095	DR094_RS03050		DR084_RS02985	DR085_RS03115	MYF_RS03400																																				
N37.HOG0000043	OG0000014	n1	MFC_RS00870	DR093_RS03805	DR082_RS03685	DR094_RS03555		DR084_RS03465	DR085_RS03650	MYF_RS00550																																				
N37.HOG0000044	OG0000015	n24	MFC_RS03450							MYF_RS03470																																				
N37.HOG0000045	OG0000016	n1	MFC_RS01050	DR093_RS00770	DR082_RS00770	DR094_RS00380		DR084_RS00585	DR085_RS00605	MYF_RS00730																																				
N37.HOG0000046	OG0000016	n66	MFC_RS02390		DR082_RS00190	DR094_RS00960		DR084_RS00005, DR084_RS03605	DR085_RS00005, DR085_RS03785	MYF_RS00130																																				
N37.HOG0000047	OG0000017	n1	MFC_RS03155	DR093_RS00175	DR082_RS00175	DR094_RS00975		DR084_RS02415	DR085_RS02380	MYF_RS03155																																				
N37.HOG0000048	OG0000017	n16	MFC_RS01040	DR093_RS00760	DR082_RS00760	DR094_RS00390		DR084_RS00575	DR085_RS00595	MYF_RS00720																																				
N37.HOG0000049	OG0000018	n64	MFC_RS00540	DR093_RS03935	DR082_RS03790	DR094_RS03735		DR084_RS03555	DR085_RS03745	MYF_RS01675																																				
N37.HOG0000050	OG0000019	n11	MFC_RS03000	DR093_RS03125	DR082_RS03120	DR094_RS03350				MYF_RS03445																																				
N37.HOG0000051	OG0000019	n26							DR085_RS03320	MYF_RS03450																																				
N37.HOG0000052	OG0000019	n64	MFC_RS03330	DR093_RS03265						MYF_RS03440																																				
N37.HOG0000053	OG0000020	n1	MFC_RS00305	DR093_RS03835	DR082_RS03840	DR094_RS03600			DR085_RS03795	MYF_RS03080																																				
N37.HOG0000054	OG0000020	n38	MFC_RS00300	DR093_RS03830	DR082_RS03845	DR094_RS03595		DR084_RS02530	DR085_RS03790	MYF_RS03085																																				
N37.HOG0000055	OG0000022	n33	MFC_RS00360	DR093_RS03840	DR082_RS03835	DR094_RS03605		DR084_RS03625	DR085_RS03800	MYF_RS03025																																				
N37.HOG0000056	OG0000023	n4		DR093_RS01985	DR082_RS02000	DR094_RS02170																																								
N37.HOG0000057	OG0000023	n9	MFC_RS00535					DR084_RS01910	DR085_RS01800	MYF_RS01670																																				
N37.HOG0000058	OG0000023	n48	MFC_RS01695						DR085_RS02195	MYF_RS01880																																				
N37.HOG0000059	OG0000024	n1	MFC_RS01110	DR093_RS00835	DR082_RS00830	DR094_RS00320		DR084_RS00640	DR085_RS00665	MYF_RS00790																																				
N37.HOG0000060	OG0000025	n32	MFC_RS00355	DR093_RS01230	DR082_RS02390	DR094_RS01205		DR084_RS02490	DR085_RS02460	MYF_RS03030																																				
N37.HOG0000061	OG0000026	n1	MFC_RS00580	DR093_RS02030	DR082_RS02045	DR094_RS02215		DR084_RS01955	DR085_RS01755	MYF_RS01715																																				
N37.HOG0000062	OG0000027	n1		DR093_RS01425	DR082_RS02575	DR094_RS01395																																								
N37.HOG0000063	OG0000027	n21	MFC_RS02850	DR093_RS03885	DR082_RS03875	DR094_RS03650		DR084_RS03655	DR085_RS03845	MYF_RS02825																																				
N37.HOG0000064	OG0000028	n13	MFC_RS01205	DR093_RS01110				DR084_RS00905	DR085_RS00930	MYF_RS01125																																				
N37.HOG0000065	OG0000028	n18	MFC_RS01200					DR084_RS00910		MYF_RS01120																																				
