HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N41.HOG0000000	OG0000000	n5	MFC_RS01410							MYF_RS01330																																				
N41.HOG0000001	OG0000000	n43								MYF_RS01525																																				
N41.HOG0000002	OG0000000	n53	MFC_RS01420																																											
N41.HOG0000003	OG0000000	n77								MYF_RS03375																																				
N41.HOG0000004	OG0000000	n110								MYF_RS03215																																				
N41.HOG0000005	OG0000000	n159	MFC_RS00010							MYF_RS01460																																				
N41.HOG0000006	OG0000000	n184								MYF_RS01520, MYF_RS03370																																				
N41.HOG0000007	OG0000000	n186								MYF_RS01870, MYF_RS03435																																				
N41.HOG0000008	OG0000000	n294	MFC_RS00365							MYF_RS03295																																				
N41.HOG0000009	OG0000001	n2	MFC_RS03350							MYF_RS03415																																				
N41.HOG0000010	OG0000002	n2	MFC_RS03355							MYF_RS03430																																				
N41.HOG0000011	OG0000002	n9	MFC_RS00395							MYF_RS01530																																				
N41.HOG0000012	OG0000002	n64	MFC_RS02940							MYF_RS01475																																				
N41.HOG0000013	OG0000002	n95	MFC_RS00370							MYF_RS03010																																				
N41.HOG0000014	OG0000003	n85	MFC_RS02995							MYF_RS01515																																				
N41.HOG0000015	OG0000004	n76								MYF_RS02520																																				
N41.HOG0000016	OG0000004	n120	MFC_RS00155							MYF_RS02535, MYF_RS02545																																				
N41.HOG0000017	OG0000007	n13	MFC_RS02975							MYF_RS01510																																				
N41.HOG0000018	OG0000007	n32	MFC_RS02970							MYF_RS01505																																				
N41.HOG0000019	OG0000007	n45	MFC_RS02965							MYF_RS01500																																				
N41.HOG0000020	OG0000008	n35	MFC_RS03380							MYF_RS01875																																				
N41.HOG0000021	OG0000011	n42								MYF_RS03310																																				
N41.HOG0000022	OG0000011	n44	MFC_RS03510																																											
N41.HOG0000023	OG0000011	n47	MFC_RS03505																																											
N41.HOG0000024	OG0000011	n51	MFC_RS01350							MYF_RS01270																																				
N41.HOG0000025	OG0000013	n3	MFC_RS03175							MYF_RS03170																																				
N41.HOG0000026	OG0000013	n10	MFC_RS02880							MYF_RS01100																																				
N41.HOG0000027	OG0000013	n47	MFC_RS03420							MYF_RS03400																																				
N41.HOG0000028	OG0000014	n1	MFC_RS00870							MYF_RS00550																																				
N41.HOG0000029	OG0000015	n24	MFC_RS03450							MYF_RS03470																																				
N41.HOG0000030	OG0000016	n1	MFC_RS01050							MYF_RS00730																																				
N41.HOG0000031	OG0000016	n66	MFC_RS02390							MYF_RS00130																																				
N41.HOG0000032	OG0000017	n1	MFC_RS03155							MYF_RS03155																																				
N41.HOG0000033	OG0000017	n16	MFC_RS01040							MYF_RS00720																																				
N41.HOG0000034	OG0000018	n64	MFC_RS00540							MYF_RS01675																																				
N41.HOG0000035	OG0000019	n11	MFC_RS03000							MYF_RS03445																																				
N41.HOG0000036	OG0000019	n26								MYF_RS03450																																				
N41.HOG0000037	OG0000019	n64	MFC_RS03330							MYF_RS03440																																				
N41.HOG0000038	OG0000020	n1	MFC_RS00305							MYF_RS03080																																				
N41.HOG0000039	OG0000020	n38	MFC_RS00300							MYF_RS03085																																				
N41.HOG0000040	OG0000022	n33	MFC_RS00360							MYF_RS03025																																				
N41.HOG0000041	OG0000023	n9	MFC_RS00535							MYF_RS01670																																				
N41.HOG0000042	OG0000023	n48	MFC_RS01695							MYF_RS01880																																				
N41.HOG0000043	OG0000024	n1	MFC_RS01110							MYF_RS00790																																				
N41.HOG0000044	OG0000025	n32	MFC_RS00355							MYF_RS03030																																				
N41.HOG0000045	OG0000026	n1	MFC_RS00580							MYF_RS01715																																				
