HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N24.HOG0000000	OG0000000	n3																															DR083_RS03810													
N24.HOG0000001	OG0000000	n5	MFC_RS01410	DR093_RS02920	DR082_RS03155	DR094_RS03000	DR095_RS03080	DR084_RS02900	DR085_RS03035	MYF_RS01330				B5C39_RS02485						MHP168L_RS02190	MHP168_RS02175	MHP_RS02080								MHJ_RS02155		KUD10_RS02260	DR083_RS02765									EXC50_RS01055	B5M19_RS04470	FEF30_RS02570	FEF31_RS01935	
N24.HOG0000002	OG0000000	n43			DR082_RS03040	DR094_RS00005	DR095_RS03105	DR084_RS02925	DR085_RS03945	MYF_RS01525																																				
N24.HOG0000003	OG0000000	n53	MFC_RS01420																													KUD10_RS02205														
N24.HOG0000004	OG0000000	n55			DR082_RS03055	DR094_RS02980																																								
N24.HOG0000005	OG0000000	n58																									HZK19_RS02100, HZK19_RS03960			MHJ_RS02070		KUD10_RS02185														
N24.HOG0000006	OG0000000	n77				DR094_RS03840				MYF_RS03375																																				
N24.HOG0000007	OG0000000	n82																															DR083_RS04555													
N24.HOG0000008	OG0000000	n94							DR085_RS02920																							KUD10_RS02195												FEF30_RS02505	FEF31_RS01875	
N24.HOG0000009	OG0000000	n110		DR093_RS03030, DR093_RS03040		DR094_RS02820				MYF_RS03215																						KUD10_RS02170	DR083_RS00790, DR083_RS03535, DR083_RS03820, DR083_RS04550											FEF30_RS02500	FEF31_RS01865	
N24.HOG0000010	OG0000000	n125		DR093_RS03700	DR082_RS03005		DR095_RS03160																				HZK19_RS03685					KUD10_RS02175, KUD10_RS02190, KUD10_RS02200														
N24.HOG0000011	OG0000000	n139				DR094_RS03835			DR085_RS03105																																					
N24.HOG0000012	OG0000000	n147		DR093_RS03705			DR095_RS03065, DR095_RS04035		DR085_RS03010, DR085_RS03020																																					
N24.HOG0000013	OG0000000	n154	MFC_RS00010	DR093_RS03035	DR082_RS03150	DR094_RS02970, DR094_RS03035	DR095_RS03115, DR095_RS03130, DR095_RS03185		DR085_RS03040	MYF_RS01460																																				
N24.HOG0000014	OG0000000	n177								MYF_RS01520, MYF_RS01870, MYF_RS03370, MYF_RS03435																						KUD10_RS02255												FEF30_RS04350	FEF31_RS04515	
N24.HOG0000015	OG0000000	n203																		MHP168L_RS03890							HZK19_RS03675			MHJ_RS02065, MHJ_RS03895		KUD10_RS02165												FEF30_RS02495	FEF31_RS01860	
N24.HOG0000016	OG0000000	n214												B5C39_RS03935								MHP_RS04000																								
N24.HOG0000017	OG0000000	n217												B5C39_RS02595						MHP168L_RS02335	MHP168_RS02315	MHP_RS02190					HZK19_RS02290			MHJ_RS02265		KUD10_RS02380	DR083_RS04515									EXC50_RS01165	B5M19_RS03770	FEF30_RS02690	FEF31_RS02055	
N24.HOG0000018	OG0000000	n239												B5C39_RS03835						MHP168L_RS02340		MHP_RS03915					HZK19_RS03795					KUD10_RS02385	DR083_RS04520									EXC50_RS01170		FEF30_RS02695		
N24.HOG0000019	OG0000000	n274																				MHP_RS03825																								
N24.HOG0000020	OG0000000	n279																												MHJ_RS01665													B5M19_RS02095			
N24.HOG0000021	OG0000000	n283		DR093_RS03435										B5C39_RS03750						MHP168L_RS03865							HZK19_RS01690															EXC50_RS03990			FEF31_RS01380	
N24.HOG0000022	OG0000000	n294	MFC_RS00365	DR093_RS03440	DR082_RS03455	DR094_RS01215	DR095_RS01240	DR084_RS02480	DR085_RS02470	MYF_RS03295																						KUD10_RS01780, KUD10_RS01785	DR083_RS04210, DR083_RS04215											FEF30_RS02035	FEF31_RS01385	
N24.HOG0000023	OG0000000	n317												B5C39_RS03235						MHP168L_RS01715	MHP168_RS01690	MHP_RS01715					HZK19_RS01695			MHJ_RS01670												EXC50_RS00675	B5M19_RS02100			
