HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N18.HOG0000000	OG0000000	n5														NB627_RS02355	NB626_RS02350																													
N18.HOG0000001	OG0000000	n80														NB627_RS02270	NB626_RS02260																													
N18.HOG0000002	OG0000000	n94														NB627_RS02285	NB626_RS02275																													
N18.HOG0000003	OG0000000	n110														NB627_RS02265	NB626_RS02255																													
N18.HOG0000004	OG0000000	n147														NB627_RS02275	NB626_RS02265																													
N18.HOG0000005	OG0000000	n177														NB627_RS02350	NB626_RS02345																													
N18.HOG0000006	OG0000000	n199														NB627_RS01855	NB626_RS01845																													
N18.HOG0000007	OG0000000	n203														NB627_RS02260	NB626_RS02250																													
N18.HOG0000008	OG0000000	n217														NB627_RS02480	NB626_RS02475																													
N18.HOG0000009	OG0000000	n239														NB627_RS02485	NB626_RS02480																													
N18.HOG0000010	OG0000000	n283															NB626_RS01835																													
N18.HOG0000011	OG0000000	n294														NB627_RS01850	NB626_RS01840																													
N18.HOG0000012	OG0000000	n317														NB627_RS01860	NB626_RS01850																													
N18.HOG0000013	OG0000001	n21														NB627_RS01400	NB626_RS01395																													
N18.HOG0000014	OG0000001	n25														NB627_RS01405	NB626_RS01400																													
N18.HOG0000015	OG0000001	n50														NB627_RS02985	NB626_RS02980																													
N18.HOG0000016	OG0000001	n84														NB627_RS02940	NB626_RS02935																													
