HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N4.HOG0000000	OG0000000	n3													ABKJ22_RS02270																		DR083_RS03810													
N4.HOG0000001	OG0000000	n5	MFC_RS01410	DR093_RS02920	DR082_RS03155	DR094_RS03000	DR095_RS03080	DR084_RS02900	DR085_RS03035	MYF_RS01330			ABJ972_RS02145	B5C39_RS02485	ABKJ22_RS02210	NB627_RS02355	NB626_RS02350			MHP168L_RS02190	MHP168_RS02175	MHP_RS02080	ABLE99_RS02150			GOM18_RS02340		E5E95_RS02310		MHJ_RS02155		KUD10_RS02260	DR083_RS02765					DR099_RS03480				EXC50_RS01055	B5M19_RS04470	FEF30_RS02570	FEF31_RS01935	
N4.HOG0000002	OG0000000	n41																					ABLE99_RS02030															DR099_RS03635								
N4.HOG0000003	OG0000000	n43			DR082_RS03040	DR094_RS00005	DR095_RS03105	DR084_RS02925	DR085_RS03945	MYF_RS01525																																				
N4.HOG0000004	OG0000000	n53	MFC_RS01420																													KUD10_RS02205														
N4.HOG0000005	OG0000000	n55			DR082_RS03055	DR094_RS02980																																								
N4.HOG0000006	OG0000000	n58											ABJ972_RS02085														HZK19_RS02100, HZK19_RS03960	E5E95_RS02235		MHJ_RS02070	CIB43_RS03015	KUD10_RS02185														
N4.HOG0000007	OG0000000	n77				DR094_RS03840				MYF_RS03375																					CIB43_RS03040															
N4.HOG0000008	OG0000000	n80														NB627_RS02270	NB626_RS02260																													
N4.HOG0000009	OG0000000	n82																															DR083_RS04555													
