Orthogroup	MHP_98_protein	MHP_LH_protein
OG0000000	WP_179696099.1	WP_233688756.1
OG0000000	WP_220200503.1	WP_233688434.1
OG0000000	WP_179696098.1	WP_233688757.1
OG0000001	WP_179696110.1	WP_233688742.1
OG0000002	WP_308705282.1	WP_233688607.1
OG0000002	WP_258556557.1	WP_233688454.1
OG0000003	WP_258556549.1	WP_094521686.1
OG0000004	WP_179696025.1	WP_233688439.1
OG0000004	WP_258556542.1	WP_233688470.1
OG0000005	WP_179696126.1	WP_318035154.1, WP_233688764.1
OG0000006	WP_179696116.1	WP_233688670.1
OG0000008	WP_014579984.1	WP_233688544.1
OG0000008	WP_179695903.1	WP_233688542.1
OG0000009	WP_179695973.1	WP_233688461.1
OG0000010	WP_258556577.1	WP_233688495.1
OG0000010	WP_258556582.1	WP_233688699.1
OG0000011	WP_258556528.1	WP_233688521.1
OG0000012	WP_179695828.1	WP_233688686.1
OG0000013	WP_179695976.1	WP_233688468.1
OG0000014	WP_179696094.1	WP_179696094.1
OG0000015	WP_308705298.1	WP_233688763.1
OG0000015	WP_308705291.1	WP_233688762.1
OG0000017	WP_179695901.1	WP_233688543.1
OG0000017	WP_179695904.1	WP_233688541.1
OG0000018	WP_179695917.1	WP_233688512.1
OG0000019	WP_308705297.1	WP_233688597.1, WP_233688600.1
OG0000020	WP_179695970.1	WP_233688671.1
OG0000021	WP_258556507.1	WP_233688684.1
OG0000022	WP_258556556.1	WP_233688453.1
OG0000023	WP_179695895.1	WP_233688550.1
OG0000024	WP_179695839.1	WP_179221024.1
OG0000025	WP_225973032.1	WP_020835667.1
OG0000026	WP_179695974.1	WP_233688465.1
OG0000028	WP_179696077.1	WP_014579781.1
OG0000029	WP_011290139.1	WP_011290139.1
OG0000030	WP_179695991.1	WP_233688485.1
OG0000031	WP_160607724.1	WP_135618462.1
OG0000032	WP_179695955.1	WP_233688627.1
OG0000032	WP_179696124.1	WP_233688741.1
OG0000034	WP_179695975.1	WP_044272538.1
OG0000035	WP_179696073.1	WP_233688734.1
OG0000036	WP_011206290.1	WP_233688467.1
OG0000037	WP_179695831.1	WP_179695831.1
OG0000039	WP_011206214.1	WP_011206214.1
OG0000040	WP_179696013.1	WP_233688415.1
OG0000041	WP_258556513.1	WP_233688578.1
OG0000042	WP_179695864.1	WP_233688575.1
OG0000043	WP_160584888.1	WP_233688571.1
OG0000044	WP_179696125.1	WP_233688740.1
OG0000045	WP_011290219.1	WP_011290219.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_225972996.1	WP_228365394.1
OG0000048	WP_179695927.1	WP_044272567.1
OG0000049	WP_179696086.1	WP_011206373.1
OG0000050	WP_011206292.1	WP_011206292.1
OG0000051	WP_135619210.1	WP_135619210.1
OG0000052	WP_094521716.1	WP_233688464.1
OG0000053	WP_179221201.1	WP_094521497.1
OG0000054	WP_014579964.1	WP_233688526.1
OG0000055	WP_160585645.1	WP_233688530.1
OG0000056	WP_179695896.1	WP_233688548.1
OG0000057	WP_011290028.1	WP_233688645.1
OG0000058	WP_135618593.1	WP_233688659.1
OG0000059	WP_044284596.1	WP_233688661.1
OG0000060	WP_011290055.1	WP_011206046.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_179696065.1	WP_233688675.1
OG0000063	WP_052259122.1	WP_014579535.1
OG0000064	WP_179695933.1	WP_233688604.1
OG0000065	WP_179695946.1	WP_014579568.1
OG0000066	WP_179695954.1	WP_233688625.1
OG0000067	WP_011206493.1	WP_011206493.1
