Orthogroup	MHP_MHP709_genes	MHP_LH_genes
OG0000000	DR088_RS03530	KUD10_RS02260
OG0000000	DR088_RS03570	KUD10_RS02185
OG0000000	DR088_RS03470	KUD10_RS02195
OG0000000	DR088_RS03495	KUD10_RS02165
OG0000001	DR088_RS00215	KUD10_RS02875
OG0000001	DR088_RS03730	KUD10_RS02830
OG0000002	DR088_RS04280	KUD10_RS02270
OG0000002	DR088_RS03525	KUD10_RS02265
OG0000002	DR088_RS03455	KUD10_RS02210
OG0000002	DR088_RS04510	KUD10_RS01790
OG0000003	DR088_RS00355	KUD10_RS01820, KUD10_RS00500
OG0000003	DR088_RS04580	KUD10_RS02250
OG0000003	DR088_RS03645	KUD10_RS01900
OG0000004	DR088_RS01540	KUD10_RS03265
OG0000004	DR088_RS03400	KUD10_RS03275
OG0000004	DR088_RS00350	KUD10_RS03075
OG0000005	DR088_RS01950	KUD10_RS00100
OG0000005	DR088_RS04585	KUD10_RS00120
OG0000005	DR088_RS03545	KUD10_RS00105
OG0000005	DR088_RS03300	KUD10_RS00110
OG0000005	DR088_RS04590	KUD10_RS00125
OG0000006	DR088_RS03035	KUD10_RS02585
OG0000006	DR088_RS04190	KUD10_RS02420
OG0000007	DR088_RS03275	KUD10_RS02245
OG0000008	DR088_RS03690	KUD10_RS01700
OG0000008	DR088_RS04285	KUD10_RS02590
OG0000009	DR088_RS01935	KUD10_RS00085
OG0000009	DR088_RS02850	KUD10_RS00675
OG0000010	DR088_RS00450	KUD10_RS01910
OG0000010	DR088_RS03540, DR088_RS03660	KUD10_RS00095
OG0000011	DR088_RS00560	KUD10_RS02000
OG0000011	DR088_RS00555	KUD10_RS01995
OG0000013	DR088_RS02380	KUD10_RS02465
OG0000013	DR088_RS03910	KUD10_RS00185
OG0000014	DR088_RS00785	KUD10_RS01080
OG0000014	DR088_RS04355	KUD10_RS00610
OG0000016	DR088_RS00255	KUD10_RS02915
OG0000016	DR088_RS01355	KUD10_RS00170
OG0000017	DR088_RS01370	KUD10_RS00155
OG0000017	DR088_RS00265	KUD10_RS02925
OG0000018	DR088_RS04550	KUD10_RS01395, KUD10_RS01195
OG0000019	DR088_RS04255	KUD10_RS03100, KUD10_RS03080, KUD10_RS03110, KUD10_RS03090
OG0000020	DR088_RS04465	KUD10_RS03620
OG0000020	DR088_RS04470	KUD10_RS03625
OG0000021	DR088_RS00360	KUD10_RS01825
OG0000022	DR088_RS02355	KUD10_RS01720
OG0000022	DR088_RS04515	KUD10_RS01775
OG0000023	DR088_RS02595	KUD10_RS01390, KUD10_RS01205
OG0000024	DR088_RS00160	KUD10_RS02825
OG0000024	DR088_RS00975	KUD10_RS01345
OG0000025	DR088_RS04520	KUD10_RS01725
OG0000025	DR088_RS02305	KUD10_RS01770
OG0000026	DR088_RS02640	KUD10_RS01435
OG0000026	DR088_RS02325	KUD10_RS01750
OG0000027	DR088_RS04450	KUD10_RS03410
OG0000027	DR088_RS04500	KUD10_RS03425
OG0000029	DR088_RS01545	KUD10_RS01075
OG0000029	DR088_RS00770	KUD10_RS00620
OG0000030	DR088_RS04445	KUD10_RS03400
OG0000030	DR088_RS04505	KUD10_RS03420
