Orthogroup	MHP_MHP709_genes	MHP_ES2L_genes
OG0000000	DR088_RS03570	HZK19_RS03960, HZK19_RS02100
OG0000000	DR088_RS03470	HZK19_RS02105
OG0000000	DR088_RS03495	HZK19_RS03675
OG0000000	DR088_RS04105	HZK19_RS01690
OG0000000	DR088_RS04100	HZK19_RS01695
OG0000001	DR088_RS00215	HZK19_RS02765
OG0000001	DR088_RS03730	HZK19_RS03840
OG0000002	DR088_RS03455	HZK19_RS02110
OG0000002	DR088_RS04510	HZK19_RS01705
OG0000003	DR088_RS00355	HZK19_RS01715
OG0000003	DR088_RS04215	HZK19_RS03785
OG0000003	DR088_RS04580	HZK19_RS02160
OG0000003	DR088_RS03645	HZK19_RS01800
OG0000004	DR088_RS01540	HZK19_RS03240
OG0000004	DR088_RS03400	HZK19_RS03255
OG0000004	DR088_RS00350	HZK19_RS02970
OG0000005	DR088_RS01950	HZK19_RS00085
OG0000005	DR088_RS04585	HZK19_RS00105
OG0000005	DR088_RS03545	HZK19_RS00090
OG0000005	DR088_RS03300	HZK19_RS00095
OG0000005	DR088_RS04590	HZK19_RS00110
OG0000006	DR088_RS03035	HZK19_RS02470
OG0000006	DR088_RS04190	HZK19_RS03805
OG0000007	DR088_RS03260	HZK19_RS02155
OG0000007	DR088_RS03265	HZK19_RS02150
OG0000007	DR088_RS03275	HZK19_RS02145
OG0000008	DR088_RS03690	HZK19_RS03745
OG0000008	DR088_RS04285	HZK19_RS03825
OG0000009	DR088_RS02850	HZK19_RS00655
OG0000010	DR088_RS00450	HZK19_RS01810
OG0000011	DR088_RS00560	HZK19_RS03920
OG0000012	DR088_RS03650	HZK19_RS01825
OG0000013	DR088_RS02380	HZK19_RS02370
OG0000013	DR088_RS03910	HZK19_RS03715
OG0000014	DR088_RS04355	HZK19_RS00595
OG0000016	DR088_RS00255	HZK19_RS02805
OG0000016	DR088_RS01355	HZK19_RS00155
OG0000017	DR088_RS01370	HZK19_RS00140
OG0000017	DR088_RS00265	HZK19_RS02815
OG0000018	DR088_RS04550	HZK19_RS01290, HZK19_RS03075
OG0000019	DR088_RS04255	HZK19_RS03845, HZK19_RS03850
OG0000020	DR088_RS04465	HZK19_RS03860
OG0000020	DR088_RS04470	HZK19_RS03600
OG0000021	DR088_RS00360	HZK19_RS01725, HZK19_RS00500
OG0000022	DR088_RS02355	HZK19_RS01625
OG0000022	DR088_RS04515	HZK19_RS01685
OG0000023	DR088_RS02595	HZK19_RS01285, HZK19_RS03085
OG0000024	DR088_RS00160	HZK19_RS02710
OG0000024	DR088_RS00975	HZK19_RS01240
OG0000025	DR088_RS04520	HZK19_RS01630
OG0000025	DR088_RS02305	HZK19_RS01680
OG0000026	DR088_RS02640	HZK19_RS01330
OG0000026	DR088_RS02325	HZK19_RS01660
OG0000027	DR088_RS04450	HZK19_RS03390
OG0000027	DR088_RS04500	HZK19_RS03405
OG0000028	DR088_RS03250	HZK19_RS02385
OG0000028	DR088_RS04565	HZK19_RS02380
OG0000029	DR088_RS01545	HZK19_RS01065
OG0000029	DR088_RS00770	HZK19_RS00600
OG0000030	DR088_RS04445	HZK19_RS03380
OG0000030	DR088_RS04505	HZK19_RS03400
OG0000031	DR088_RS03335	HZK19_RS01570, HZK19_RS03025
OG0000032	DR088_RS03370	HZK19_RS01545
OG0000032	DR088_RS02280	HZK19_RS03395
