Orthogroup	MHP_MHP709_genes	MHP_7422_genes
OG0000000	DR088_RS03470	MHL_RS02190
OG0000000	DR088_RS04100	MHL_RS03710
OG0000001	DR088_RS00215	MHL_RS02845
OG0000001	DR088_RS03735	MHL_RS03875
OG0000001	DR088_RS03730	MHL_RS04080
OG0000002	DR088_RS04280	MHL_RS04055
OG0000002	DR088_RS03455	MHL_RS02195
OG0000002	DR088_RS04510	MHL_RS01800
OG0000003	DR088_RS00355	MHL_RS01875
OG0000003	DR088_RS04580	MHL_RS02255
OG0000003	DR088_RS03645	MHL_RS03835
OG0000004	DR088_RS01540	MHL_RS03205
OG0000004	DR088_RS03400	MHL_RS03215
OG0000005	DR088_RS01950	MHL_RS00105
OG0000005	DR088_RS04585	MHL_RS00125
OG0000005	DR088_RS03545	MHL_RS04205
OG0000005	DR088_RS03300	MHL_RS00115
OG0000005	DR088_RS04590	MHL_RS00130
OG0000006	DR088_RS03035	MHL_RS03635
OG0000006	DR088_RS02425, DR088_RS04190	MHL_RS02420
OG0000007	DR088_RS03260	MHL_RS02250
OG0000007	DR088_RS03265	MHL_RS02245
OG0000007	DR088_RS03275	MHL_RS02240
OG0000008	DR088_RS03690	MHL_RS04180
OG0000008	DR088_RS04285	MHL_RS04065
OG0000009	DR088_RS01935	MHL_RS00090
OG0000009	DR088_RS02850	MHL_RS00770
OG0000010	DR088_RS00450	MHL_RS01930
OG0000010	DR088_RS03295	MHL_RS04125
OG0000010	DR088_RS03540, DR088_RS03660	MHL_RS00100
OG0000011	DR088_RS00560	MHL_RS04185
OG0000011	DR088_RS00555	MHL_RS02020
OG0000012	DR088_RS03650	MHL_RS03845
OG0000013	DR088_RS02380	MHL_RS02470
OG0000013	DR088_RS03910	MHL_RS03925
OG0000014	DR088_RS00785	MHL_RS01170
OG0000014	DR088_RS04355	MHL_RS00695
OG0000016	DR088_RS00255	MHL_RS02885
OG0000016	DR088_RS01355	MHL_RS00175
OG0000017	DR088_RS01370	MHL_RS00160
OG0000017	DR088_RS00265	MHL_RS02895
OG0000018	DR088_RS04550	MHL_RS01405, MHL_RS00665
OG0000020	DR088_RS04465	MHL_RS03545
OG0000020	DR088_RS04470	MHL_RS03550
OG0000021	DR088_RS00360	MHL_RS01835, MHL_RS03930
OG0000022	DR088_RS02355	MHL_RS01740
OG0000022	DR088_RS04515	MHL_RS01790
OG0000023	DR088_RS02595	MHL_RS01400, MHL_RS00675, MHL_RS03935
OG0000024	DR088_RS00160	MHL_RS02790
OG0000024	DR088_RS00975	MHL_RS01355
OG0000025	DR088_RS04520	MHL_RS01745
OG0000025	DR088_RS02305	MHL_RS01785
OG0000026	DR088_RS02640	MHL_RS01445
OG0000027	DR088_RS04450	MHL_RS03755
OG0000027	DR088_RS04500	MHL_RS03360
OG0000028	DR088_RS04565	MHL_RS02480
OG0000029	DR088_RS01545	MHL_RS01165
OG0000029	DR088_RS00770	MHL_RS00700
OG0000030	DR088_RS04445	MHL_RS03335
OG0000030	DR088_RS04505	MHL_RS03355
OG0000031	DR088_RS03335	MHL_RS01685, MHL_RS00630
OG0000032	DR088_RS03370	MHL_RS04000
OG0000032	DR088_RS02280	MHL_RS03350
OG0000033	DR088_RS02375	MHL_RS02475
OG0000034	DR088_RS03290	MHL_RS04045
OG0000035	DR088_RS03395	MHL_RS03210
OG0000035	DR088_RS01530	MHL_RS03195
OG0000036	DR088_RS03305	MHL_RS00120
OG0000036	DR088_RS04245	MHL_RS00135
OG0000038	DR088_RS01015	MHL_RS01870
OG0000039	DR088_RS03410	MHL_RS01705
OG0000040	DR088_RS02000	MHL_RS03285
OG0000041	DR088_RS03850	MHL_RS00760, MHL_RS01270
OG0000042	DR088_RS03180	MHL_RS02985
OG0000043	DR088_RS00525	MHL_RS01990, MHL_RS00625
OG0000044	DR088_RS04645	MHL_RS04220
OG0000045	DR088_RS03415	MHL_RS01710
OG0000046	DR088_RS03995	MHL_RS03290
OG0000048	DR088_RS00705	MHL_RS02170
OG0000049	DR088_RS01390	MHL_RS03060
OG0000050	DR088_RS02980	MHL_RS02510
OG0000051	DR088_RS00080	MHL_RS02710
OG0000052	DR088_RS01925	MHL_RS00080
OG0000053	DR088_RS04530	MHL_RS01530
OG0000054	DR088_RS03005	MHL_RS02535
OG0000055	DR088_RS03550	MHL_RS00140
OG0000056	DR088_RS02115	MHL_RS03530
OG0000057	DR088_RS00335	MHL_RS02970
OG0000060	DR088_RS03970	MHL_RS04115
OG0000061	DR088_RS00460	MHL_RS01940
OG0000062	DR088_RS01815	MHL_RS03580
OG0000063	DR088_RS01810	MHL_RS03575
OG0000064	DR088_RS01800	MHL_RS03565
OG0000065	DR088_RS02890	MHL_RS02310
OG0000066	DR088_RS02630	MHL_RS01435
OG0000067	DR088_RS03390	MHL_RS00525
OG0000068	DR088_RS00735	MHL_RS00735
OG0000069	DR088_RS00230	MHL_RS02860
OG0000070	DR088_RS03010	MHL_RS02540
OG0000071	DR088_RS01990	MHL_RS03275
OG0000072	DR088_RS04430	MHL_RS03280
OG0000073	DR088_RS02825	MHL_RS00795
OG0000074	DR088_RS04395	MHL_RS03950, MHL_RS04210
OG0000075	DR088_RS01175	MHL_RS00345
OG0000076	DR088_RS01160	MHL_RS00360
OG0000077	DR088_RS01070	MHL_RS00450
OG0000078	DR088_RS02335	MHL_RS01755
